ID|Type|Original line|The translation
42|Speech (Player)|He's chasing me, I better get to the house quick!|oh no he wants to sell me sumtin!! i better hide on da heeeeeews
43|Speech (Player)|Hey Dipsy...|yo dipshit
44|Speech (Dipsy (Hungry))|Hey.|sup
45|Speech (Player)|It still works, but I don't need it right now.|such light much wow, but dis aint a toolbox u jakass
46|Speech (Tinky Winky)|........................................|brb
47|Speech (Player)|Wait, where are you going!?|w8 m8, were u goin
48|Speech (Tinky Winky)|Wow PO don't be so rude.|wow red fgt y u do dis
49|Speech (Player)|Get used to it.|stfu cunt
50|Speech (Tinky Winky)|*Tinky Winky is offended*|*sad purple fgt is sad*
51|Speech (Player)|Power is now on, time to make some custard!|i got da powa, time to maek sum pink boogers
52|Speech (Player)|We should get you a rain coat.|yeah ill probably buy a plastic bag 4 u
53|Speech (Noo Noo)|That would be practical.|bitch are you retarded
54|Speech (Player)|Alright, now time to fix the custard machine...|mkay, lets fix dis shiet
55|Speech (Player)|Will you just go away?|can you please fuck off
56|Speech (Noo Noo)|You should treat others how you'd like to be treated.|calm your ass, u fuck with mi u fuck wit da best
57|Speech (Lala)|I don't really feel like playing...|na thx
58|Speech (Tinky Winky)|Hi Po, I'm getting hungry...|my nigga! im fucking starving man
59|Speech (Player)|Me too! Lets go inside and get tubby custard.|me 2 lets rob sum kfc
60|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|k den but u shud talk 2 yellow fgt first, she wuss bein butthurt all day
61|Speech (Player)|Uh oh! The machine is broken again, I guess I better fix it.|shit son you broke it, now i gotta pay for it
62|Speech (Tinky Winky)|Please hurry, I'm so hungry! Go fetch the tool box.|hurri pls, im fkn starvin, get da thing with tools
63|Speech (Player)|Here you go Tinky Winky!|here prpl fgt
64|Speech (Tinky Winky)|Thank you PO! I couldn't live without you.|thx po i couldnt liv without u kis mi
65|Speech (Player)|Guys wake up, Tinky Winky broke the custard machine and left!|guys get the fuck up, purple fgt stole ma biek n broke that thing that makes cussturd
66|Speech (Lala)|...Huh what? why?|o rly? why
67|Speech (Player)|I don't know but I'm worried.  We need to find him.|idc idk i juts want my bike ffs
68|Speech (Lala)|Ok, go get a torch from the work bench and I'll be up in a minute.|k den, go get that thing with the lights from that thing with the work and ill do that thing with the up in that thing with 60 seconds
69|Speech (Dipsy (Hungry))|*zzz*... You guys go on, I'll wait here in case he comes back.. *zzz*|guys can you shut the fuck up im trying to sleep cant a man have a bit of butt piracy
70|Speech (Player)|I'm getting kinda hungry.|bitch im fucking starving
71|Speech (Noo Noo)|There is custard back at our home.|hmm well theres a 50% sale on nuggets at kfc
72|Speech (Player)|Chear up Laa Laa, I made some custard for you to make you feel better.|put that frown upside down yellow fgt, i maed sum custurd so u shut up
73|Speech (Lala)|*sniff* Thank you Po, you are a true friend.|*sniff* thx pogo, u saved christmas
74|Speech (Lala)|*La La feels a bit better*|*yellow fgt got gud*
74|Speech (Lala)|*Laa Laa feels a bit better*|*yellow fgt got gud*
75|Speech (Player)|I'm just playing, it's great fun!|im just drawing dicks in the sand, im so funny xd
76|Speech (Noo Noo)|I am glad you are enjoying yourself.|well at least your not dead
77|Speech (Lala)|Oh hi again Po... *sniff*|o hai bitch *sniff*
78|Speech (Player)|Ok, time to find Tinky Winky...|k, time to find my bike
79|Speech (Lala)|Hey! Why did you do... um... it's okay, I didn't want to play with it anyway.|what the fuck why did you do that ill fucking break your neck
80|Speech (Player)|Hello Noo Noo!|helo yes yes!
81|Speech (Noo Noo)|Greetings Po.|[non suspicious sounds in robot]
82|Speech (Dipsy (Hungry))|Oh if you are making custard, make me some too!|hey if u makin custurd, gimme a sanwich u bitch
83|Speech (Lala)|No.. I had a bad dream last night, it was about us and bad things happened... but I can't remember what.|neh, i had a shitty dream, it was about us n shrek but i forgot shrek is a dead meme
84|Speech (Player)|Sounds scary, but it was just a dream.. try to forget about it.|dats sum spooky ass shit, but it was a dream.. forget about it
85|Speech (Player)|Here you go Dipsy!|here you go dipSHIT
86|Speech (Dipsy (Hungry))|Thank you PO, don't forget about yourself! You must be hungry.|thx poo, dun furget bout urself, ya must have diarrhea
87|Speech (Player)|That sucks.|thats bullshit
88|Speech (Noo Noo)|Yes, it does.|yea kinda
89|Speech (Player)|They are so pretty!|smells like piss
90|Speech (Player)|It's not for me, I prefer cold weather...|sure if you like overheating and exploding
91|Speech (Noo Noo)|Information noted.|beep boop beep boop noted
92|Speech (Tinky Winky)|Eh-Oh! I want tubby custard!|my nigga! im starving
93|Speech (Player)|Me too! Lets go inside and get some.|me 2 lets rob sum kfc
94|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|k den but u shud talk 2 yellow fgt first, she wuss bein butthurt all day
95|Speech (Lala)|...Yeah...|...ye...
96|Speech (Player)|Would you like to play Noo Noo?|hey wanna play some cod?
97|Speech (Noo Noo)|Perhaps later, Po.|im a fucking vacuum po.
98|Speech (Player)|Grow up La La, I don't want to hear it... Now shut up and eat.|grow the fuck up, not this shit again, eat or youll spend two more weeks in dungeon
99|Speech (Lala)|*La La is scared*|*yellow fgt is spook*
99|Speech (Lala)|*Laa Laa is scared*|*yellow fgt is spook*
100|Speech (Player)|Phew! That should do it.|much fix very wow
101|Speech (Tinky Winky)|Yay you did it, tubby custard!|about time ffs
102|Speech (Dipsy (Hungry))|Could you please make custard and hand it out to each of us? We're hungry!|could u maek cussturd 4 us and giv it 2 us, were lazy and hungry
103|Speech (Player)|Yeah, sure... I guess I'll make my own once I've made enough for you guys.|ye rite keep dreaming fgts jk ill do it den ill make 1 4 mi
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|it shud be on the tool thing near the sleeping things
10|Speech (Player)|Alright thanks!|kthxbye
104|Speech (Player)|No power.|limited powr! noooooooooooooooooooooooo
105|Speech (Player)|The view from the lake today is wonderful, I'm embracing it.|man this big piece of water is beautiful
106|Speech (Noo Noo)|What I see is danger, I am not waterproof.|how is water beautiful u cunt, i would explode if i touch it
107|Speech (Player)|Tinky Winky! Are you around here?|purple fgt where the fuck you at
108|Speech (Player)|I guess I should look around...|hmm where the fuck did he go
109|Speech (Player)|Hey Dipsy...|yo dipshit
110|Speech (Dipsy (Hungry))|Hey.|sup
111|Hotspot|Flowers|gay plants
112|Hotspot|Toggle Power (On)|toggle powa (on)
113|Hotspot|Builders Torch|that thing with lights
114|Hotspot|Laa Laa|yellow fgt
115|Hotspot|Flowers|gay plants
116|Hotspot|Flowers|gay plants
117|Hotspot|Custard Machine|that thing that does fart sounds
118|Hotspot|Laa Laa's Ball|yellow fgt's xbox ball edition
119|Hotspot|Tinky Winky|purple fgt
120|Hotspot|Enter House|enter kfc
121|Hotspot|Dipsy|dipshit
122|DialogueOption|Are you ok?|u ok?
123|DialogueOption|Do you want to play?|wanna play cod?
124|DialogueOption|Goodbye!|cya
125|DialogueOption|[Wake The Others]|[WAKE ME UHHHH]
126|DialogueOption|[Follow Tinky Winky Alone]|[go on your own because why not]
127|DialogueOption|Have you found your hat yet?|did u find ur stupid cow skinned hat
128|DialogueOption|Do you know where the tool box is?|wheres da thing with da tools?
129|DialogueOption|Goodbye!|cya
130|DialogueOption|(Enter House)|(enter kfc)
131|DialogueOption|(Stay)|(wait outside)
132|DialogueOption|What are you doing?|bitch i just fixed it what the fuck
133|DialogueOption|Get back into bed its late.|com back we havnt finish rapeing time yet
134|DialogueOption|You broke the machine!|you had one fucking job
135|DialogueOption|[Left]|[-->]
136|DialogueOption|[Right]|[<--]
137|DialogueOption|Would you like to play?|wanna play cod?
138|DialogueOption|I'm getting hungry.|im fkn starving
139|DialogueOption|That sucks.|thats bullshit
140|DialogueOption|We should get you a rain coat.|yeah ill probably buy a plastic bag 4 u
141|DialogueOption|I didn't mean to be rude.|i forgot 2 eat a snickers today
142|DialogueOption|Go away.|fuck off.
143|DialogueOption|[Comfort]|[give love]
144|DialogueOption|[Insult]|[tell 2 fuk off]
145|DialogueOption|Hi Tinky Winky..|hey prpl fgt
146|DialogueOption|Eh-Oh!|my nigga!
147|DialogueOption|Out of my way!|bitch that meme is fucking dead
148|DialogueOption|\Hidden|\Hidden
149|DialogueOption|Have you found your hat yet?|did u find ur stupid cow skinned hat
150|DialogueOption|Do you know how to turn on the custard machine?|how do u turn that thing with the pink goo
151|DialogueOption|Goodbye!|cya
152|DialogueOption|Hello Noo Noo!|hello yes yes
153|DialogueOption|It's nice and warm.|its pretty warm dont you think?
154|DialogueOption|I prefer cold weather...|wait why does this dialogue appear twice sean il ban you from spain
155|DialogueOption|I'm having fun!|i love staring at water!
156|DialogueOption|I'm just enjoying the view.|im looking at nowhere
157|DialogueOption|None of your concern.|what do u care u trash sucker
158|Speech (Player)|It's dark, I'll need to get my night vision camera from the storage room before going outside.|i cant see shit, i need 2 get my thing that can see in the dark from the useless stuff room before i leave
159|Speech (Player)|The storage room is locked, I can unlock it from the control room...|the useless stuff room is locked, idk why because stuff in there is useless
160|Speech (Player)|Once I get these custards I should go to the satellite station for help.|once i get this weird pink goo prpl fgt left on the way i shud go to the police so they can find my bike
161|Speech (Player)|Other tubbies will be there.|other fgts will be slacking
162|Speech (Player)|I must hurry!|gotta go fast!
163|Speech (Player)|This is the control room... I forget how to open this door.|vapor based doors? what century do they think we are? anyway its locked
164|Speech (Player)|The door is sealed.  I need to unlock it from the control room.|this shit is locked, i need 2 unlock it from the ctrl rum
165|Speech (Player)|The control room is on the right.|the ctrl rum is on the right, no wait left, wait there's no left, ah fuck it
166|Speech (Player)|A pipe, this could be useful.|a pipe? i could make a bong out of this
167|Speech (Player)|Alright, lets go get the remaining custards before they do any more damage.|aight, lets go get those pink goo bowls before someone eats them without paying
168|Speech (Player)|Ok, now time to unlock the storage room door.  The door controls should be in here somewhere.|the controls to open the useless stuff room should be here, who the fuck designed this place
169|Speech (Player)|There is a pipe missing here...|apparently i need to lose my bong pipe, oh well
170|Speech (Player)|Hmm, nothing happened... I should check the pipeline.|well that was useless, wtf happened?
171|Speech (Player)|Alright... Now I need to apply maximum pressure into the main pipeline.|cool, now i gotta get the pressure at maximum to the pipe stuff
172|Speech (Player)|The meter dial will be deep in the red zone once this is complete.|that circle thing should be in the red zone when its done
173|Speech (Player)|The meter dial will be in the red zone once this is complete.|that circle thing should be in the red zone when its done
174|Speech (Player)|That should do it, now lets go get that night vision camera.|eh, i guess it works, now lets get that thing that... i forgot the name
175|Speech (Narrator)|(COULD NOT CONNECT TO SATELLITE STATION)|(does bruno mars is gay?)
176|Speech (Player)|Dang it, For some reason I can't contact the satellite station for help...|fuck, i cant contact the police station
177|Speech (Player)|It looks like I'm on my own for now.|these guys should probably stop prank calling the military
178|Speech (Player)|I wont be able to get help from here, I'll need to go to the satellite station and tell everyone what happened.|im not gonna help if i stay here doing jack shit, i better go to the police and tell the military what they're doing
179|Speech (Player)|Hmm...|[thinking sound in broken english]
180|Speech (Player)|Pressure is at maximum, I should be able to open the control room door now.|pressure is at mad max, i shoudl be able to open the door now
181|Hotspot|Night Vision Camera|that thing that can see in the dark
182|Hotspot|Missing Pipe|hole
183|Hotspot|Door Controls|that thing for the door
184|Hotspot|Pipe|pipe
185|Hotspot|Turn Valve|let up some steam
186|Hotspot|Pipe System|pipe stuff
187|Speech (Player)|Tinky Winky is still around, I need to be careful...|o no, i hope nothing bad happens walking at night after a massacre
188|Speech (Player)|Tinky winky, snap out of it! This isn't you..|purple fgt, get back to work or face the whip u asshole!
189|Speech (Player)|Oh my god...|nvm my whip isnt that big
190|Speech (Player)|I need to get to the satellite station through the mountains or through the cave NOW!|my hispanic slave became a steroid junkie, i need to escape
191|Speech (Player)|Where should I go look for custards next?|where go?
192|Speech (Player)|Hmm... no custard here.  Maybe it's outside the house.|dammit, the cussturd is outside. now it's gonna be full of grass
193|Speech (Player)|The custard should be around here somewhere.|i smell pink goo, it must be around here
194|Speech (Player)|Ok, a custard should be somewhere in this area...|if my nose works ok, there shud b cussturd around here
195|Speech (Player)|This path leads to the lake.  Let's hope I don't run into Tinky Winky...|i smell water, lets hope prpl fgt doesnt steal that from me too
196|Speech (Player)|Ah ha! The first custard.  According to my computer there should be four more custards in the area.|mmm cussturd, im so hungry
197|Speech (Player)|I hope I can get them before it's too late...|no! i need to gather these 4 reserch, ill eat l8r
198|Speech (Player)|The entrance to the cave, there should be a custard around here somewhere...|hmm i smell rock... and cussturd
199|Speech (Player)|...I'm so sorry....|hey man how u hangin
200|Speech (Player)|If I'm correct, there should be a custard up ahead.|if im right, cussturds shoud b left.. i mean, up ahead
201|Speech (Player)|The sooner I get these custards, the sooner I can go get help from the satellite station...|the sooner i get this pink goo, teh sooner i can throw them at the station... i mean, use for research
202|Hotspot|Custard|pink goo
203|Hotspot|Custard|pink goo
204|Hotspot|Custard|pink goo
205|Hotspot|Custard|pink goo
206|Hotspot|Custard|pink goo
207|DialogueOption|Last known location of Po|po's death place
208|DialogueOption|Lake|water
209|DialogueOption|Cave|rocks
210|DialogueOption|Teletubby house|kfc
211|Speech (Player)|This cave is full of dead ends...|woah this maze is so mazey
212|Speech (Player)|Not again!|dammit who designed this cave!
213|Speech (Player)|Finally, the exit!|oh for fucks sake finally
214|Speech (Player)|Just a little further...|just a bit more
215|Speech (Player)|What is that thing!?|what the FUCK
216|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|i need 2 get away from dis cave 2 go to da desert
217|Speech (Player)|I can't believe Tinky Winky turned into a monster...|cant believ tinky winky uses steroids
218|Speech (Player)|I'm surprised this cave hasn't collapsed yet...|man now ive hit rock bottom... who the fuck wrote these puns
219|Speech (Player)|What was that? ...-I should be careful.|lol who farted
220|Speech (Player)|Day 22. They didn't find out about the journal, but I don't know how long I can hide it, they almost find it last time.|day 22. phew they didnt find out about my diary but idk how to hide it anymore, its pink and has glitter
221|Speech (Player)|Anyway, testing has been painful lately, they made me-...|anyway testing has been awful, they inserted something inside my-
|Anyway, testing has been painful lately, they made me-...||
|||
222|Speech (Player)|...-The rest of the note is ripped.|the rest is ripped
223|Speech (Player)|Day 1. Today I decided to write a journal to tell my adventures with the bestest friends ever!|day 1. i decided 2 make a diary with mah adventures wit ma frends!!!11
224|Speech (Player)|These coat men brought us papers and crayons to draw what we want...|sum lab fgts giv us papers n crayons 2 draw shit
225|Speech (Player)|...and we drew the best friend trio!|so we drew our roblox characters!!!!!!
226|Speech (Player)|They are my only but best friends, and I love them!|"they dont speak much, they only say ""help"", but i still love them!!"
227|Speech (Player)|I hear coat men, I must hide the journal, they will punish me with electricity if they... find out.|woah i hear lab fgts, i better hide dis diary or else theyll think im gay
228|Speech (Player)|There is no way I can jump across that.|what the fuck do you think i am, a human pogo?
229|Speech (Player)|Stop ripping my journals.|stop calling me gay you homophobe
230|Speech (Player)|Day 54. They found my journal and ripped it apart! 22 days thrown to the trash...|day 54. they found my diary, called me sissy and burned it! im so fucking pissed
231|Speech (Player)|In other news, 53 has been feeling sick! He feels awful, but the coat men won't help!|enough about me, 53 has been feeling rly shitty, but these lab fgts wont do jack shit
232|Speech (Player)|This is sad, I hope he gets better!|this is fucking awful, i hope he gets cured
233|Speech (Player)|I wonder when will they give us real names...|i wonder when slendytubby 3 come out
234|Speech (Player)|That was close, I don't think he can get me in here...|woah, so close very scare, i dont think he can get me here
235|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|I need to get to the other side of this cave, it will lead to the outskirts.
236|Speech (Player)|Day ?????????. What day is it?|day ?????????. im so hungover i forgot what day is it
237|Speech (Player)|They're gone! ******* turned into a monster!|everyone is gone, ******* is so high he killed every1
238|Speech (Player)|******* ran away and I might not see him ever again. I miss them.|i cant find ******* either, i hope their ok
239|Speech (Player)|Oh god, what is happenin-|wait what the fuc-
240|Speech (Player)|.............RUN.............|.............CUM.............
|.............RUN.............||
|||
241|Speech (Player)|...-What in the world happened here?|..-what the fuck?
242|Speech (Player)|HERE THEY COME .  HELP THEY SAW .  MY JOURNAL.|OH NO. HELP THEY THINK. IM GAY.
243|Hotspot|Page|page
244|Hotspot|Page|page
245|Hotspot|Page|page
246|Hotspot|Page|page
247|Hotspot|Page|page
248|Hotspot|Page|page
249|Hotspot|Jump|JUMP WILLY JUMP
250|Hotspot|Pit|pit
251|Hotspot|Pit|pit
252|Hotspot|Page|page
253|Speech (Player)|Who is that? I can hear someone talking...|i can hear som1, seems legit
254|Speech (Unit 437)|Halt!  Where do you think you're going?|BEEP BOOP STOP RIGHT THERE BEEP BOOP
255|Speech (Unit 437)|I am meant to chop you up and cook you for the master tomorrow.|BEEP BOOP YOU WILL DIE TOMORROW BEEP BOOP
256|Speech (???)|*Loud Yell*|*loud nigra plays in the background*
257|Speech (Player)|Oh no, It knows I'm gone!|oh no, cyan fgt be hungry
258|Speech (Player)|I must get away quickly!|gotta go fast!!
259|Speech (Player)|I need to listen carefully...|i need to listen carefully
260|Speech (Player)|If I remember correctly, I was on the other side of this frozen lake when I was attacked.|hmm.. if my calculations are correct, ur an fgt and my camera is on the other side of ice
261|Speech (Player)|I need to get my night vision camera before going to the outskirts.|i need my nightvision camera b4 even tho its almost dawn
262|Speech (Player)|It's so cold...|woah im fucking freezing
263|Speech (Player)|Custard, this far up in the mountains?|custard? WHAT COULD DIS MEEEN?!?!??!?!?
264|Speech (Player)|It's frozen now.|its frozen, oh well
265|Speech (Player)|Trees are the only living things that can tolerate this climate.|trees... they remind me i want to pee
266|Speech (Player)|Who has been cutting down trees?|WHOSH BEEN DRAWING DICKSH?!
267|Speech (Player)|No one has been up here for years...|no one has been here since that guy that peed his name on da snow and dissapeared
268|Speech (Player)|It's good to feel warmth again.|its so warm i'd burn myself to death
269|Speech (Player)|The sooner I get out of here the better.|i need to get out asap
270|Speech (Player)|Past this gate leads to the outskirts...  It appears to be locked with a chain.|obviously outskirts are through this gate... but its locked
271|Speech (Player)|I'll need to find something to break the chain with.|i need to break the chain with something
272|Speech (Player)|I think I'm going to be sick...|smells like flowers
273|Speech (Player)|Ok, I think I'm safe...|ok im gud here
274|Speech (Unit 437)|Farewell.|BEEP BOOP BYE BEEP BOOP
275|Speech (Unit 437)|I am chopping down wood for the masters fire.|BEEP BOOP CHOPPING DOWN WOOD 4 FIRE BEEP BOOP
276|Speech (Unit 437)|I must cook the master some food before dawn.|BEEP BOOP GOTTA COOK FOOD B4 DAWN BEEP BOOP
277|Speech (Player)|Got it!|got it
278|Speech (Player)|I should find my night vision camera before going to the outskirts.|i should find my nightvision camera b4 even tho its almost dawn
279|Speech (Unit 437)|That is correct.|BEEP BOOP AFFIRMATIVE BEEP BOOP
280|Speech (Player)|Oh my god, is that an eyeball?|holy shit is that an eye?
281|Speech (Player)|I can't help but to think it's watching me...|...AWESOMEEEEEEEEEEEE
282|Speech (Unit 437)|So be it, once the master finds out you're gone it will hunt you down and kill you.|BEEP BOOP YOURE GOING TO DIE BEEP BOOP
283|Speech (Player)|Huh, an old pipe... Maybe I can use it to break open the chain on the gate.|huh, an old pipe.. maybe THIS will work for my bong
284|Speech (Unit 437)|Yes, I believe you dropped it when the master took you.|BEEP BOOP YOU DROPPED IT YOU FATASS BEEP BOOP
285|Speech (Player)|Uh... Hello...|Uh... Hello...
286|Speech (Unit 437)|Greetings.|BEEP BOOP HELLO WORLD BEEP BOOP
287|Speech (Unit 437)|Come... with you? The master will not like that at all.|BEEP BOOP NO THX BEEP BOOP
288|Speech (Unit 437)|I failed my directives once, I will not fail them again.|IM NOT GONNA FUK UP TWICE BEEP BOOP
289|Speech (Unit 437)|Once the master finds out you're gone, it will hunt you down and kill you.|BEEP BOOP YOURE GONNA DIE BEEP BOOP
290|Speech (Unit 437)|You will be, I'm afraid. Don't worry, I can make a very nice salsa. You will die, but will taste very good!|BEEP BOOP YES BEEP BOOP
291|Speech (Player)|Where am I?|whats this place?
292|Speech (Unit 437)|I am Unit 437, a security droid created by the machines.|BEEP BOOP I AM UNIT 437 AND IM A MACHINE MADE BY A MACHINE BEEP BOOP
293|Speech (Unit 437)|My original directive was to kill the master before it escaped from the main land.|BEEP BOOP I WAS TOLD 2 KILL CYAN FGT
294|Speech (Unit 437)|However, once I encountered the master I knew I was not capable of defeating it.|BUT HE WAS 2 STRONG BEEP BOOP
295|Speech (Unit 437)|...I'm not very good at my job.|BEEP BOOP I REALLY SUCK AT THIS BEEP BOOP
296|Speech (Unit 437)|At that point I knew I only had two choices.  To serve, or be destroyed.|BEEP BOOP HE SAID I COULD DIE OR SERVE
297|Speech (Unit 437)|I chose to serve.|I DECIDED I LIKE LIVING BEEP BOOP
298|Speech (Unit 437)|Now my directive is to build fires to keep the master warm.|BEEP BOOP NOW I MAKE FIRES AND KEEP MASTR WARM
299|Speech (Unit 437)|I also cook the masters meals.  I keep the master alive.|I ALSO COOK HIM SUM TASTY SHIT BEEP BOOP
300|Speech (Player)|I need to get out of here before I become food.|i need to get out b4 i become kfc
301|Speech (Unit 437)|If you leave I'll have to inform the master that death is an inconvenience for you.|BEEP BOOP IF U LEAVE I WILL TELL DA MASTER U DONT WANT 2 DIE
302|Speech (Unit 437)|The master will be very angry.|THE MASTER WILL BE PISS BEEP BOOP
303|Speech (Unit 437)|Please, the master will destroy me if it found out I let you go.|BEEP BOOP PLS THE MASTER WILL KILL ME IF U LEAVE BEEP BOOP
304|Speech (Unit 437)|Tomorrow you will be chopped up and cooked for the master to eat.|BEEP BOOP YOU WILL BE CHOPPED UP AND COOKED TOMORROW BEEP BOOP
305|Speech (Player)|At last, my night vision camera...|fucking finally mi night vision camera
306|Speech (Player)|Oh no, it looks like the lens cracked when I dropped it.|how convenient it fucking broke
307|Speech (???)|...............|...............
308|Hotspot|Gate|metal door
309|Hotspot|Fire|fiya
310|Hotspot|Eyeball|eyeball
311|Hotspot|Pipe|pipe
312|Hotspot|Bloody Remains|blood stuff
313|Hotspot|Raw Meat|raw meat
314|Hotspot|Bloody Remains|blood stuff
315|Hotspot|Custard Splat|cussturd drips
316|Hotspot|Trees|3s
317|Hotspot|Stump|stump
318|Hotspot|Stump|stump
319|Hotspot|Droid|beep boop bot
320|DialogueOption|[Go Left]|[go left]
321|DialogueOption|[Go Right]|[go right]
322|DialogueOption|[Go Left]|[go left]
323|DialogueOption|[Go Right]|[go right]
324|DialogueOption|The master, is that the thing that took me?|is the master that 1 cyan fgt?
325|DialogueOption|Why was I brought here?|why am i heer?
326|DialogueOption|I'm not food!|what the fuck im not food
327|DialogueOption|Who are you?|who r u?
328|DialogueOption|What are you doing?|what u up 2 my man?
329|DialogueOption|Have you seen my night vision camera?|have u seen my thing 2 record stuff?
330|DialogueOption|Goodbye.|bye
331|DialogueOption|[Go Left]|[go left]
332|DialogueOption|[Go Right]|[go right]
333|DialogueOption|I need to get to the outskirts and find the satellite station.|i need 2 get 2 outskirts and then 2 space station
334|DialogueOption|I need to find my night vision camera.|i need 2 find my thing 2 record stuff
335|DialogueOption|None of your business.|what do you care u fak
336|DialogueOption|I plan to be long gone before your master finds out.|im gonna be far away when he finds out
337|DialogueOption|Come with me, you're a slave!|come u fak, slavery is ILLEGOL
338|DialogueOption|You're a coward.|u a pusi
339|DialogueOption|[Go Left]|[go left]
340|DialogueOption|[Go Right]|[go right]
341|DialogueOption|Please, don't kill me...|pls dont kill me
342|DialogueOption|Where are you taking me?|wow am i really that much of a drag
343|DialogueOption|Who are you?|who r u?
344|DialogueOption|...|dot dot dot
345|Speech (Player)|At last I'm here... This is the entrance to the satellite station.|after three chapters im here... wait wasnt this shit on space?
346|Speech (Player)|Hmm... How do I get in?|hmmm tutorial how 2 get in - Search on YouTube
347|Speech (Lala_Alive)|......................................|[insert dots that express silence here]
348|Speech (Player)|Why are you here anyway? I thought you were... well..|how r u here? i thought u ded
349|Speech (Lala_Alive)|I ran away... from Tinky Winky... before he caught me in the house. I ran away until I came across this place, so I used it as a hideout. He tried to-... H-he caused-... *sniff* They are all dead.|i ran away.. from purpl fgt.. b4 he raep me. i ran until i found this desert so ive been hiding heer. he killed evry other fgt! *cries in tubby*
350|Speech (Player)|Oh no, Laa Laa's here...|uh oh, yellow fgt is here
351|Speech (Player)|Tinky Winky scratched out her eyes, she can't see me.|purple fgt scratched her eyes out, he's fucking brutal
352|Speech (Player)|But she can still hear me, I need to be quiet...|but she can hear me... wow i better be quiet
353|Speech (Player)|I should find all the custards in this area before proceeding to the satellite station.|i should find cussturds in here b4 going 2 space
354|Speech (Lala_Alive)|W-who are you? How do you know me?|who r u?! how do u know me u damn stalker?!
