ID|Type|Original line|The translation
39|Speech (Player)|Wh... What happened to La La...?|拉拉...拉拉发生什么事了?
40|Speech (Player)|Are you ok...?|你还好吗...?
41|Speech (Player)|Oh my god!|我的天！
42|Speech (Player)|He's chasing me, I better get to the house quick!|他在追我，我最好赶紧回到家里！
43|Speech (Player)|Hey Dipsy...|嘿迪西...
44|Speech (Dipsy (Hungry))|Hey.|嘿。
45|Speech (Player)|It still works, but I don't need it right now.|它还能运作，但是我现在不需要。
46|Speech (Tinky Winky)|........................................|........................................
47|Speech (Player)|Wait, where are you going!?|等等，你要去哪里？
48|Speech (Tinky Winky)|Wow PO don't be so rude.|哇哇小波你不要这么粗鲁。
49|Speech (Player)|Get used to it.|习惯它。
50|Speech (Tinky Winky)|*Tinky Winky is offended*|*丁丁被冒犯*
51|Speech (Player)|Power is now on, time to make some custard!|电源开了，是时候做些奶昔了！
52|Speech (Player)|We should get you a rain coat.|我们应给你准备一个雨衣。
53|Speech (Noo Noo)|That would be practical.|这才实际。
54|Speech (Player)|Alright, now time to fix the custard machine...|好的，现在要修理奶昔机...
55|Speech (Player)|Will you just go away?|你会走开吗？
56|Speech (Noo Noo)|You should treat others how you'd like to be treated.|己所不欲，勿施于人。
57|Speech (Lala)|I don't really feel like playing...|我现在不想玩,,,
58|Speech (Tinky Winky)|Hi Po, I'm getting hungry...|嗨，小波。我饿了...
59|Speech (Player)|Me too! Lets go inside and get tubby custard.|我也是！咱们进去吃些宝宝奶昔。
60|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|好！但是你应该与拉拉聊下天，它已经这么失落一整天了。
61|Speech (Player)|Uh oh! The machine is broken again, I guess I better fix it.|哦不！这机器又坏了！我猜我最好修一下。
62|Speech (Tinky Winky)|Please hurry, I'm so hungry! Go fetch the tool box.|请你快点，我好饿！过去拿工具箱。
63|Speech (Player)|Here you go Tinky Winky!|拿去吧，丁丁！
64|Speech (Tinky Winky)|Thank you PO! I couldn't live without you.|谢谢你小波！没有你我活不下去。
65|Speech (Player)|Guys wake up, Tinky Winky broke the custard machine and left!|大夥们醒醒，丁丁把奶昔机弄坏后走了。
66|Speech (Lala)|...Huh what? why?|哈...哈什么？为什么？
67|Speech (Player)|I don't know but I'm worried.  We need to find him.|我不知道但是我很担心。 我们需要找到他。
68|Speech (Lala)|Ok, go get a torch from the work bench and I'll be up in a minute.|好，去工作台上拿手电筒，我一分钟后到。
69|Speech (Dipsy (Hungry))|*zzz*... You guys go on, I'll wait here in case he comes back.. *zzz*|*齁*... 你们去吧,我在这里以防他回来了.. *齁*
70|Speech (Player)|I'm getting kinda hungry.|我渐渐感到饥饿。
71|Speech (Noo Noo)|There is custard back at our home.|我们家里又奶昔。
72|Speech (Player)|Chear up Laa Laa, I made some custard for you to make you feel better.|拉拉振作起来，我做了一些奶昔让你感觉好一点。
73|Speech (Lala)|*sniff* Thank you Po, you are a true friend.|*闻* 小波谢谢你，我真正的朋友。
74|Speech (Lala)|*La La feels a bit better*|*拉拉感觉好了一点*
74|Speech (Lala)|*Laa Laa feels a bit better*|*拉拉感觉好了一点*
75|Speech (Player)|I'm just playing, it's great fun!|我只是在玩，非常好玩！
76|Speech (Noo Noo)|I am glad you are enjoying yourself.|我很高兴你玩得开心。
77|Speech (Lala)|Oh hi again Po... *sniff*|哦，又见到你了小波... *嗅*
78|Speech (Player)|Ok, time to find Tinky Winky...|好，是时候去找丁丁了...
79|Speech (Lala)|Hey! Why did you do... um... it's okay, I didn't want to play with it anyway.|嘿！你为什么要...呃...算了，反正我也不想要跟它玩。
80|Speech (Player)|Hello Noo Noo!|哈喽努努！
81|Speech (Noo Noo)|Greetings Po.|祝福你，小波。
82|Speech (Dipsy (Hungry))|Oh if you are making custard, make me some too!|哦如果你在做奶昔的话，顺便给我一些！
83|Speech (Lala)|No.. I had a bad dream last night, it was about us and bad things happened... but I can't remember what.|不...我昨晚做了个怪梦，是关于什么坏事即将发生在我们身上...但是我记不起来了。
84|Speech (Player)|Sounds scary, but it was just a dream.. try to forget about it.|听起来很可怕，但是这终究只是一场梦...试着忘掉它吧。
85|Speech (Player)|Here you go Dipsy!|拿去吧迪西！
86|Speech (Dipsy (Hungry))|Thank you PO, don't forget about yourself! You must be hungry.|谢谢你小波，别忘了你自己！你应该也蛾了。
87|Speech (Player)|That sucks.|真恶心。
88|Speech (Noo Noo)|Yes, it does.|是，真的
89|Speech (Player)|They are so pretty!|它们真漂亮！
90|Speech (Player)|It's not for me, I prefer cold weather...|这不适合我，我比较喜欢偏冷的天气...
91|Speech (Noo Noo)|Information noted.|资讯条。
92|Speech (Tinky Winky)|Eh-Oh! I want tubby custard!|哦不！我要宝宝奶昔！
93|Speech (Player)|Me too! Lets go inside and get some.|我也要！咱们进去吃一些吧。
94|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|好！但是你应该与拉拉聊下天，它已经这么失落一整天了。
95|Speech (Lala)|...Yeah...|...吔...
96|Speech (Player)|Would you like to play Noo Noo?|努努你想要玩吗？
97|Speech (Noo Noo)|Perhaps later, Po.|等等吧，小波。
98|Speech (Player)|Grow up La La, I don't want to hear it... Now shut up and eat.|成熟点吧拉拉，我不想听...闭上你的嘴巴吃你的东西。
99|Speech (Lala)|*La La is scared*|*拉拉吓到了*
99|Speech (Lala)|*Laa Laa is scared*|*拉拉吓到了*
100|Speech (Player)|Phew! That should do it.|呼! 应该这样做
101|Speech (Tinky Winky)|Yay you did it, tubby custard!|吔，你办到了，宝宝奶昔！
102|Speech (Dipsy (Hungry))|Could you please make custard and hand it out to each of us? We're hungry!|可以请你做一些奶昔后拿给我们吗？我们饿了！
103|Speech (Player)|Yeah, sure... I guess I'll make my own once I've made enough for you guys.|是，可以...我猜我会为自己做一个，我已经做完你们的了。
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|它应该在床边的工具架上。
10|Speech (Player)|Alright thanks!|好的，谢谢！
104|Speech (Player)|No power.|没电。
105|Speech (Player)|The view from the lake today is wonderful, I'm embracing it.|今天的湖景真漂亮，我要拥抱它们。
106|Speech (Noo Noo)|What I see is danger, I am not waterproof.|我所看到的是危险，我不是防水的。
107|Speech (Player)|Tinky Winky! Are you around here?|丁丁！你在旁边吗！
108|Speech (Player)|I guess I should look around...|我觉得我要查看四周。
109|Speech (Player)|Hey Dipsy...|嘿，迪西...
110|Speech (Dipsy (Hungry))|Hey.|嘿。
111|Hotspot|Flowers|花朵
112|Hotspot|Toggle Power (On)|切换电源（开）
113|Hotspot|Builders Torch|建筑手电筒
114|Hotspot|Laa Laa|拉拉
115|Hotspot|Flowers|花朵
116|Hotspot|Flowers|花朵
117|Hotspot|Custard Machine|奶昔机
118|Hotspot|Laa Laa's Ball|拉拉的球
119|Hotspot|Tinky Winky|丁丁
120|Hotspot|Enter House|进入屋内
121|Hotspot|Dipsy|迪西
122|DialogueOption|Are you ok?|你还好吗？
123|DialogueOption|Do you want to play?|你想要玩吗？
124|DialogueOption|Goodbye!|再见！
125|DialogueOption|[Wake The Others]|[叫醒其他人]
126|DialogueOption|[Follow Tinky Winky Alone]|[独自跟随丁丁]
127|DialogueOption|Have you found your hat yet?|你找到你的帽子了吗？
128|DialogueOption|Do you know where the tool box is?|你知道工具箱在哪里吗？
129|DialogueOption|Goodbye!|再见！
130|DialogueOption|(Enter House)|(进入屋内)
131|DialogueOption|(Stay)|(留下)
132|DialogueOption|What are you doing?|你在做什么？
133|DialogueOption|Get back into bed its late.|很晚了，快上床。
134|DialogueOption|You broke the machine!|你把机器弄坏了！
135|DialogueOption|[Left]|[向左]
136|DialogueOption|[Right]|[向右]
137|DialogueOption|Would you like to play?|你想要玩吗？
138|DialogueOption|I'm getting hungry.|我渐渐饿了。
139|DialogueOption|That sucks.|真恶心。
140|DialogueOption|We should get you a rain coat.|我们应给你准备一个雨衣。
141|DialogueOption|I didn't mean to be rude.|我很抱歉，我并不是故意要这么粗鲁的。
142|DialogueOption|Go away.|滚开。
143|DialogueOption|[Comfort]|[安慰]
144|DialogueOption|[Insult]|[侮辱]
145|DialogueOption|Hi Tinky Winky..|嗨丁丁...
146|DialogueOption|Eh-Oh!|哦不！
147|DialogueOption|Out of my way!|滚开！
148|DialogueOption|\Hidden|\藏
149|DialogueOption|Have you found your hat yet?|你找到你的帽子了吗？
150|DialogueOption|Do you know how to turn on the custard machine?|你知道怎么开启奶昔机吗？
151|DialogueOption|Goodbye!|再见！
152|DialogueOption|Hello Noo Noo!|哈喽努努！
153|DialogueOption|It's nice and warm.|这又好又温暖。
154|DialogueOption|I prefer cold weather...|我比较喜欢偏冷的天气...
155|DialogueOption|I'm having fun!|我玩得很开心！
156|DialogueOption|I'm just enjoying the view.|我在享受这景象。
157|DialogueOption|None of your concern.|与你无关。
158|Speech (Player)|It's dark, I'll need to get my night vision camera from the storage room before going outside.|天黑了，我要从储藏室拿我的夜视相机才能出门。
159|Speech (Player)|The storage room is locked, I can unlock it from the control room...|储藏室上锁了，我能够从控制室解锁它...
160|Speech (Player)|Once I get these custards I should go to the satellite station for help.|只要我得到这些奶昔，我就应该去卫星站寻求协助。
161|Speech (Player)|Other tubbies will be there.|其他宝宝将在这里。
162|Speech (Player)|I must hurry!|我该快点！
163|Speech (Player)|This is the control room... I forget how to open this door.|这里就是控制室... 我忘了如何开启这扇门。
164|Speech (Player)|The door is sealed.  I need to unlock it from the control room.|门被封起来了。 我需要从控制室解锁。
165|Speech (Player)|The control room is on the right.|控制室在右边。
166|Speech (Player)|A pipe, this could be useful.|一条管子，这应该很有用。
167|Speech (Player)|Alright, lets go get the remaining custards before they do any more damage.|好，让他们在伤害更多之前得到剩馀的奶昔。
168|Speech (Player)|Ok, now time to unlock the storage room door.  The door controls should be in here somewhere.|Ok, 是时候解锁储藏室的门了。门的控制器应该就在某处。
169|Speech (Player)|There is a pipe missing here...|这里有一个管子不见了...
170|Speech (Player)|Hmm, nothing happened... I should check the pipeline.|嗯，没有事情发生...我应该检查一下管道。
171|Speech (Player)|Alright... Now I need to apply maximum pressure into the main pipeline.|好吧...现在我必须施压最大压力于主管道。
172|Speech (Player)|The meter dial will be deep in the red zone once this is complete.|一旦完成，米表将在红色区域底部。
173|Speech (Player)|The meter dial will be in the red zone once this is complete.|一旦完成，米表将在红色区域处。
174|Speech (Player)|That should do it, now lets go get that night vision camera.|好了，现在去拿那夜视相机吧。
175|Speech (Narrator)|(COULD NOT CONNECT TO SATELLITE STATION)|(无法连接到卫星站)
176|Speech (Player)|Dang it, For some reason I can't contact the satellite station for help...|我去，因为一些原因我没办法从卫星站取得联系来寻求帮助...
177|Speech (Player)|It looks like I'm on my own for now.|看来我现在只能靠自己。
178|Speech (Player)|I wont be able to get help from here, I'll need to go to the satellite station and tell everyone what happened.|我被办法在这寻求帮助，我必须要到卫星站去告诉大家发生什么了。
179|Speech (Player)|Hmm...|嗯...
180|Speech (Player)|Pressure is at maximum, I should be able to open the control room door now.|压力已达最大,我现在应该可以打开控制室了。
181|Hotspot|Night Vision Camera|夜视相机
182|Hotspot|Missing Pipe|遗失的管子
183|Hotspot|Door Controls|门的控制器
184|Hotspot|Pipe|管子
185|Hotspot|Turn Valve|转阀
186|Hotspot|Pipe System|管道系统
187|Speech (Player)|Tinky Winky is still around, I need to be careful...|丁丁还在附近，我需要小心点。
188|Speech (Player)|Tinky winky, snap out of it! This isn't you..|丁丁，振作起来！这不像你..
189|Speech (Player)|Oh my god...|我的天...
190|Speech (Player)|I need to get to the satellite station through the mountains or through the cave NOW!|我需要通过山脉或通过洞穴来到达卫星站！
191|Speech (Player)|Where should I go look for custards next?|我应该去哪里去找奶昔？
192|Speech (Player)|Hmm... no custard here.  Maybe it's outside the house.|嗯...这里没有奶昔。 也许它在屋外。
193|Speech (Player)|The custard should be around here somewhere.|奶昔应该在这里的某个地方。
194|Speech (Player)|Ok, a custard should be somewhere in this area...|Ok，一个奶昔应该在这里的区域...
195|Speech (Player)|This path leads to the lake.  Let's hope I don't run into Tinky Winky...|这条路通往湖边。 希望我不要撞上丁丁...
196|Speech (Player)|Ah ha! The first custard.  According to my computer there should be four more custards in the area.|啊哈！ 第一个奶昔。 根据我的电脑显示，这地方应该还有四个奶昔。
197|Speech (Player)|I hope I can get them before it's too late...|我希望在太迟之前可以得到它们...
198|Speech (Player)|The entrance to the cave, there should be a custard around here somewhere...|洞穴的入口，这里应该有一个奶昔在附近...
199|Speech (Player)|...I'm so sorry....|...我很抱歉....
200|Speech (Player)|If I'm correct, there should be a custard up ahead.|如果我是对的，这里应该有个奶昔在前面。
201|Speech (Player)|The sooner I get these custards, the sooner I can go get help from the satellite station...|我越早得到这些奶昔，我就越早可以得到卫星站的帮助...
202|Hotspot|Custard|奶昔
203|Hotspot|Custard|奶昔
204|Hotspot|Custard|奶昔
205|Hotspot|Custard|奶昔
206|Hotspot|Custard|奶昔
207|DialogueOption|Last known location of Po|最后知道小波的位置
208|DialogueOption|Lake|湖
209|DialogueOption|Cave|洞穴
210|DialogueOption|Teletubby house|天线宝宝的家
211|Speech (Player)|This cave is full of dead ends...|这个洞充满了死胡同...
212|Speech (Player)|Not again!|又一次！
213|Speech (Player)|Finally, the exit!|终于，出口！
214|Speech (Player)|Just a little further...|再远一点…
215|Speech (Player)|What is that thing!?|那是什么!?
216|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|我必须到这个洞的另一边去，它会通向郊外的。
217|Speech (Player)|I can't believe Tinky Winky turned into a monster...|我不相信丁丁变成了一个怪物…
218|Speech (Player)|I'm surprised this cave hasn't collapsed yet...|我很惊讶这个山洞还没有倒塌…
219|Speech (Player)|What was that? ...-I should be careful.|那是什么？...-我应该小心一点。
220|Speech (Player)|Day 22. They didn't find out about the journal, but I don't know how long I can hide it, they almost find it last time.|第22天。他们没有找到关于日记的东西，但我不知道我能藏多久，他们上次差点找到了。
221|Speech (Player)|Anyway, testing has been painful lately, they made me-...|不管怎样，最近测试很痛苦，他们让我—…
|Anyway, testing has been painful lately, they made me-...||
|||
222|Speech (Player)|...-The rest of the note is ripped.|-剩下的便条被撕了。
223|Speech (Player)|Day 1. Today I decided to write a journal to tell my adventures with the bestest friends ever!|第1天。今天，我决定写一篇日记告诉我最好的朋友我曾经的冒险旅程！
224|Speech (Player)|These coat men brought us papers and crayons to draw what we want...|这些穿大衣的人给我们拿来纸和蜡笔来画我们想要画的…
225|Speech (Player)|...and we drew the best friend trio!|...然后我们画了三个最好的朋友！
226|Speech (Player)|They are my only but best friends, and I love them!|他们是我唯一的丶最好的朋友，我爱他们！
227|Speech (Player)|I hear coat men, I must hide the journal, they will punish me with electricity if they... find out.|我听到穿大衣的人了，我必须藏起日记，如果它们找到的话，他们会用电...惩罚我。
228|Speech (Player)|There is no way I can jump across that.|我没办法越过那件事。
229|Speech (Player)|Stop ripping my journals.|别再撕我的日记了。
230|Speech (Player)|Day 54. They found my journal and ripped it apart! 22 days thrown to the trash...|第54天。他们找到了我的日记，并把它撕成碎片！有22天被扔到垃圾桶了…
231|Speech (Player)|In other news, 53 has been feeling sick! He feels awful, but the coat men won't help!|另一条消息是，53令人不舒服！他觉得很糟糕，但大衣人不帮忙！
232|Speech (Player)|This is sad, I hope he gets better!|真可悲，我希望他好转！
233|Speech (Player)|I wonder when will they give us real names...|我想知道他们什么时候给我们真实姓名…
234|Speech (Player)|That was close, I don't think he can get me in here...|真是好险，我不认为他能把我带到这里…
235|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|我必须到这个洞的另一边去，它会通向郊外的。
236|Speech (Player)|Day ?????????. What day is it?|第??????????天. 今天星期几？
237|Speech (Player)|They're gone! ******* turned into a monster!|他们走了！*******变成一个怪物！
238|Speech (Player)|******* ran away and I might not see him ever again. I miss them.|*******跑了，我可能再也见不到他了。我想念他们。
239|Speech (Player)|Oh god, what is happenin-|我的天啊，发生什么—
240|Speech (Player)|.............RUN.............|.............跑啊.............
|.............RUN.............||
|||
241|Speech (Player)|...-What in the world happened here?|…-这里到底发生了什么？
242|Speech (Player)|HERE THEY COME .  HELP THEY SAW .  MY JOURNAL.|它们来了。快帮我。它们看了。我的日记。
243|Hotspot|Page|页
244|Hotspot|Page|页
245|Hotspot|Page|页
246|Hotspot|Page|页
247|Hotspot|Page|页
248|Hotspot|Page|页
249|Hotspot|Jump|跳
250|Hotspot|Pit|坑
251|Hotspot|Pit|坑
252|Hotspot|Page|页
253|Speech (Player)|Who is that? I can hear someone talking...|谁在那边？我听见有人在说话…
254|Speech (Unit 437)|Halt!  Where do you think you're going?|停止！你觉得你要去哪里？
255|Speech (Unit 437)|I am meant to chop you up and cook you for the master tomorrow.|我打算明天把你剁碎，然后为主人烹调。
256|Speech (???)|*Loud Yell*|*大声喊叫*
257|Speech (Player)|Oh no, It knows I'm gone!|哦，不，它知道我走了！
258|Speech (Player)|I must get away quickly!|我必须赶紧离开！
259|Speech (Player)|I need to listen carefully...|我需要仔细听…
260|Speech (Player)|If I remember correctly, I was on the other side of this frozen lake when I was attacked.|如果我没记错的话，当我被袭击的时候，我就在结冰的湖面的另一边。
261|Speech (Player)|I need to get my night vision camera before going to the outskirts.|在去郊外之前，我需要得到夜视相机。
262|Speech (Player)|It's so cold...|好冷啊...
263|Speech (Player)|Custard, this far up in the mountains?|奶昔，在这遥远在山上？
264|Speech (Player)|It's frozen now.|已经冻住了。
265|Speech (Player)|Trees are the only living things that can tolerate this climate.|树木是唯一能容忍这种气候的生物。
266|Speech (Player)|Who has been cutting down trees?|谁在砍伐树木？
267|Speech (Player)|No one has been up here for years...|好几年都来没有人上来这里了…
268|Speech (Player)|It's good to feel warmth again.|能够再次感受到温暖是件好事。
269|Speech (Player)|The sooner I get out of here the better.|我越快离开这里越好。
270|Speech (Player)|Past this gate leads to the outskirts...  It appears to be locked with a chain.|过了这道门，就到郊外去了…这似乎被链条锁锁起来了。
271|Speech (Player)|I'll need to find something to break the chain with.|我需要找点东西来打破这个链条。
272|Speech (Player)|I think I'm going to be sick...|我想我要生病了…
273|Speech (Player)|Ok, I think I'm safe...|好吧，我想我很安全…
274|Speech (Unit 437)|Farewell.|再会。
275|Speech (Unit 437)|I am chopping down wood for the masters fire.|我在砍木头来为主人点火。
276|Speech (Unit 437)|I must cook the master some food before dawn.|我必须在黎明前给主人做饭。
277|Speech (Player)|Got it!|知道了！
278|Speech (Player)|I should find my night vision camera before going to the outskirts.|我应该在去郊外之前找到我的夜视相机。
279|Speech (Unit 437)|That is correct.|那是正确的。
280|Speech (Player)|Oh my god, is that an eyeball?|哦，天哪，那是眼球吗？
281|Speech (Player)|I can't help but to think it's watching me...|我忍不住想着，它在看着我…
282|Speech (Unit 437)|So be it, once the master finds out you're gone it will hunt you down and kill you.|所以，一旦主人发现你走了，它就会追杀你，然后置你于死地。
283|Speech (Player)|Huh, an old pipe... Maybe I can use it to break open the chain on the gate.|嗯，一条旧管子…也许我可以用它来破坏大门上的链子。
284|Speech (Unit 437)|Yes, I believe you dropped it when the master took you.|是的，我相信你在主人带走你的时候把它弄掉了。
285|Speech (Player)|Uh... Hello...|呃... 你好...
286|Speech (Unit 437)|Greetings.|祝福你。
287|Speech (Unit 437)|Come... with you? The master will not like that at all.|跟随...你？ 主人一点也不喜欢这样。
288|Speech (Unit 437)|I failed my directives once, I will not fail them again.|我有一次指挥失败了，我不会再让他们失望了。
289|Speech (Unit 437)|Once the master finds out you're gone, it will hunt you down and kill you.|一旦主人发现你走了，它就会追杀你，然后置你于死地。
290|Speech (Unit 437)|You will be, I'm afraid. Don't worry, I can make a very nice salsa. You will die, but will taste very good!|恐怕你会的。别担心，我可以做一个很好的莎莎酱。你会死的，但尝起来会很好！
291|Speech (Player)|Where am I?|我在哪里？
292|Speech (Unit 437)|I am Unit 437, a security droid created by the machines.|我是“第437单元”，是由机器创建的安全机器人。
293|Speech (Unit 437)|My original directive was to kill the master before it escaped from the main land.|我最初的指令是在主人离开家园之前杀死他。
294|Speech (Unit 437)|However, once I encountered the master I knew I was not capable of defeating it.|然而，一旦我遇到了主人，我就知道我没有能力战胜它。
295|Speech (Unit 437)|...I'm not very good at my job.|…我不是很擅长于自己的工作。
296|Speech (Unit 437)|At that point I knew I only had two choices.  To serve, or be destroyed.|在那时，我知道我只有两种选择。要么服从，要么被毁灭。
297|Speech (Unit 437)|I chose to serve.|我选择服从。
298|Speech (Unit 437)|Now my directive is to build fires to keep the master warm.|现在我的指令是生火以保持主人温暖。
299|Speech (Unit 437)|I also cook the masters meals.  I keep the master alive.|我也做主人的饭菜。我让主人活着。
300|Speech (Player)|I need to get out of here before I become food.|我必须在我变成食物之前离开这里。
301|Speech (Unit 437)|If you leave I'll have to inform the master that death is an inconvenience for you.|如果你离开我就必须知会主人，死亡会给你带来诸多不便。
302|Speech (Unit 437)|The master will be very angry.|主人会很生气的。
303|Speech (Unit 437)|Please, the master will destroy me if it found out I let you go.|拜托，如果他发现我让你走了，主人会毁了我的。
304|Speech (Unit 437)|Tomorrow you will be chopped up and cooked for the master to eat.|明天你将被剁丶煮熟，供主人吃。
305|Speech (Player)|At last, my night vision camera...|最后，我的夜视相机…
306|Speech (Player)|Oh no, it looks like the lens cracked when I dropped it.|哦，不，我把它摔下来的时候把镜头摔裂了。
307|Speech (???)|...............|...............
308|Hotspot|Gate|大门
309|Hotspot|Fire|火
310|Hotspot|Eyeball|眼球
311|Hotspot|Pipe|管线
312|Hotspot|Bloody Remains|血腥的痕迹
313|Hotspot|Raw Meat|生肉
314|Hotspot|Bloody Remains|血腥的痕迹
315|Hotspot|Custard Splat|翻倒的奶昔
316|Hotspot|Trees|树
317|Hotspot|Stump|树墩
318|Hotspot|Stump|树墩
319|Hotspot|Droid|机器
320|DialogueOption|[Go Left]|[向左走]
321|DialogueOption|[Go Right]|[向右走]
322|DialogueOption|[Go Left]|[向左走]
323|DialogueOption|[Go Right]|[向右走]
324|DialogueOption|The master, is that the thing that took me?|主人，那是带我走的东西吗？
325|DialogueOption|Why was I brought here?|我为什么被带到这里来？
326|DialogueOption|I'm not food!|我不是食物！
327|DialogueOption|Who are you?|你是谁？
328|DialogueOption|What are you doing?|你在做什么？
329|DialogueOption|Have you seen my night vision camera?|你有看到我的夜视摄像机吗？
330|DialogueOption|Goodbye.|再见。
331|DialogueOption|[Go Left]|[向左走]
332|DialogueOption|[Go Right]|[向右走]
333|DialogueOption|I need to get to the outskirts and find the satellite station.|我要到郊外去找卫星站。
334|DialogueOption|I need to find my night vision camera.|我需要找到我的夜视相机。
335|DialogueOption|None of your business.|关你屁事。
336|DialogueOption|I plan to be long gone before your master finds out.|我计划在你的主人发现之前离开一阵子。
337|DialogueOption|Come with me, you're a slave!|跟我来，你个奴隶！
338|DialogueOption|You're a coward.|你是个懦夫。
339|DialogueOption|[Go Left]|[向左走]
340|DialogueOption|[Go Right]|[向右走]
341|DialogueOption|Please, don't kill me...|求你了，别杀我…
342|DialogueOption|Where are you taking me?|你要带我去哪里？
343|DialogueOption|Who are you?|你是谁?
344|DialogueOption|...|...
345|Speech (Player)|At last I'm here... This is the entrance to the satellite station.|我终于在这里了…这是卫星站的入口。
346|Speech (Player)|Hmm... How do I get in?|嗯…我要怎么进去？
347|Speech (Lala_Alive)|......................................|......................................
348|Speech (Player)|Why are you here anyway? I thought you were... well..|你怎么会在这里？我以为你...好吧...
349|Speech (Lala_Alive)|I ran away... from Tinky Winky... before he caught me in the house. I ran away until I came across this place, so I used it as a hideout. He tried to-... H-he caused-... *sniff* They are all dead.|我逃过一劫了…从丁丁那儿…在他抓住我之前。我跑掉了，直到我来到这个地方，我把它作为一个藏身之处。他试图—…他造成的—…*嗅*他们都死了。
350|Speech (Player)|Oh no, Laa Laa's here...|哦不，拉拉来了…
351|Speech (Player)|Tinky Winky scratched out her eyes, she can't see me.|丁丁挖了她的眼睛，她看不见我。
352|Speech (Player)|But she can still hear me, I need to be quiet...|但她仍然可以听得到我，我需要安静点…
353|Speech (Player)|I should find all the custards in this area before proceeding to the satellite station.|我应该找到所有奶昔再前往卫星站。
354|Speech (Lala_Alive)|W-who are you? How do you know me?|你-你是谁？你怎么认识我的？
355|Speech (Player)|The satellite station isn't far from here, let's go.|卫星站离这儿不远，我们走吧。
356|Speech (Lala_Alive)|*Cough cough cough*|*咳 咳 咳*
357|Speech (Lala_Alive)|So... *sniff* what's your plan?|所以…*嗅*你有什么计划？
