ID|Type|Original line|The translation
22|Speech (Player)|What I'm doing here is none of your concern.|Ceea ce fac aici nu te preocupa
23|Speech (Noo Noo)|You are my concern, I am here for you.|"Tu ești preocuparea mea, sunt aici pentru tine. "
24|Speech (Player)|It sure is! Today is nice and warm.|"Cu siguranță e! Astăzi este frumos și cald. "
25|Speech (Noo Noo)|I am unable to feel warmth.|"Nu pot să simt căldură. "
26|Speech (Dipsy (Hungry))|Nope, it's been missing for so long that I can't even remember when I lost it.|Nup, a lipsit atât de mult încât nici măcar nu-mi amintesc când l-am pierdut.
27|Speech (Player)|You'll find it eventually, I'm sure.|Il vei găsi în cele din urmă, sunt sigur.
28|Speech (Player)|I should probably give Dipsy some tubby custard.|"Probabil ar trebui să-i dau lui Dipsy niște budincă. "
29|Speech (Player)|I'll need to find the tool box before I can fix this.|Va trebui să găsesc trusa cu scule înainte să pot rezolva asta.
30|Speech (Player)|(He's my best friend!)|"(E cel mai bun prieten al meu!) "
31|Speech (Player)|It's ready, time to give it to one of my friends!|"E gata, timpul să dau unui prieten! "
32|Speech (Player)|I'm already carrying a custard.|"Car deja o budincă. "
33|Speech (Player)|Now to make myself some tubby custard!|Timpul sa-mi fac o budinca.
34|Speech (Player)|I can't sleep...|Nu pot sa dorm...
35|Speech (Player)|*Gasp*|Ce?
36|Speech (Player)|Tubby custard, how did that get here?|"Budincă? cum a ajuns aici? "
37|Speech (Player)|Tinky Winky doesn't seem to be here, I guess I better check the lake.|"Tinky Winky nu pare să fie aici, cred că ar fi bine să verific lacul. "
38|Speech (Player)|Tinky Winky...?|Tinky Winky...?
39|Speech (Player)|Wh... What happened to La La...?|Ce sa întâmplat cu La La ...?
40|Speech (Player)|Are you ok...?|"Eşti în regulă...? "
41|Speech (Player)|Oh my god!|"O Doamne! "
42|Speech (Player)|He's chasing me, I better get to the house quick!|Mă urmărește,trebuie să ajung rapid la casă!
43|Speech (Player)|Hey Dipsy...|Hei Dipsy...
44|Speech (Dipsy (Hungry))|Hey.|Hei.
45|Speech (Player)|It still works, but I don't need it right now.|" Încă funcționează, dar nu am nevoie chiar acum."
46|Speech (Tinky Winky)|........................................|........................................
47|Speech (Player)|Wait, where are you going!?|"Stai, unde te duci? "
48|Speech (Tinky Winky)|Wow PO don't be so rude.|"Wow PO nu fi atât de nepoliticos. "
49|Speech (Player)|Get used to it.|"Obisnuieste-te. "
50|Speech (Tinky Winky)|*Tinky Winky is offended*|"* Tinky Winky este ofensat * "
51|Speech (Player)|Power is now on, time to make some custard!|"Electricitatea este aprinsa, timpul pentru a face niște budincă! "
52|Speech (Player)|We should get you a rain coat.|"Ar trebui să-ți dăm o haina de ploaie. "
53|Speech (Noo Noo)|That would be practical.|"Ar fi practic. "
54|Speech (Player)|Alright, now time to fix the custard machine...|"Bine, acum e timpul să reparăm mașina de Budincă ... "
55|Speech (Player)|Will you just go away?|"Vrei să pleci? "
56|Speech (Noo Noo)|You should treat others how you'd like to be treated.|" Ar trebui să-i tratezi pe alții cum doresti să fii tratat."
57|Speech (Lala)|I don't really feel like playing...|Nu prea am chef sa joc ...
58|Speech (Tinky Winky)|Hi Po, I'm getting hungry...|Bună Po, îmi este foame ...
59|Speech (Player)|Me too! Lets go inside and get tubby custard.|Şi mie!Hai să mergem înăuntru și să luăm budincă.
60|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|"Bine! Dar ar trebui să vorbești mai întâi cu LaLa, a fost supărată toată ziua. "
61|Speech (Player)|Uh oh! The machine is broken again, I guess I better fix it.|"Uh oh! Mașina s-a stricat din nou,ar trebuii sa o repar. "
62|Speech (Tinky Winky)|Please hurry, I'm so hungry! Go fetch the tool box.|Vă grăbiți, mi-e foame! Aduceti-mi trusa de scule .
63|Speech (Player)|Here you go Tinky Winky!|"Poftim Tinky Winky! "
64|Speech (Tinky Winky)|Thank you PO! I couldn't live without you.|"Mulțumesc PO! Nu as putut trăi fără tine. "
65|Speech (Player)|Guys wake up, Tinky Winky broke the custard machine and left!|"Trezitiva, Tinky Winky a spart mașina de budincă și a plecat! "
66|Speech (Lala)|...Huh what? why?|"...Ce? De ce? "
67|Speech (Player)|I don't know but I'm worried.  We need to find him.|"Nu știu, dar sunt îngrijorat. Trebuie să-l găsim. "
68|Speech (Lala)|Ok, go get a torch from the work bench and I'll be up in a minute.|"Bine, du-te să iei o torță de la banca de lucru și o să mă trezesc într-un minut. "
69|Speech (Dipsy (Hungry))|*zzz*... You guys go on, I'll wait here in case he comes back.. *zzz*|"* Zzz * ... Voi mergeți, voi aștepta aici, în caz că se va întoarce .. * zzz * "
70|Speech (Player)|I'm getting kinda hungry.|"Mi-e cam foame. "
71|Speech (Noo Noo)|There is custard back at our home.|"Mai este o budincă în casa noastră. "
72|Speech (Player)|Chear up Laa Laa, I made some custard for you to make you feel better.|" Laa Laa, am făcut niște budincă pentru a te face să te inveseli."
73|Speech (Lala)|*sniff* Thank you Po, you are a true friend.|"* Sniff * Mulțumesc Po, ești un adevărat prieten. "
74|Speech (Lala)|*La La feels a bit better*|"* La La se simte mai bine * "
74|Speech (Lala)|*Laa Laa feels a bit better*|"* Laa Laa se simte un pic mai bine * "
75|Speech (Player)|I'm just playing, it's great fun!|"Doar ma joc, e distractiv! "
76|Speech (Noo Noo)|I am glad you are enjoying yourself.|"Mă bucur că te distrezi de tine. "
77|Speech (Lala)|Oh hi again Po... *sniff*|"Oh buna din nou Po ... * sniff * "
78|Speech (Player)|Ok, time to find Tinky Winky...|"Ok, timpul pentru al găsi pe Tinky Winky ... "
79|Speech (Lala)|Hey! Why did you do... um... it's okay, I didn't want to play with it anyway.|" Ok, timpul pentru.. Hey! De ce ai făcut ... um ... ok, nu am vrut să joc cu ea oricum. Găsestel Tinky Winky ..."
80|Speech (Player)|Hello Noo Noo!|"Bună  Noo Noo! "
81|Speech (Noo Noo)|Greetings Po.|"Salutări Po. "
82|Speech (Dipsy (Hungry))|Oh if you are making custard, make me some too!|"Oh, dacă faci budincă, fă-mi și mie! "
83|Speech (Lala)|No.. I had a bad dream last night, it was about us and bad things happened... but I can't remember what.|"Nu. Am avut un vis rău noaptea trecută, era vorba de noi și lucrurile rele au avut loc ... dar nu-mi amintesc ce. "
84|Speech (Player)|Sounds scary, but it was just a dream.. try to forget about it.|"Sună înfricoșător, dar a fost doar un vis ... încearca să uitați de el. "
85|Speech (Player)|Here you go Dipsy!|Poftim Dipsy!
86|Speech (Dipsy (Hungry))|Thank you PO, don't forget about yourself! You must be hungry.|"Mulțumesc PO,sa nu uiți de tine! Trebuie să-ti fie foame. "
87|Speech (Player)|That sucks.|Nasol
88|Speech (Noo Noo)|Yes, it does.|Da, este nasol.
89|Speech (Player)|They are so pretty!|"Sunt atât de drăguțe! "
90|Speech (Player)|It's not for me, I prefer cold weather...|"Nu e pentru mine, eu prefer vremea rece ... "
91|Speech (Noo Noo)|Information noted.|"Informațiile au fost remarcate. "
92|Speech (Tinky Winky)|Eh-Oh! I want tubby custard!|Eh-Oh!Eu vreau budincă!
93|Speech (Player)|Me too! Lets go inside and get some.|"Şi eu! Să mergem înăuntru și să luăm câteva. "
94|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|"O.K! Dar ar trebui să vorbești mai întâi cu LaLa, a fost supărată toată ziua. "
95|Speech (Lala)|...Yeah...|"... Da ... "
96|Speech (Player)|Would you like to play Noo Noo?|"Doresti să joci Noo Noo? "
97|Speech (Noo Noo)|Perhaps later, Po.|"Poate mai târziu, Po. "
98|Speech (Player)|Grow up La La, I don't want to hear it... Now shut up and eat.|" Treci peste La La, nu vreau să mai aud ... Acum taci și mânanca."
99|Speech (Lala)|*La La is scared*|"* La La este speriata * "
99|Speech (Lala)|*Laa Laa is scared*|"* Laa Laa este speriată * "
100|Speech (Player)|Phew! That should do it.|"Pfiu!Asta ar trebui să o facă. "
101|Speech (Tinky Winky)|Yay you did it, tubby custard!|Ai reusit, budincă!
102|Speech (Dipsy (Hungry))|Could you please make custard and hand it out to each of us? We're hungry!|Te rog să faci budincă și să-i dai in mana fiecăruia dintre noi? Ne e foame!
103|Speech (Player)|Yeah, sure... I guess I'll make my own once I've made enough for you guys.|Da, sigur ... Cred că o să-mi fac si mie când am făcut destula pentru voi.
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|"Ar trebui să fie pe suportul de scule lângă paturi. "
10|Speech (Player)|Alright thanks!|"Bine multumesc! "
104|Speech (Player)|No power.|Nu este electricitate.
105|Speech (Player)|The view from the lake today is wonderful, I'm embracing it.|Privelistea lacului este minunată astăzi, o ador.
106|Speech (Noo Noo)|What I see is danger, I am not waterproof.|Ceea ce văd este pericol, nu sunt impermeabil.
107|Speech (Player)|Tinky Winky! Are you around here?|Tinky Winky! Ești aici?
108|Speech (Player)|I guess I should look around...|Cred că ar trebui să mă uit în jur ...
109|Speech (Player)|Hey Dipsy...|Hei Dipsy...
110|Speech (Dipsy (Hungry))|Hey.|Hei.
111|Hotspot|Flowers|Flori
112|Hotspot|Toggle Power (On)|Aprinde electricitatea (On)
113|Hotspot|Builders Torch|lanterna constructorilor
114|Hotspot|Laa Laa|Laa Laa
115|Hotspot|Flowers|Flori
116|Hotspot|Flowers|Flori
117|Hotspot|Custard Machine|Mașină de budincă
118|Hotspot|Laa Laa's Ball|Mingea lui Laa Laa
119|Hotspot|Tinky Winky|Tinky Winky
120|Hotspot|Enter House|"Intra in casa "
121|Hotspot|Dipsy|Dipsy
122|DialogueOption|Are you ok?|"Eşti în regulă? "
123|DialogueOption|Do you want to play?|"Vrei să te joci? "
124|DialogueOption|Goodbye!|"La revedere! "
125|DialogueOption|[Wake The Others]|"Trezește-i pe ceilalți "
126|DialogueOption|[Follow Tinky Winky Alone]|Urmărestel pe Tinky Winky singur
127|DialogueOption|Have you found your hat yet?|"Ți-ai găsit încă pălăria? "
128|DialogueOption|Do you know where the tool box is?|"Știți unde este trusa de scule? "
129|DialogueOption|Goodbye!|"La revedere! "
130|DialogueOption|(Enter House)|(Intra in casa )
131|DialogueOption|(Stay)|(Stai)
132|DialogueOption|What are you doing?|"Ce faci? "
133|DialogueOption|Get back into bed its late.|"Întoarce-te în pat, e târziu. "
134|DialogueOption|You broke the machine!|"Ai spart mașina! "
135|DialogueOption|[Left]|[Stânga]
136|DialogueOption|[Right]|[Dreapta]
137|DialogueOption|Would you like to play?|"Doresti să joci? "
138|DialogueOption|I'm getting hungry.|"Mi-e foame. "
139|DialogueOption|That sucks.|Ce nasol.
140|DialogueOption|We should get you a rain coat.|"Ar trebui să-ți dăm o haina de ploaie. "
141|DialogueOption|I didn't mean to be rude.|"N-am vrut să fiu nepoliticos. "
142|DialogueOption|Go away.|"Pleacă de aici. "
143|DialogueOption|[Comfort]|[Conforteaza]
144|DialogueOption|[Insult]|[Insulta]
145|DialogueOption|Hi Tinky Winky..|Buna Tinky Winky..
146|DialogueOption|Eh-Oh!|Eh-Oh!
147|DialogueOption|Out of my way!|"Dă-te din calea mea! "
148|DialogueOption|\Hidden|\Ascuns
149|DialogueOption|Have you found your hat yet?|"Ți-ai găsit încă pălăria? "
150|DialogueOption|Do you know how to turn on the custard machine?|"Știți cum să porniți mașina de budincă? "
151|DialogueOption|Goodbye!|"La revedere! "
152|DialogueOption|Hello Noo Noo!|Buna Noo Noo!
153|DialogueOption|It's nice and warm.|"E frumos și cald. "
154|DialogueOption|I prefer cold weather...|Prefer vremea rece ...
155|DialogueOption|I'm having fun!|"Mă distrez! "
156|DialogueOption|I'm just enjoying the view.|" Mă bucur de priveliste."
157|DialogueOption|None of your concern.|Nu te preocupa pe tine.
158|Speech (Player)|It's dark, I'll need to get my night vision camera from the storage room before going outside.|Este întuneric, va trebui să-mi iau camera cu viziune de noapte din camera de depozitare înainte de a ieși afară.
159|Speech (Player)|The storage room is locked, I can unlock it from the control room...|Sala de depozitare este încuiată, o pot debloca din camera de comandă ...
160|Speech (Player)|Once I get these custards I should go to the satellite station for help.|Odată ce i-au aceste budinci ar trebui să mă duc la stația de satelit pentru ajutor.
161|Speech (Player)|Other tubbies will be there.|"Alți teletubbii vor fi acolo. "
162|Speech (Player)|I must hurry!|"Trebuie să mă grăbesc! "
163|Speech (Player)|This is the control room... I forget how to open this door.|"Aceasta este camera de control ...am uitat cum să deschid această ușă. "
164|Speech (Player)|The door is sealed.  I need to unlock it from the control room.|"Ușa este sigilată. Trebuie să o deblochez din camera de control. "
165|Speech (Player)|The control room is on the right.|"Camera de control este pe dreapta. "
166|Speech (Player)|A pipe, this could be useful.|"O conductă, ar putea fi utilă. "
167|Speech (Player)|Alright, lets go get the remaining custards before they do any more damage.|În regulă, să mergem să luăm budincile rămase înainte ca acestea să facă mai multe pagube.
168|Speech (Player)|Ok, now time to unlock the storage room door.  The door controls should be in here somewhere.|Ok, acum ai timp să deblochez ușa camerei de depozitare. Controalele ușilor ar trebui să fie undeva aici.
169|Speech (Player)|There is a pipe missing here...|"Există o țeavă care lipsește aici ... "
170|Speech (Player)|Hmm, nothing happened... I should check the pipeline.|"Nu sa întâmplat nimic ... Ar trebui să verific conductele. "
171|Speech (Player)|Alright... Now I need to apply maximum pressure into the main pipeline.|"Bine ... Acum trebuie să aplic maximă presiune în conducta principală. "
172|Speech (Player)|The meter dial will be deep in the red zone once this is complete.|"Aparatul de măsură va fi adânc în zona roșie după ce aceasta va fi finalizată. "
173|Speech (Player)|The meter dial will be in the red zone once this is complete.|"Aparatul de măsură va fi în zona roșie după ce aceasta va fi finalizată. "
174|Speech (Player)|That should do it, now lets go get that night vision camera.|Asta arr trebui să o facă, acum să merg să i-au camera cu viziune nocturna.
175|Speech (Narrator)|(COULD NOT CONNECT TO SATELLITE STATION)|(NU SE POATE CONECTA LA STATIA SATELITA)
176|Speech (Player)|Dang it, For some reason I can't contact the satellite station for help...|"Din anumite motive, nu pot contacta postul de satelit pentru ajutor ... "
177|Speech (Player)|It looks like I'm on my own for now.|"Se pare că sunt pe cont propriu acum. "
178|Speech (Player)|I wont be able to get help from here, I'll need to go to the satellite station and tell everyone what happened.|Nu voi putea să primesc ajutor de aici, va trebui să mă duc la stația de satelit și să spun tuturor ce sa întâmplat.
179|Speech (Player)|Hmm...|Hmm...
180|Speech (Player)|Pressure is at maximum, I should be able to open the control room door now.|"Presiunea este maximă, aș putea să deschid ușa camerei de control acum. "
181|Hotspot|Night Vision Camera|Camera cu viziune nocturna
182|Hotspot|Missing Pipe|Țeava care lipseste
183|Hotspot|Door Controls|"Controlul ușii "
184|Hotspot|Pipe|țeavă
185|Hotspot|Turn Valve|"Răsuceste supapa "
186|Hotspot|Pipe System|"Sistemul de țevi "
187|Speech (Player)|Tinky Winky is still around, I need to be careful...|"Tinky Winky încă este în jur, trebuie să fiu atent ... "
188|Speech (Player)|Tinky winky, snap out of it! This isn't you..|Tinky winky, trezeste-te ! Asta nu esti tu ..
189|Speech (Player)|Oh my god...|"O Doamne ... "
190|Speech (Player)|I need to get to the satellite station through the mountains or through the cave NOW!|"Trebuie să ajung la stația de satelit prin munți sau prin peșteră ACUM! "
191|Speech (Player)|Where should I go look for custards next?|"Unde ar trebui să merg mai târziu să caut budinci? "
192|Speech (Player)|Hmm... no custard here.  Maybe it's outside the house.|"Hmm ... nicio budincă aici. Poate că e în afara casei. "
193|Speech (Player)|The custard should be around here somewhere.|budinca ar trebui să fie pe aici undeva.
194|Speech (Player)|Ok, a custard should be somewhere in this area...|"Ok, o budincă ar trebui să fie undeva în această zonă ... "
195|Speech (Player)|This path leads to the lake.  Let's hope I don't run into Tinky Winky...|Această cale duce spre lac. Să sperăm că nu dau de Tinky Winky ...
196|Speech (Player)|Ah ha! The first custard.  According to my computer there should be four more custards in the area.|Ah ha! Prima budincă. Potrivit calculatorului meu, ar trebui să existe încă patru budinci în zonă.
197|Speech (Player)|I hope I can get them before it's too late...|"Sper că le pot lua înainte să fie prea târziu ... "
198|Speech (Player)|The entrance to the cave, there should be a custard around here somewhere...|Intrarea în peșteră, ar trebui să fie o budincă pe aici undeva ...
199|Speech (Player)|...I'm so sorry....|"... Imi pare atat de rau .... "
200|Speech (Player)|If I'm correct, there should be a custard up ahead.|"Dacă am calculat corect, ar trebui să existe o budincă înainte. "
201|Speech (Player)|The sooner I get these custards, the sooner I can go get help from the satellite station...|Daca i-au budincile rapid pot sa cer ajutor de la statia satelita
202|Hotspot|Custard|Budincă
203|Hotspot|Custard|Budincă
204|Hotspot|Custard|Budincă
205|Hotspot|Custard|Budincă
206|Hotspot|Custard|Budincă
207|DialogueOption|Last known location of Po|"Ultima locație cunoscută a Po "
208|DialogueOption|Lake|"Lac "
209|DialogueOption|Cave|Peşteră
210|DialogueOption|Teletubby house|"Casa Teletubby "
211|Speech (Player)|This cave is full of dead ends...|"Această peșteră este plină de infundaturi... "
212|Speech (Player)|Not again!|"Nu din nou! "
213|Speech (Player)|Finally, the exit!|"În cele din urmă, ieșirea! "
214|Speech (Player)|Just a little further...|"Inca puțin mai in fata ... "
215|Speech (Player)|What is that thing!?|Ce e aia!?
216|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|"Trebuie să ajung in cealaltă parte a acestei peșteri, va duce la periferie. "
217|Speech (Player)|I can't believe Tinky Winky turned into a monster...|"Nu-mi vine să cred că Tinky Winky sa transformat într-un monstru ... "
218|Speech (Player)|I'm surprised this cave hasn't collapsed yet...|"Sunt surprins că această peșteră nu sa prăbușit încă ... "
219|Speech (Player)|What was that? ...-I should be careful.|"Ce a fost asta? Ar trebui să fiu atent. "
220|Speech (Player)|Day 22. They didn't find out about the journal, but I don't know how long I can hide it, they almost find it last time.|"Ziua 22. Ei nu au aflat despre jurnal, dar nu știu cât timp o pot ascunde, aproape că au găsito ultima oară. "
221|Speech (Player)|Anyway, testing has been painful lately, they made me-...|"Oricum, testarea a fost dureroasa in ultima vreme, ma facut ... "
|Anyway, testing has been painful lately, they made me-...||
|||
222|Speech (Player)|...-The rest of the note is ripped.|"... - Restul paginii este rupt. "
223|Speech (Player)|Day 1. Today I decided to write a journal to tell my adventures with the bestest friends ever!|" Ziua 1. Astăzi am decis să scriu un jurnal pentru a-mi spune aventurile mele cu cei mai buni prieteni vreodată!"
224|Speech (Player)|These coat men brought us papers and crayons to draw what we want...|"Acești bărbați ne-au adus hârtii și creioane pentru a desena ceea ce ne dorim ... "
225|Speech (Player)|...and we drew the best friend trio!|"... și am desenat cel mai bun trio de prieteni! "
226|Speech (Player)|They are my only but best friends, and I love them!|"Sunt singurii prieteni ai mei, dar cei mai buni prieteni, si ii iubesc! "
227|Speech (Player)|I hear coat men, I must hide the journal, they will punish me with electricity if they... find out.|Am auzit bărbații, trebuie să ascund jurnalul, mă vor pedepsi cu electricitate dacă ... află.
228|Speech (Player)|There is no way I can jump across that.|"Nu pot să trec peste asta. "
229|Speech (Player)|Stop ripping my journals.|"Nu imi mai rupe jurnalele mele. "
230|Speech (Player)|Day 54. They found my journal and ripped it apart! 22 days thrown to the trash...|"Ziua 54. Mi-au găsit jurnalul și l-au rupt! 22 de zile aruncate în gunoi ... "
231|Speech (Player)|In other news, 53 has been feeling sick! He feels awful, but the coat men won't help!|" În alte știri, 53 sa simțit rău! Se simte groaznic, dar bărbații nu il vor ajuta!"
232|Speech (Player)|This is sad, I hope he gets better!|Ce trist.. sper sa se faca mai bine
233|Speech (Player)|I wonder when will they give us real names...|"Mă întreb când ne vor da nume reale ... "
234|Speech (Player)|That was close, I don't think he can get me in here...|"Asta a fost aproape, nu cred că mă poate prinde aici ... "
235|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|Trebuie să ajung in cealaltă parte a acestei peșteri, va duce la periferie.
236|Speech (Player)|Day ?????????. What day is it?|"Ziua ?????????. Ce zi este? "
237|Speech (Player)|They're gone! ******* turned into a monster!|"S-au dus! ******* sa transformat într-un monstru! "
238|Speech (Player)|******* ran away and I might not see him ever again. I miss them.|"******* a fugit și s-ar putea să nu-l mai văd niciodată. Mi-e dor de ei. "
239|Speech (Player)|Oh god, what is happenin-|Doamne, ce se întâmp-
240|Speech (Player)|.............RUN.............|.....FUGI....
|.............RUN.............||
|||
241|Speech (Player)|...-What in the world happened here?|"... Ce se întâmplă aici? "
242|Speech (Player)|HERE THEY COME .  HELP THEY SAW .  MY JOURNAL.|IATĂ-I CĂ VIN, AJUTOR MI-AU VAZUT JURNALUL
243|Hotspot|Page|Pagină
244|Hotspot|Page|Pagină
245|Hotspot|Page|Pagină
246|Hotspot|Page|Pagină
247|Hotspot|Page|Pagină
248|Hotspot|Page|Pagină
249|Hotspot|Jump|Sari
250|Hotspot|Pit|Groapă
251|Hotspot|Pit|Groapă
252|Hotspot|Page|Pagină
253|Speech (Player)|Who is that? I can hear someone talking...|"Cine este? Pot auzi pe cineva vorbind ... "
254|Speech (Unit 437)|Halt!  Where do you think you're going?|"Halt! Unde crezi ca pleci? "
255|Speech (Unit 437)|I am meant to chop you up and cook you for the master tomorrow.|Sunt obligat sa te tai și să te gătesc pentru maestru mâine.
256|Speech (???)|*Loud Yell*|*Strigăt puternic*
257|Speech (Player)|Oh no, It knows I'm gone!|"Oh, nu, știe că am plecat! "
258|Speech (Player)|I must get away quickly!|"Trebuie să plec repede! "
259|Speech (Player)|I need to listen carefully...|"Trebuie să ascult cu atenție ... "
260|Speech (Player)|If I remember correctly, I was on the other side of this frozen lake when I was attacked.|"Dacă îmi amintesc corect, eram pe cealaltă parte a acestui lac înghețat când am fost atacat. "
261|Speech (Player)|I need to get my night vision camera before going to the outskirts.|Trebuie sa imi i-au camera cu viziune nocturna inainte de a merge la periferie
262|Speech (Player)|It's so cold...|"Este atât de frig... "
263|Speech (Player)|Custard, this far up in the mountains?|"Budinca?, atât de sus în munți? "
264|Speech (Player)|It's frozen now.|"Este înghețată acum. "
265|Speech (Player)|Trees are the only living things that can tolerate this climate.|"Copacii sunt singurele lucruri vii care pot tolera acest climat. "
266|Speech (Player)|Who has been cutting down trees?|"Cine a tăiat copacii? "
267|Speech (Player)|No one has been up here for years...|"Nimeni nu a fost aici de ani de zile ... "
268|Speech (Player)|It's good to feel warmth again.|"Este bine sa te simti din nou caldura. "
269|Speech (Player)|The sooner I get out of here the better.|"Daca plec de aici devreme este bine "
270|Speech (Player)|Past this gate leads to the outskirts...  It appears to be locked with a chain.|"Trecând prin poarta asta pot ajunge la periferie ... Se pare că este blocată cu un lanț. "
271|Speech (Player)|I'll need to find something to break the chain with.|"Trebuie să găsesc ceva pentru a rupe lanțul . "
272|Speech (Player)|I think I'm going to be sick...|Cred că mi se face rau.
273|Speech (Player)|Ok, I think I'm safe...|"Ok, cred că sunt în siguranță ... "
274|Speech (Unit 437)|Farewell.|"Ramas bun. "
275|Speech (Unit 437)|I am chopping down wood for the masters fire.|Am tăiat lemn pentru focul maestrulu.
276|Speech (Unit 437)|I must cook the master some food before dawn.|Trebuie să gătesc stăpânului niște mâncare înainte de zori.
277|Speech (Player)|Got it!|"Am înţeles! "
278|Speech (Player)|I should find my night vision camera before going to the outskirts.|"Ar trebui să-mi găsesc camera cu viziune nocturna înainte de a merge la periferie. "
279|Speech (Unit 437)|That is correct.|"Corect. "
280|Speech (Player)|Oh my god, is that an eyeball?|"Dumnezeule,ala e un ochi? "
281|Speech (Player)|I can't help but to think it's watching me...|"Nu pot decât să cred că mă privește ... "
282|Speech (Unit 437)|So be it, once the master finds out you're gone it will hunt you down and kill you.|"Așa să fie, odată ce maestrul află că ai plecat, te va căuta și te va ucide. "
283|Speech (Player)|Huh, an old pipe... Maybe I can use it to break open the chain on the gate.|"Huh, o țeavă veche ... Poate o pot folosi pentru a rupe lanțul de pe poarta. "
284|Speech (Unit 437)|Yes, I believe you dropped it when the master took you.|"Da, cred că ai scapat-o când te-a luat maestrul. "
285|Speech (Player)|Uh... Hello...|"Uh...Bună ... "
286|Speech (Unit 437)|Greetings.|" Salutari."
287|Speech (Unit 437)|Come... with you? The master will not like that at all.|Eu? sa vin cu tine? Stăpânului nu-i va plăcea deloc.
288|Speech (Unit 437)|I failed my directives once, I will not fail them again.|Mi-am eșuat odată directivele, nu le voi mai eșua.
289|Speech (Unit 437)|Once the master finds out you're gone, it will hunt you down and kill you.|"Odată ce maestrul află că ai plecat, te va căuta și te va ucide. "
290|Speech (Unit 437)|You will be, I'm afraid. Don't worry, I can make a very nice salsa. You will die, but will taste very good!|Vei fi, mi-e teamă. Nu-ți face griji, pot să fac o salsă foarte gustoasa. Vei muri, dar veți gusta foarte bine!
291|Speech (Player)|Where am I?|"Unde sunt? "
292|Speech (Unit 437)|I am Unit 437, a security droid created by the machines.|"Eu sunt Unitatea 437, un droid de securitate creat de mașini. "
293|Speech (Unit 437)|My original directive was to kill the master before it escaped from the main land.|"Direcția mea inițială era de a ucide maestrul înainte de a scăpa de pe pământul principal. "
294|Speech (Unit 437)|However, once I encountered the master I knew I was not capable of defeating it.|"Cu toate acestea, odată ce am întâlnit maestrul, am știut că nu reușesc să il înving. "
295|Speech (Unit 437)|...I'm not very good at my job.|"... Nu sunt foarte bun la slujba mea. "
296|Speech (Unit 437)|At that point I knew I only had two choices.  To serve, or be destroyed.|"În acel moment, știam că am doar două opțiuni. Să slujesc sau sa fiu distrus. "
297|Speech (Unit 437)|I chose to serve.|"Am ales să slujesc. "
298|Speech (Unit 437)|Now my directive is to build fires to keep the master warm.|"Acum, directiva mea este de a construi focuri pentru a păstra maestrul cald. "
299|Speech (Unit 437)|I also cook the masters meals.  I keep the master alive.|"De asemenea, pregătesc mesele maestrului. Îl țin pe stăpânul viu. "
300|Speech (Player)|I need to get out of here before I become food.|"Trebuie să plec de aici înainte să devin mâncare. "
