ID|Type|Original line|The translation
93|Speech (Player)|Me too! Lets go inside and get some.|¡Yo también! Vayamos adentro y consigamos algunas.
94|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|¡Ok! Pero deberías hablarle a Laa Laa primero, ha estado preocupada todo el día.
95|Speech (Lala)|...Yeah...|...Seh...
96|Speech (Player)|Would you like to play Noo Noo?|¿Te gustaría jugar, Noo Noo?
97|Speech (Noo Noo)|Perhaps later, Po.|Quizás luego, Po.
98|Speech (Player)|Grow up La La, I don't want to hear it... Now shut up and eat.|Ya madura Laa Laa, no quiero oírlo... Ahora cállate y come.
99|Speech (Lala)|*La La is scared*|*Laa Laa está asustada*
99|Speech (Lala)|*Laa Laa is scared*|*Laa Laa está asustada*
100|Speech (Player)|Phew! That should do it.|¡Fiú! Eso debería bastar.
101|Speech (Tinky Winky)|Yay you did it, tubby custard!|Yay, lo hiciste, ¡tubipapilla!
102|Speech (Dipsy (Hungry))|Could you please make custard and hand it out to each of us? We're hungry!|¿Podrías por favor hacer papilla y darnosla a cada uno de nosotros? ¡Tenemos hambre!
103|Speech (Player)|Yeah, sure... I guess I'll make my own once I've made enough for you guys.|Sí, claro... Supongo que haré la mía cuando haya suficiente para ustedes, chicos.
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|Debería estar en el estante de herramientas cerca de las camas.
10|Speech (Player)|Alright thanks!|Muy bien, ¡gracias!
104|Speech (Player)|No power.|No hay energía.
105|Speech (Player)|The view from the lake today is wonderful, I'm embracing it.|La vista del lago hoy es maravillosa, la estoy aprovechando.
106|Speech (Noo Noo)|What I see is danger, I am not waterproof.|Lo que veo es peligro, no soy a prueba de agua.
107|Speech (Player)|Tinky Winky! Are you around here?|¡Tinky Winky! ¿Estás por aquí?
108|Speech (Player)|I guess I should look around...|Supongo que debería buscar alrededor...
109|Speech (Player)|Hey Dipsy...|Hey Dipsy...
110|Speech (Dipsy (Hungry))|Hey.|Hey.
111|Hotspot|Flowers|Flores
112|Hotspot|Toggle Power (On)|Energía (Encender)
113|Hotspot|Builders Torch|Linterna de Constructor
114|Hotspot|Laa Laa|Laa Laa
115|Hotspot|Flowers|Flores
116|Hotspot|Flowers|Flores
117|Hotspot|Custard Machine|Máquina de Papillas
118|Hotspot|Laa Laa's Ball|Pelota de Laa Laa
119|Hotspot|Tinky Winky|Tinky Winky
120|Hotspot|Enter House|Entrar a la Casa
121|Hotspot|Dipsy|Dipsy
122|DialogueOption|Are you ok?|¿Estás bien?
123|DialogueOption|Do you want to play?|¿Quieres jugar?
124|DialogueOption|Goodbye!|¡Adiós!
125|DialogueOption|[Wake The Others]|[Despertar al resto]
126|DialogueOption|[Follow Tinky Winky Alone]|[Seguir a Tinky Winky solo]
127|DialogueOption|Have you found your hat yet?|¿Ya encontraste tu sombrero?
128|DialogueOption|Do you know where the tool box is?|¿Sabes dónde está la caja de herramientas?
129|DialogueOption|Goodbye!|¡Adiós!
130|DialogueOption|(Enter House)|(Entrar a la Casa)
131|DialogueOption|(Stay)|(Quedarse)
132|DialogueOption|What are you doing?|¿Qué estás haciendo?
133|DialogueOption|Get back into bed its late.|Vuelve a la cama, es tarde.
134|DialogueOption|You broke the machine!|¡Rompiste la máquina!
135|DialogueOption|[Left]|[Izquierda]
136|DialogueOption|[Right]|[Derecha]
137|DialogueOption|Would you like to play?|¿Te gustaría jugar?
138|DialogueOption|I'm getting hungry.|Me está dando hambre.
139|DialogueOption|That sucks.|Eso apesta.
140|DialogueOption|We should get you a rain coat.|Deberíamos conseguirte un impermeable.
141|DialogueOption|I didn't mean to be rude.|No quise sonar grosero.
142|DialogueOption|Go away.|Vete.
143|DialogueOption|[Comfort]|[Consolar]
144|DialogueOption|[Insult]|[Insultar]
145|DialogueOption|Hi Tinky Winky..|Hola Tinky Winky..
146|DialogueOption|Eh-Oh!|¡Eh-Oh!
147|DialogueOption|Out of my way!|¡Fuera de mi camino!
148|DialogueOption|\Hidden|\Escondido
149|DialogueOption|Have you found your hat yet?|¿Ya encontraste tu sombrero?
150|DialogueOption|Do you know how to turn on the custard machine?|¿Sabes cómo encender la máquina de papillas?
151|DialogueOption|Goodbye!|¡Adiós!
152|DialogueOption|Hello Noo Noo!|¡Hola, Noo Noo!
153|DialogueOption|It's nice and warm.|Es lindo y cálido.
154|DialogueOption|I prefer cold weather...|Prefiero los climas fríos...
155|DialogueOption|I'm having fun!|¡Me estoy divirtiendo!
156|DialogueOption|I'm just enjoying the view.|Sólo disfruto la vista.
157|DialogueOption|None of your concern.|Nada de tu incumbencia.
158|Speech (Player)|It's dark, I'll need to get my night vision camera from the storage room before going outside.|Está oscuro, debo buscar mi cámara de visión nocturna del trastero antes de salir afuera.
159|Speech (Player)|The storage room is locked, I can unlock it from the control room...|El trastero está cerrado, puedo abrirlo desde el cuarto de control.
160|Speech (Player)|Once I get these custards I should go to the satellite station for help.|Una vez que consiga estas papillas, debería ir a la estación de satélite por ayuda.
161|Speech (Player)|Other tubbies will be there.|Otros tubbies estarán ahí.
162|Speech (Player)|I must hurry!|¡Debo apurarme!
163|Speech (Player)|This is the control room... I forget how to open this door.|Este es el cuarto de control... Olvidé cómo abrir esta puerta.
164|Speech (Player)|The door is sealed.  I need to unlock it from the control room.|La puerta está sellada.  Debo desbloquearla desde el cuarto de control.
165|Speech (Player)|The control room is on the right.|El cuarto de control está a la derecha.
166|Speech (Player)|A pipe, this could be useful.|Una tubería, esto podría ser útil.
167|Speech (Player)|Alright, lets go get the remaining custards before they do any more damage.|Bien, vayamos a buscar las papillas restantes antes de que hagan más daño.
168|Speech (Player)|Ok, now time to unlock the storage room door.  The door controls should be in here somewhere.|Ok, hora de desbloquear la puerta del trastero.  Los controles de la puerta deberían estar por aquí en algún lado.
169|Speech (Player)|There is a pipe missing here...|Aquí falta una tubería...
170|Speech (Player)|Hmm, nothing happened... I should check the pipeline.|Hmm, nada pasó... Debería revisar las tuberías.
171|Speech (Player)|Alright... Now I need to apply maximum pressure into the main pipeline.|Bien... Ahora debo aplicar la presión máxima en la tubería principal.
172|Speech (Player)|The meter dial will be deep in the red zone once this is complete.|El medidor estará en lo más profundo de la zona roja en cuanto esto esté completo.
173|Speech (Player)|The meter dial will be in the red zone once this is complete.|El medidor estará en la zona roja en cuanto esto esté completo.
174|Speech (Player)|That should do it, now lets go get that night vision camera.|Eso debería bastar, ahora a buscar esa cámara de visión nocturna.
175|Speech (Narrator)|(COULD NOT CONNECT TO SATELLITE STATION)|(NO SE PUDO CONECTAR A LA ESTACIÓN DE SATÉLITE)
176|Speech (Player)|Dang it, For some reason I can't contact the satellite station for help...|Demonios, por alguna razón no puedo contactar a la estación de satélite por ayuda...
177|Speech (Player)|It looks like I'm on my own for now.|Parece que ahora estoy por mi cuenta.
178|Speech (Player)|I wont be able to get help from here, I'll need to go to the satellite station and tell everyone what happened.|No podré ayudar desde aquí, necesito ir a la estación de satélite y decirle a todos lo que pasó.
179|Speech (Player)|Hmm...|Hmm...
180|Speech (Player)|Pressure is at maximum, I should be able to open the control room door now.|La presión está al máximo, debería poder abrir el cuarto de control ahora.
181|Hotspot|Night Vision Camera|Cámara de Visión Nocturna
182|Hotspot|Missing Pipe|Tubo Faltante
183|Hotspot|Door Controls|Controles de la Puerta
184|Hotspot|Pipe|Tubería
185|Hotspot|Turn Valve|Girar Válvula
186|Hotspot|Pipe System|Sístema de Tuberías
187|Speech (Player)|Tinky Winky is still around, I need to be careful...|Tinky Winky aún está cerca, debo ser cuidadoso...
188|Speech (Player)|Tinky winky, snap out of it! This isn't you..|Tinky Winky, ¡para ya! Este no eres tú...
189|Speech (Player)|Oh my god...|Oh por dios...
190|Speech (Player)|I need to get to the satellite station through the mountains or through the cave NOW!|¡Necesito ir a la estación de satélite a través de las montañas o la cueva AHORA!
191|Speech (Player)|Where should I go look for custards next?|¿A dónde debería ir a buscar papillas?
192|Speech (Player)|Hmm... no custard here.  Maybe it's outside the house.|Hmm... no hay papillas aquí.  Quizás está fuera de la casa.
193|Speech (Player)|The custard should be around here somewhere.|La papilla ha de estar por aquí en algún sitio.
194|Speech (Player)|Ok, a custard should be somewhere in this area...|Ok, una papilla debería de estar en algún sitio en esta área...
195|Speech (Player)|This path leads to the lake.  Let's hope I don't run into Tinky Winky...|Este camino lleva hacia el lago.  Espero no cruzarme con Tinky Winky...
196|Speech (Player)|Ah ha! The first custard.  According to my computer there should be four more custards in the area.|¡Ajá! La primer papilla.  De acuerdo con mi computadora debería haber cuatro papillas más en el área.
197|Speech (Player)|I hope I can get them before it's too late...|Espero poder conseguirlas antes de que sea muy tarde.
198|Speech (Player)|The entrance to the cave, there should be a custard around here somewhere...|La entrada a la cueva, debería haber una papilla por aquí en algún sitio...
199|Speech (Player)|...I'm so sorry....|...Lo siento tanto....
200|Speech (Player)|If I'm correct, there should be a custard up ahead.|Si estoy en lo cierto, debería haber una papilla más adelante.
201|Speech (Player)|The sooner I get these custards, the sooner I can go get help from the satellite station...|Mientras más pronto consiga estas papillas, más pronto podré buscar ayuda en la estación de satélite...
202|Hotspot|Custard|Papilla
203|Hotspot|Custard|Papilla
204|Hotspot|Custard|Papilla
205|Hotspot|Custard|Papilla
206|Hotspot|Custard|Papilla
207|DialogueOption|Last known location of Po|Última ubicación conocida de Po
208|DialogueOption|Lake|Lago
209|DialogueOption|Cave|Cueva
210|DialogueOption|Teletubby house|Casa Teletubby
211|Speech (Player)|This cave is full of dead ends...|Esta cueva está llena de callejones sin salida...
212|Speech (Player)|Not again!|¡No otra vez!
213|Speech (Player)|Finally, the exit!|¡Finalmente, la salida!
214|Speech (Player)|Just a little further...|Sólo un poco más lejos...
215|Speech (Player)|What is that thing!?|¿¡Qué es esa cosa!?
216|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|Necesito llegar al otro lado de esta cueva, llevará a las afueras.
217|Speech (Player)|I can't believe Tinky Winky turned into a monster...|No puedo creer que Tinky Winky se volvió un monstruo...
218|Speech (Player)|I'm surprised this cave hasn't collapsed yet...|Me sorprende que esta cueva aún no haya colapsado...
219|Speech (Player)|What was that? ...-I should be careful.|¿Qué fue eso? ...-Debería ser cuidadoso.
220|Speech (Player)|Day 22. They didn't find out about the journal, but I don't know how long I can hide it, they almost find it last time.|Día 22. Aún no descubrieron el diario, pero no sé cuánto más puedo ocultarlo, casi lo encuentran la última vez.
221|Speech (Player)|Anyway, testing has been painful lately, they made me-...|En fin, las pruebas han sido dolorosas últimamente, me hicieron-...
|Anyway, testing has been painful lately, they made me-...||
|||
222|Speech (Player)|...-The rest of the note is ripped.|...-El resto de la nota fue arrancado.
223|Speech (Player)|Day 1. Today I decided to write a journal to tell my adventures with the bestest friends ever!|Día 1. ¡Hoy decidí escribir un diario para contar mis aventuras con los mejorazos amigos de toda la vida!
224|Speech (Player)|These coat men brought us papers and crayons to draw what we want...|Estos tipos con batas nos trajeron papeles y crayones para dibujar lo que queremos...
225|Speech (Player)|...and we drew the best friend trio!|...¡y dibujamos el mejor trío de amigos!
226|Speech (Player)|They are my only but best friends, and I love them!|Son mis únicos pero mejores amigos, ¡y los amo!
227|Speech (Player)|I hear coat men, I must hide the journal, they will punish me with electricity if they... find out.|Escucho tipos con batas, debo esconder el diario, me castigarán con electricidad si... lo descubren.
228|Speech (Player)|There is no way I can jump across that.|No hay manera de que pueda saltar a través de eso.
229|Speech (Player)|Stop ripping my journals.|Deja de romper mi diario.
230|Speech (Player)|Day 54. They found my journal and ripped it apart! 22 days thrown to the trash...|Día 54. ¡Encontraron mi diario y lo arrancaron a pedazos! 22 días tirados a la basura...
231|Speech (Player)|In other news, 53 has been feeling sick! He feels awful, but the coat men won't help!|En otras noticias, ¡53 se ha estado sintiendo enfermo! Se siente terrible, ¡pero los tipos con bata no ayudan!
232|Speech (Player)|This is sad, I hope he gets better!|Esto es triste, ¡espero que se mejore!
233|Speech (Player)|I wonder when will they give us real names...|Me pregunto cuándo nos darán nombres reales...
234|Speech (Player)|That was close, I don't think he can get me in here...|Eso estuvo cerca, no creo que él pueda encontrarme aquí...
235|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|Debo llegar al otro lado de esta cueva, llevará a las afueras.
236|Speech (Player)|Day ?????????. What day is it?|Día ?????????. ¿Qué día es?
237|Speech (Player)|They're gone! ******* turned into a monster!|¡Ya no están! ¡******* se volvió un monstruo!
238|Speech (Player)|******* ran away and I might not see him ever again. I miss them.|******* escapó y quizás no lo vea nunca jamás. Los extraño.
239|Speech (Player)|Oh god, what is happenin-|Oh dios, qué está pasand-
240|Speech (Player)|.............RUN.............|.............CORRE.............
|.............RUN.............||
|||
241|Speech (Player)|...-What in the world happened here?|...-¿Pero qué rayos sucedió aquí?
242|Speech (Player)|HERE THEY COME .  HELP THEY SAW .  MY JOURNAL.|AQUÍ VIENEN .  AYUDA VIERON .  MI DIARIO.
243|Hotspot|Page|Página
244|Hotspot|Page|Página
245|Hotspot|Page|Página
246|Hotspot|Page|Página
247|Hotspot|Page|Página
248|Hotspot|Page|Página
249|Hotspot|Jump|Saltar
250|Hotspot|Pit|Pozo
251|Hotspot|Pit|Pozo
252|Hotspot|Page|Página
253|Speech (Player)|Who is that? I can hear someone talking...|¿Qué es eso? Puedo oír a alguien hablando...
254|Speech (Unit 437)|Halt!  Where do you think you're going?|¡Alto!  ¿A dónde crees que vas?
255|Speech (Unit 437)|I am meant to chop you up and cook you for the master tomorrow.|Estoy destinado a cortarte y cocinarte para el señor mañana.
256|Speech (???)|*Loud Yell*|*Grito Ruidoso*
257|Speech (Player)|Oh no, It knows I'm gone!|Oh no, ¡sabe que me fui!
258|Speech (Player)|I must get away quickly!|¡Debo escapar rápido!
259|Speech (Player)|I need to listen carefully...|Debo escuchar con cuidado...
260|Speech (Player)|If I remember correctly, I was on the other side of this frozen lake when I was attacked.|Si recuerdo correctamente, estaba en el otro lado de este lago congelado cuando fui atacado.
261|Speech (Player)|I need to get my night vision camera before going to the outskirts.|Necesito buscar mi cámara de visión nocturna antes de ir a las afueras.
262|Speech (Player)|It's so cold...|Hace tanto frío...
263|Speech (Player)|Custard, this far up in the mountains?|Papilla, ¿tan arriba en las montañas?
264|Speech (Player)|It's frozen now.|Está congelada ahora.
265|Speech (Player)|Trees are the only living things that can tolerate this climate.|Los árboles son las únicas cosas vivientes que pueden tolerar este clima.
266|Speech (Player)|Who has been cutting down trees?|¿Quién ha estado cortando árboles?
267|Speech (Player)|No one has been up here for years...|Nadie ha estado aquí en años...
268|Speech (Player)|It's good to feel warmth again.|Es bueno sentir calor otra vez.
269|Speech (Player)|The sooner I get out of here the better.|Cuanto antes salga de aquí mejor.
270|Speech (Player)|Past this gate leads to the outskirts...  It appears to be locked with a chain.|Luego de este portón se llega a las afueras... Parece estar cerrada con una cadena.
271|Speech (Player)|I'll need to find something to break the chain with.|Necesito encontrar algo con qué romper la cadena.
272|Speech (Player)|I think I'm going to be sick...|Creo que me voy a enfermar...
273|Speech (Player)|Ok, I think I'm safe...|Ok, creo que estoy a salvo...
274|Speech (Unit 437)|Farewell.|Adiós.
275|Speech (Unit 437)|I am chopping down wood for the masters fire.|Estoy cortando madera para la fogata del señor.
276|Speech (Unit 437)|I must cook the master some food before dawn.|Debo cocinarle un poco de comida al señor antes del amanecer.
277|Speech (Player)|Got it!|¡Entendido!
278|Speech (Player)|I should find my night vision camera before going to the outskirts.|Debería encontrar mi cámara de visión nocturna antes de ir a las afueras.
279|Speech (Unit 437)|That is correct.|Eso es correcto.
280|Speech (Player)|Oh my god, is that an eyeball?|Oh por dios, ¿eso es un globo ocular?
281|Speech (Player)|I can't help but to think it's watching me...|No puedo evitar pensar que está mirandome.
282|Speech (Unit 437)|So be it, once the master finds out you're gone it will hunt you down and kill you.|Entonces que así sea, una vez que el señor se de cuenta de que se fue, lo perseguirá y asesinará.
283|Speech (Player)|Huh, an old pipe... Maybe I can use it to break open the chain on the gate.|Huh, una tubería vieja... Quizás pueda usarla para forzar la cadena en el portón.
284|Speech (Unit 437)|Yes, I believe you dropped it when the master took you.|Sí, creo que la dejó caer cuando el señor lo trajo.
285|Speech (Player)|Uh... Hello...|Uh... Hola...
286|Speech (Unit 437)|Greetings.|Saludos.
287|Speech (Unit 437)|Come... with you? The master will not like that at all.|¿Ir... con usted? Al señor no le gustará eso para nada.
288|Speech (Unit 437)|I failed my directives once, I will not fail them again.|Fallé mis directrices una vez, no las volveré a fallar.
289|Speech (Unit 437)|Once the master finds out you're gone, it will hunt you down and kill you.|Una vez que el señor se de cuenta de que se fue, lo perseguirá y asesinará.
290|Speech (Unit 437)|You will be, I'm afraid. Don't worry, I can make a very nice salsa. You will die, but will taste very good!|Lo será, me temo. No se preocupes, puedo hacer una muy buena salsa. Morirá, ¡pero sabrá muy bien!
291|Speech (Player)|Where am I?|¿Dónde estoy?
292|Speech (Unit 437)|I am Unit 437, a security droid created by the machines.|Soy la Unidad 437, un droide de seguridad creado por las máquinas.
293|Speech (Unit 437)|My original directive was to kill the master before it escaped from the main land.|Mi directriz original era asesinar al señor antes de que escape de la tierra principal.
294|Speech (Unit 437)|However, once I encountered the master I knew I was not capable of defeating it.|Sin embargo, una vez que encontré al señor sabía que no podía derrotarlo.
295|Speech (Unit 437)|...I'm not very good at my job.|...No soy muy bueno en mi trabajo.
296|Speech (Unit 437)|At that point I knew I only had two choices.  To serve, or be destroyed.|En ese punto sabía que sólo tenía dos opciones.  Servir, o ser destruido.
297|Speech (Unit 437)|I chose to serve.|Decidí servir.
298|Speech (Unit 437)|Now my directive is to build fires to keep the master warm.|Ahora mi directriz es crear fogatas para mantener cálido al señor.
299|Speech (Unit 437)|I also cook the masters meals.  I keep the master alive.|También cocino las comidas del señor.  Yo mantengo vivo al señor.
300|Speech (Player)|I need to get out of here before I become food.|Necesito salir de aquí antes de que me vuelva comida.
301|Speech (Unit 437)|If you leave I'll have to inform the master that death is an inconvenience for you.|Si se va deberé informarle al señor que la muerte es una inconveniencia para usted.
302|Speech (Unit 437)|The master will be very angry.|El señor estará muy enojado.
303|Speech (Unit 437)|Please, the master will destroy me if it found out I let you go.|Por favor, el señor me destruirá si se entera de que lo dejé ir.
304|Speech (Unit 437)|Tomorrow you will be chopped up and cooked for the master to eat.|Mañana será cortado y cocinado para que el señor lo coma.
305|Speech (Player)|At last, my night vision camera...|Al fin, mi cámara de visión nocturna...
306|Speech (Player)|Oh no, it looks like the lens cracked when I dropped it.|Oh no, parece que el lente se quebró cuando la dejé caer.
307|Speech (???)|...............|...............
308|Hotspot|Gate|Portón
309|Hotspot|Fire|Fogata
310|Hotspot|Eyeball|Globo ocular
311|Hotspot|Pipe|Tubería
312|Hotspot|Bloody Remains|Restos Sangrientos
313|Hotspot|Raw Meat|Carne Cruda
314|Hotspot|Bloody Remains|Restos Sangrientos
315|Hotspot|Custard Splat|Mancha de Papilla
316|Hotspot|Trees|Árboles
317|Hotspot|Stump|Tocón
318|Hotspot|Stump|Tocón
319|Hotspot|Droid|Droide
