ID|Type|Original line|The translation
65|Speech (Player)|Guys wake up, Tinky Winky broke the custard machine and left!|Дечки станете! Tinky Winky ја скрши машината за крем и избега!
66|Speech (Lala)|...Huh what? why?|...Што? Зошто?
67|Speech (Player)|I don't know but I'm worried.  We need to find him.|Не знам но загрижен сум. Треба да го најдеме.
68|Speech (Lala)|Ok, go get a torch from the work bench and I'll be up in a minute.|Ок,земи факел од клупата и ке станам за минута.
69|Speech (Dipsy (Hungry))|*zzz*... You guys go on, I'll wait here in case he comes back.. *zzz*|*zzz*...Вие одете, јас ке чекам тука дане се врати.. *zzz*
70|Speech (Player)|I'm getting kinda hungry.|Гладен сум.
71|Speech (Noo Noo)|There is custard back at our home.|Има крем дома.
72|Speech (Player)|Chear up Laa Laa, I made some custard for you to make you feel better.|Расположи го Laa Laa јас направив крем за да се чуствуваш по добро.
73|Speech (Lala)|*sniff* Thank you Po, you are a true friend.|Фала Po,Стварно си вистински другар.
74|Speech (Lala)|*La La feels a bit better*|*Laa Laa се чуствува подобро*
74|Speech (Lala)|*Laa Laa feels a bit better*|*Laa Laa се чуствува подобро*
75|Speech (Player)|I'm just playing, it's great fun!|Само играм,многу е забавно.
76|Speech (Noo Noo)|I am glad you are enjoying yourself.|Мило ми е дека ти е забавно.
77|Speech (Lala)|Oh hi again Po... *sniff*|Здраво пак Po...
78|Speech (Player)|Ok, time to find Tinky Winky...|Ок,време да го најдам Tinky Winky
79|Speech (Lala)|Hey! Why did you do... um... it's okay, I didn't want to play with it anyway.|Абе! зошто го...Иначе, добро е. Нејкев да играм со тоа .
80|Speech (Player)|Hello Noo Noo!|Здраво Noo Noo
81|Speech (Noo Noo)|Greetings Po.|Добар ден Po.
82|Speech (Dipsy (Hungry))|Oh if you are making custard, make me some too!|Ако правиш таби крем, дај ми и мене малце!
83|Speech (Lala)|No.. I had a bad dream last night, it was about us and bad things happened... but I can't remember what.|Не.. Имав лош сон вчера, беше за нас и лоши работи се случија, но не памтам што
84|Speech (Player)|Sounds scary, but it was just a dream.. try to forget about it.|Звучи страшно, но беше само сон,провај да заборавиш за сонот.
85|Speech (Player)|Here you go Dipsy!|Еве ти Dipsy!
86|Speech (Dipsy (Hungry))|Thank you PO, don't forget about yourself! You must be hungry.|Фала Po! не заборави за себе! Мораш да бидеш гладен.
87|Speech (Player)|That sucks.|Тоа е глупо
88|Speech (Noo Noo)|Yes, it does.|Да,стварно е глупо.
89|Speech (Player)|They are so pretty!|Тие се многу убави!
90|Speech (Player)|It's not for me, I prefer cold weather...|Не е за мене, Јас сакам ладно повеќе.
91|Speech (Noo Noo)|Information noted.|Информација запамтена.
92|Speech (Tinky Winky)|Eh-Oh! I want tubby custard!|Ех-Ох! Јас сакам Таби крем!
93|Speech (Player)|Me too! Lets go inside and get some.|И јас!
94|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|Ок! Но ти требаш да зборуваш со Laa Laa првен, Таа е лута цел ден.
95|Speech (Lala)|...Yeah...|...Да...
96|Speech (Player)|Would you like to play Noo Noo?|Сакаш да играш Noo Noo
97|Speech (Noo Noo)|Perhaps later, Po.|Може би после, Po.
98|Speech (Player)|Grow up La La, I don't want to hear it... Now shut up and eat.|Порасни Laa Laa.Нејкам да те слушам. Сега ќути и јади.
99|Speech (Lala)|*La La is scared*|*Laa Laa е испашена.*
99|Speech (Lala)|*Laa Laa is scared*|*Laa Laa е испашена.*
100|Speech (Player)|Phew! That should do it.|Тоа ке го направи.
101|Speech (Tinky Winky)|Yay you did it, tubby custard!|Го направи, Таби Крем!
102|Speech (Dipsy (Hungry))|Could you please make custard and hand it out to each of us? We're hungry!|Може ли да направиш крем и да ни дадеш нас? гладни сме.
103|Speech (Player)|Yeah, sure... I guess I'll make my own once I've made enough for you guys.|Да, може. јас ке си направам сам малце после кога ке направам за вас
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|Може да е на кутијата со алатки пред креветите.
10|Speech (Player)|Alright thanks!|Во ред, Фала!
104|Speech (Player)|No power.|Нема струја.
105|Speech (Player)|The view from the lake today is wonderful, I'm embracing it.|Гледот од реката е прекрасна.
106|Speech (Noo Noo)|What I see is danger, I am not waterproof.|Се што гледам е опасно. Не сум водоотпорен.
107|Speech (Player)|Tinky Winky! Are you around here?|Tinky Winky! Тука ли си?
108|Speech (Player)|I guess I should look around...|Се надевам треба да гледам околу тука...
109|Speech (Player)|Hey Dipsy...|Здраво Dipsy...
110|Speech (Dipsy (Hungry))|Hey.|Здраво.
111|Hotspot|Flowers|Цветови
112|Hotspot|Toggle Power (On)|Уклучи Струја (On)
113|Hotspot|Builders Torch|Факел на градителот
114|Hotspot|Laa Laa|Laa Laa
115|Hotspot|Flowers|Цветови
116|Hotspot|Flowers|Цветови
117|Hotspot|Custard Machine|Машина за Таби крем
118|Hotspot|Laa Laa's Ball|"Топката на Laa Laa "
119|Hotspot|Tinky Winky|Tinky Winky
120|Hotspot|Enter House|Оди внатре
121|Hotspot|Dipsy|Dipsy
122|DialogueOption|Are you ok?|Добар ли си?
123|DialogueOption|Do you want to play?|Сакаш да играш?
124|DialogueOption|Goodbye!|Чао!
125|DialogueOption|[Wake The Others]|[Разбуди ги другите]
126|DialogueOption|[Follow Tinky Winky Alone]|[Следи го Tinky Winky сам]
127|DialogueOption|Have you found your hat yet?|Ја најде ли твојата капа?
128|DialogueOption|Do you know where the tool box is?|Знаеш ли каде е кутијата со алатки?
129|DialogueOption|Goodbye!|Чао!
130|DialogueOption|(Enter House)|(Оди Внатре)
131|DialogueOption|(Stay)|(Остани)
132|DialogueOption|What are you doing?|Што правиш?
133|DialogueOption|Get back into bed its late.|Врати се во кревет, касно е.
134|DialogueOption|You broke the machine!|Ти ја искрши машината!
135|DialogueOption|[Left]|[Лево]
136|DialogueOption|[Right]|[Десно]
137|DialogueOption|Would you like to play?|Сакаш да играш?
138|DialogueOption|I'm getting hungry.|Јас сум гладен.
139|DialogueOption|That sucks.|Тоа е глупо.
140|DialogueOption|We should get you a rain coat.|Треба да ти земеме мантил за дожд.
141|DialogueOption|I didn't mean to be rude.|Не мислев да бидам груб.
142|DialogueOption|Go away.|Бегај.
143|DialogueOption|[Comfort]|[Насмеј]
144|DialogueOption|[Insult]|[Навреди]
145|DialogueOption|Hi Tinky Winky..|Здраво Tinky Winky
146|DialogueOption|Eh-Oh!|Eh-Oh!
147|DialogueOption|Out of my way!|Бегај од мој пат!
148|DialogueOption|\Hidden|\скриен
149|DialogueOption|Have you found your hat yet?|Ја најде ли нашата капа?
150|DialogueOption|Do you know how to turn on the custard machine?|Знаеш ли како да ја уклучиш
151|DialogueOption|Goodbye!|Чао!
152|DialogueOption|Hello Noo Noo!|Здраво Noo Noo!
153|DialogueOption|It's nice and warm.|Топло е.
154|DialogueOption|I prefer cold weather...|Јас го сакам ладното.
155|DialogueOption|I'm having fun!|Се забавувам!
156|DialogueOption|I'm just enjoying the view.|Само го уживам гледот.
157|DialogueOption|None of your concern.|Не е твојата работа.
158|Speech (Player)|It's dark, I'll need to get my night vision camera from the storage room before going outside.|Темно е, ке треба да ја земам камерата од собата за багаж пред да одам надвор.
159|Speech (Player)|The storage room is locked, I can unlock it from the control room...|Собата е заклучена, Ке треба да ја отклучам од собата за контрола.
160|Speech (Player)|Once I get these custards I should go to the satellite station for help.|Кога ке ги земам сите таби крема треба да отидам до сателитската станица за помош
161|Speech (Player)|Other tubbies will be there.|другите таби ќе бидат тука
162|Speech (Player)|I must hurry!|Треба да побрзам!
163|Speech (Player)|This is the control room... I forget how to open this door.|Ова е собата за контрола...Заборавив како да ја отворам вратава.
164|Speech (Player)|The door is sealed.  I need to unlock it from the control room.|Вратата е затворена. Треба да ја отклучам од собата за контрола
165|Speech (Player)|The control room is on the right.|Собата за контрола е на моето десно.
166|Speech (Player)|A pipe, this could be useful.|Цевка. Воа ке биде корисно.
167|Speech (Player)|Alright, lets go get the remaining custards before they do any more damage.|Во ред, Ајде да ги земеме таби крема пред да направат повеќе штета.
168|Speech (Player)|Ok, now time to unlock the storage room door.  The door controls should be in here somewhere.|Ок, сега да ја отклучам вратата до собата за багаж. Контролите за вратата може да се тука негде.
169|Speech (Player)|There is a pipe missing here...|Има изгубена цевка тука...
170|Speech (Player)|Hmm, nothing happened... I should check the pipeline.|Ништо не се случи...Ќе го проверам гасоводот.
171|Speech (Player)|Alright... Now I need to apply maximum pressure into the main pipeline.|Добро...Сега треба да ставам максимум притисок до главниот гасовод.
172|Speech (Player)|The meter dial will be deep in the red zone once this is complete.|Индикаторот мора да биде длабоко во црвената зона кога овоа ке заврши.
173|Speech (Player)|The meter dial will be in the red zone once this is complete.|Индикаторот ќе биде на црвената зона кога овоа ќе заврши
174|Speech (Player)|That should do it, now lets go get that night vision camera.|Тоа ке го направи,сега да ја земам камерата.
175|Speech (Narrator)|(COULD NOT CONNECT TO SATELLITE STATION)|(НЕМОЖЕ ДА СЕ УКЛУЧИ ДО САТЕЛИТСКАТА СТАНИЦА)
176|Speech (Player)|Dang it, For some reason I can't contact the satellite station for help...|Аман, за некаква причина неможам да ја контактирам сателитската станица
177|Speech (Player)|It looks like I'm on my own for now.|Јас сум сам за сега.
178|Speech (Player)|I wont be able to get help from here, I'll need to go to the satellite station and tell everyone what happened.|Нема да добивам никаков помош тука. Ќе треба да отидам до сателитската станица и ќе кажам на сите што се случи.
179|Speech (Player)|Hmm...|Hmm...
180|Speech (Player)|Pressure is at maximum, I should be able to open the control room door now.|Притисок е на максимум. Вратата ке може да се отвори сега
181|Hotspot|Night Vision Camera|Камера за ноќен вид
182|Hotspot|Missing Pipe|Исчезната цевка
183|Hotspot|Door Controls|Контролите за вратата
184|Hotspot|Pipe|Цевка
185|Hotspot|Turn Valve|Сврти вентил
186|Hotspot|Pipe System|Систем на цевки
187|Speech (Player)|Tinky Winky is still around, I need to be careful...|Tinky Winky е уште тука, треба да бидам пазлив.
188|Speech (Player)|Tinky winky, snap out of it! This isn't you..|Tinky winky,воа не си ти!
189|Speech (Player)|Oh my god...|Ох мој боже...
190|Speech (Player)|I need to get to the satellite station through the mountains or through the cave NOW!|Треба да отидам до сателитската станица преку планините или преку пештерата ОДМА!
191|Speech (Player)|Where should I go look for custards next?|Каде треба да гледам за таби крем сега?
192|Speech (Player)|Hmm... no custard here.  Maybe it's outside the house.|Нема таби крем тука. Сигурни има надвор од куќата.
193|Speech (Player)|The custard should be around here somewhere.|Таби крем може би е негде тука.
194|Speech (Player)|Ok, a custard should be somewhere in this area...|Ок,Таби крем е тука негде.
195|Speech (Player)|This path leads to the lake.  Let's hope I don't run into Tinky Winky...|Овој пат оди до езерото. Се надевам нема да го сретнам Tinky Winky...
196|Speech (Player)|Ah ha! The first custard.  According to my computer there should be four more custards in the area.|Аха! Првиот таби крем. Според мојот компјутер има уште четири повеќе таби крема тука.
197|Speech (Player)|I hope I can get them before it's too late...|Се надевам дека ќе стасам до нив пред да е пре касно.
198|Speech (Player)|The entrance to the cave, there should be a custard around here somewhere...|Влезот до пештерата,мора да има таби крем негде тука...
199|Speech (Player)|...I'm so sorry....|...Многу се извинувам...
200|Speech (Player)|If I'm correct, there should be a custard up ahead.|Ако сум прав, има таби крем напред.
201|Speech (Player)|The sooner I get these custards, the sooner I can go get help from the satellite station...|Порано ако ги земам сите таби крема, порано ке земам помош од сателитската станица.
202|Hotspot|Custard|Таби крем
203|Hotspot|Custard|Таби крем
204|Hotspot|Custard|Таби крем
205|Hotspot|Custard|Таби крем
206|Hotspot|Custard|Таби крем
207|DialogueOption|Last known location of Po|Последно позната локација на Po
208|DialogueOption|Lake|Езеро
209|DialogueOption|Cave|Пештера
210|DialogueOption|Teletubby house|Телетаби куќа
211|Speech (Player)|This cave is full of dead ends...|Оваа пештера е полна со ќoрсокак
212|Speech (Player)|Not again!|Не пак!
213|Speech (Player)|Finally, the exit!|Одвај,Излезот!
214|Speech (Player)|Just a little further...|Само малце понатаму...
215|Speech (Player)|What is that thing!?|Што е тоа чудо!?
216|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|Треба да стасам до другата страна до пештерата.
217|Speech (Player)|I can't believe Tinky Winky turned into a monster...|Не верувам Tinky Winky испадна дека е чудовиште
218|Speech (Player)|I'm surprised this cave hasn't collapsed yet...|I'm surprised this cave hasn't collapsed yet...
219|Speech (Player)|What was that? ...-I should be careful.|What was that? ...-I should be careful.
220|Speech (Player)|Day 22. They didn't find out about the journal, but I don't know how long I can hide it, they almost find it last time.|Day 22. They didn't find out about the journal, but I don't know how long I can hide it, they almost find it last time.
221|Speech (Player)|Anyway, testing has been painful lately, they made me-...|Како и да е, тестирање беше болно , ме направија-...
|Anyway, testing has been painful lately, they made me-...||
|||
222|Speech (Player)|...-The rest of the note is ripped.|...-Останатото од белешката е искината.
223|Speech (Player)|Day 1. Today I decided to write a journal to tell my adventures with the bestest friends ever!|Ден 1. Денес одлучив да направам списание за мојата адвентура со моите другари!
224|Speech (Player)|These coat men brought us papers and crayons to draw what we want...|Овие луѓе со палта кој ни дадоа хартија и боички за да цртаме што сакаме...
225|Speech (Player)|...and we drew the best friend trio!|...И нацртавме трио од најдобрите другари!
226|Speech (Player)|They are my only but best friends, and I love them!|Тие се мој најдобри другари, и многу ги сакам!
227|Speech (Player)|I hear coat men, I must hide the journal, they will punish me with electricity if they... find out.|Ги слушам луѓето со палтата, треба да го кријам списанието,ако го најдат ке ме казнат со електрицитет...
228|Speech (Player)|There is no way I can jump across that.|Нема никаков начин да го прерипам тоа.
229|Speech (Player)|Stop ripping my journals.|Преќини да ми ги кинеш списаниета.
230|Speech (Player)|Day 54. They found my journal and ripped it apart! 22 days thrown to the trash...|Ден 54. Ми го најдоа моето списание и го искинаа на парчиња! 22 дена исфрлани во кантата.
231|Speech (Player)|In other news, 53 has been feeling sick! He feels awful, but the coat men won't help!|На други вести, 53 се чуствува лошо, но луѓето со палтото не помагаат!
232|Speech (Player)|This is sad, I hope he gets better!|Овоа е тажно, се надевам дека ќе биде подобар!
233|Speech (Player)|I wonder when will they give us real names...|Се прашувам кога ќе ни дадат вистински имиња.
234|Speech (Player)|That was close, I don't think he can get me in here...|Тоа беше блиску, не мислам дека ќе ме најдат тука...
235|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|треба да отидам до другата страна на пештерата, ке води до периферијата.
236|Speech (Player)|Day ?????????. What day is it?|Ден ?????????. Кој ден е?
237|Speech (Player)|They're gone! ******* turned into a monster!|Тие се изгубија! ******* се претвори во чудовиште!
238|Speech (Player)|******* ran away and I might not see him ever again. I miss them.|"******* избега и незнам дали ќе го видам пак. "
239|Speech (Player)|Oh god, what is happenin-|Ох боже, што се случу-
240|Speech (Player)|.............RUN.............|...........ТРЧАЈ..........
|.............RUN.............||
|||
241|Speech (Player)|...-What in the world happened here?|...-Што се случи тука?
242|Speech (Player)|HERE THEY COME .  HELP THEY SAW .  MY JOURNAL.|ТИЕ ИДАТ. ПОМОШ. МИ ГО ВИДОА. СПИСАНИЕТО.
243|Hotspot|Page|Страница
244|Hotspot|Page|Страница
245|Hotspot|Page|Страница
246|Hotspot|Page|Страница
247|Hotspot|Page|Страница
248|Hotspot|Page|Страница
249|Hotspot|Jump|Рипај
250|Hotspot|Pit|Дупка
251|Hotspot|Pit|Дупка
252|Hotspot|Page|Страница
253|Speech (Player)|Who is that? I can hear someone talking...|Кој е тука? можам да слушам некој како зборува...
254|Speech (Unit 437)|Halt!  Where do you think you're going?|Запри! Каде мислиш дека одиш?
255|Speech (Unit 437)|I am meant to chop you up and cook you for the master tomorrow.|Јас сум тука да те исечам и готвам за господарот после.
256|Speech (???)|*Loud Yell*|*Гласно врискање*
257|Speech (Player)|Oh no, It knows I'm gone!|Ох не, знае дека сум исчезнат!
258|Speech (Player)|I must get away quickly!|Треба да бега брзо!
259|Speech (Player)|I need to listen carefully...|Треба да слушам убаво.
260|Speech (Player)|If I remember correctly, I was on the other side of this frozen lake when I was attacked.|Ако памтам правилно, јас бев на другата страна од овоа замрзнато езеро кога бев нападнат.
261|Speech (Player)|I need to get my night vision camera before going to the outskirts.|Треба да ја земам камерата за ноќно гледање пред да одам до периферијата.
262|Speech (Player)|It's so cold...|Многу е ладно...
263|Speech (Player)|Custard, this far up in the mountains?|Таби крем, волку високо на планините?
264|Speech (Player)|It's frozen now.|Сега е замрзнато.
265|Speech (Player)|Trees are the only living things that can tolerate this climate.|Дрвјата се самите иви нешта кој можат да ја толерираат оваа клима.
266|Speech (Player)|Who has been cutting down trees?|Кој ги сечел дрвјата?
267|Speech (Player)|No one has been up here for years...|Никој не бил тука за години...
268|Speech (Player)|It's good to feel warmth again.|Добро е да чуствувам топлина пак.
269|Speech (Player)|The sooner I get out of here the better.|Порано ако испаднам подобро ке биде.
270|Speech (Player)|Past this gate leads to the outskirts...  It appears to be locked with a chain.|После оваа порта можам да одам до периферијата... Заклучена е со синџир.
271|Speech (Player)|I'll need to find something to break the chain with.|Треба да најдам нешто што може да го скрши синџирот.
272|Speech (Player)|I think I'm going to be sick...|Мислам дека ми се лоши...
273|Speech (Player)|Ok, I think I'm safe...|Ок, мислам дека сум безбеден.
274|Speech (Unit 437)|Farewell.|Добидување.
275|Speech (Unit 437)|I am chopping down wood for the masters fire.|Јас сечам дрва за на господарот огинот.
276|Speech (Unit 437)|I must cook the master some food before dawn.|Треба да готвам храна за господарот пред зора.
277|Speech (Player)|Got it!|Разбрав!
278|Speech (Player)|I should find my night vision camera before going to the outskirts.|Треба да ја најдам мојата камера за ноќно гледање пред да одам до периферијата,
279|Speech (Unit 437)|That is correct.|Тоа е точно.
280|Speech (Player)|Oh my god, is that an eyeball?|Ох мој боже, Тоа око ли е?
281|Speech (Player)|I can't help but to think it's watching me...|Мислам дека ме гледа...
282|Speech (Unit 437)|So be it, once the master finds out you're gone it will hunt you down and kill you.|Така нека биде, кога ке те најде господарот ќе те лови и ќе те убие.
283|Speech (Player)|Huh, an old pipe... Maybe I can use it to break open the chain on the gate.|Хах, стара цевка... Може да ја користам за да го скршам синџирот на портата.
284|Speech (Unit 437)|Yes, I believe you dropped it when the master took you.|Да, јас верувам дека ти го пушти кога те зема господарот.
285|Speech (Player)|Uh... Hello...|...Здраво....
286|Speech (Unit 437)|Greetings.|Поздрав.
287|Speech (Unit 437)|Come... with you? The master will not like that at all.|Да дојдам... Со тебе? господарот нема да го сака тоа Ич.
288|Speech (Unit 437)|I failed my directives once, I will not fail them again.|Јас не ги успеав мојите директиви еднаш, нема да не ги успеам уште еднаш.
289|Speech (Unit 437)|Once the master finds out you're gone, it will hunt you down and kill you.|Кога господарот ќе најде дека не си присутен,ќе те излови и ќе те убие.
290|Speech (Unit 437)|You will be, I'm afraid. Don't worry, I can make a very nice salsa. You will die, but will taste very good!|Да, се плашам. Не се сеќирај. Јас можам да направам многу добра салса.Ќе умреш,но ќе бидеш многу вкусен.
291|Speech (Player)|Where am I?|Каде сум?
292|Speech (Unit 437)|I am Unit 437, a security droid created by the machines.|Јас сум Унит 437, робот за безедност направен од машините.
293|Speech (Unit 437)|My original directive was to kill the master before it escaped from the main land.|"Мојата оригинална директива беше да го убијам "
294|Speech (Unit 437)|However, once I encountered the master I knew I was not capable of defeating it.|Иначе, кога го запознав господинот знаев дека неможев да го победам.
295|Speech (Unit 437)|...I'm not very good at my job.|...Не сум толку добар на мојата работа.
296|Speech (Unit 437)|At that point I knew I only had two choices.  To serve, or be destroyed.|Тогаѓ знаев дека имав две избори. Да служам, или да бидам уништен.
297|Speech (Unit 437)|I chose to serve.|Јас изборив да служам.
298|Speech (Unit 437)|Now my directive is to build fires to keep the master warm.|Сега моја директива е да правам огани за господарот да биде топол.
299|Speech (Unit 437)|I also cook the masters meals.  I keep the master alive.|Јас исто му готвам храна на господарот. Го чувам него.
300|Speech (Player)|I need to get out of here before I become food.|Треба да избегам од тука пред да бидам храна.
301|Speech (Unit 437)|If you leave I'll have to inform the master that death is an inconvenience for you.|Ако избегаш треба да му кажам на господарот дека смрт е непријатност за тебе.
302|Speech (Unit 437)|The master will be very angry.|Господарот ќе биде многу лут.
303|Speech (Unit 437)|Please, the master will destroy me if it found out I let you go.|Те молам, господарот ќе ме убие ако познае дека те пуштив.
304|Speech (Unit 437)|Tomorrow you will be chopped up and cooked for the master to eat.|Сабајле ти ќе бидеш пресечен и подготвен за господарот да те изеде.
305|Speech (Player)|At last, my night vision camera...|Мојата камера за ноќно гледање...
306|Speech (Player)|Oh no, it looks like the lens cracked when I dropped it.|Ох не, Леќата се скрши кога ја пуштив.
307|Speech (???)|...............|...............
308|Hotspot|Gate|Порта
309|Hotspot|Fire|Оган
310|Hotspot|Eyeball|Око
311|Hotspot|Pipe|Цевка
312|Hotspot|Bloody Remains|Крвави остатоци
313|Hotspot|Raw Meat|Сурово Месо
314|Hotspot|Bloody Remains|Крвави остатоци
315|Hotspot|Custard Splat|"Таби крем "
316|Hotspot|Trees|Дрва
317|Hotspot|Stump|Труп
318|Hotspot|Stump|Труп
319|Hotspot|Droid|Дроид
320|DialogueOption|[Go Left]|[Оди Лево]
321|DialogueOption|[Go Right]|[Оди Десно]
322|DialogueOption|[Go Left]|[Оди Лево]
323|DialogueOption|[Go Right]|[Оди Десно]
324|DialogueOption|The master, is that the thing that took me?|Господарот, тој ли беше чудовиштето кое ме зема?
325|DialogueOption|Why was I brought here?|Зошто ме донесовте тука?
326|DialogueOption|I'm not food!|Јас не сум храна!
327|DialogueOption|Who are you?|Кој си ти?
328|DialogueOption|What are you doing?|Што ми правите?
329|DialogueOption|Have you seen my night vision camera?|Ми ја видовте ли мојата камера за ноќно гледање?
330|DialogueOption|Goodbye.|Довидување
331|DialogueOption|[Go Left]|[Оди Лево]
332|DialogueOption|[Go Right]|[Оди Десно]
333|DialogueOption|I need to get to the outskirts and find the satellite station.|Треба да отидам до периферијата и да ја најдам сателитската станица.
334|DialogueOption|I need to find my night vision camera.|Треба да ја најдам мојата камера за ноќно гледање.
335|DialogueOption|None of your business.|Не е твојата работа.
336|DialogueOption|I plan to be long gone before your master finds out.|Јас планирам да бидам изчезнат пред твојот господар да знае.
337|DialogueOption|Come with me, you're a slave!|Дојди со мене, ти си роп!
338|DialogueOption|You're a coward.|Ти си кукавица.
