ID|Type|Original line|The translation
57|Speech (Lala)|I don't really feel like playing...|Jeg har ikke rigtig lyst til at lege.
58|Speech (Tinky Winky)|Hi Po, I'm getting hungry...|Hej Po, Jeg er ved at blive sulten...
59|Speech (Player)|Me too! Lets go inside and get tubby custard.|Samme her! Lad os gå indenfor og få tubbie jordbæris.
60|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|Okay, men du burde snakke med Laa Laa først, hun har været ked af det hele dagen.
61|Speech (Player)|Uh oh! The machine is broken again, I guess I better fix it.|Uh oh! Maskinen er i stykker igen, jeg må heller fikse den.
62|Speech (Tinky Winky)|Please hurry, I'm so hungry! Go fetch the tool box.|Vær sød at skynde dig, jeg er så sulten! Gå hen og hent værktøjskassen.
63|Speech (Player)|Here you go Tinky Winky!|Værsgo Tinky Winky!
64|Speech (Tinky Winky)|Thank you PO! I couldn't live without you.|Tak Po! Jeg kunne ikke leve uden dig.
65|Speech (Player)|Guys wake up, Tinky Winky broke the custard machine and left!|Venner vågn op, Tinky Winky ødelagde jordbæris maskinen og gik!
66|Speech (Lala)|...Huh what? why?|...Huh hvad? hvorfor?
67|Speech (Player)|I don't know but I'm worried.  We need to find him.|Jeg ved det ikke men jeg er bekymret. Vi er nødt til at finde ham.
68|Speech (Lala)|Ok, go get a torch from the work bench and I'll be up in a minute.|Okay, hent en lygte fra arbejdsbordet og jeg er oppe om et minut.
69|Speech (Dipsy (Hungry))|*zzz*... You guys go on, I'll wait here in case he comes back.. *zzz*|*zzz*... I går bare, Jeg venter her i tilfældet af at Tinky Winty kommer tilbage.. *zzz*
70|Speech (Player)|I'm getting kinda hungry.|Jeg er ved at blive lidt sulten.
71|Speech (Noo Noo)|There is custard back at our home.|Der er jordbæris der hjemme.
72|Speech (Player)|Chear up Laa Laa, I made some custard for you to make you feel better.|Op med humøret Laa Laa, Jeg har lavet noget jordbæris til dig så du får det bedre.
73|Speech (Lala)|*sniff* Thank you Po, you are a true friend.|*snøft* Tak Po, Du er en sand ven.
74|Speech (Lala)|*La La feels a bit better*|*La La føler sig lidt bedre*
74|Speech (Lala)|*Laa Laa feels a bit better*|*Laa Laa føler sig lidt bedre*
75|Speech (Player)|I'm just playing, it's great fun!|Jeg leger bare, det er meget sjovt!
76|Speech (Noo Noo)|I am glad you are enjoying yourself.|Jeg er glad for at du nyder dig selv.
77|Speech (Lala)|Oh hi again Po... *sniff*|Oh hej igen Po... *snøft*
78|Speech (Player)|Ok, time to find Tinky Winky...|Okay, tid til at finde Tinky Winky
79|Speech (Lala)|Hey! Why did you do... um... it's okay, I didn't want to play with it anyway.|Hey! Hvorfor gjorde du... oh... det er okay, Jeg ville ikke lege med den aligevel.
80|Speech (Player)|Hello Noo Noo!|Hej Noo Noo!
81|Speech (Noo Noo)|Greetings Po.|Halløj Po.
82|Speech (Dipsy (Hungry))|Oh if you are making custard, make me some too!|Oh hvis du laver jordbæris så lav også noget til mig!
83|Speech (Lala)|No.. I had a bad dream last night, it was about us and bad things happened... but I can't remember what.|Nej.. Jeg havde em slem drøm i nat, Den handlede om os og slemme ting skete... men jeg kan ikke huske hvad.
84|Speech (Player)|Sounds scary, but it was just a dream.. try to forget about it.|Lyder uhyggelig, men det var bare en drøm.. prøv at glemme den.
85|Speech (Player)|Here you go Dipsy!|Værsgo Dipsy
86|Speech (Dipsy (Hungry))|Thank you PO, don't forget about yourself! You must be hungry.|Tak Po, glem ikke dig selv! du må være sulten.
87|Speech (Player)|That sucks.|Det her er nederen
88|Speech (Noo Noo)|Yes, it does.|Ja, det er
89|Speech (Player)|They are so pretty!|De er så smukke!
90|Speech (Player)|It's not for me, I prefer cold weather...|Det er ikke til mig, Jeg fortrækker koldt vejr.
91|Speech (Noo Noo)|Information noted.|Information noteret.
92|Speech (Tinky Winky)|Eh-Oh! I want tubby custard!|Eh-Oh! Jeg vil have tubbie jordbæris!
93|Speech (Player)|Me too! Lets go inside and get some.|Samme her! lad os gå indenfor og få noget.
94|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|Okay, men du burde snakke med Laa Laa først, hun har været ked af det hele dagen.
95|Speech (Lala)|...Yeah...|...Ja...
96|Speech (Player)|Would you like to play Noo Noo?|Vil du lege Noo Noo?
97|Speech (Noo Noo)|Perhaps later, Po.|Måske senere, Po.
98|Speech (Player)|Grow up La La, I don't want to hear it... Now shut up and eat.|Bliv dog voksen La La, Jeg vil ikke høre det... Hold kæft og spis.
99|Speech (Lala)|*La La is scared*|*La La er bange*
99|Speech (Lala)|*Laa Laa is scared*|*Laa Laa er bange*
100|Speech (Player)|Phew! That should do it.|Puha! Det burde gøre det.
101|Speech (Tinky Winky)|Yay you did it, tubby custard!|Ja du gjorde det, tubbie jordbæris!
102|Speech (Dipsy (Hungry))|Could you please make custard and hand it out to each of us? We're hungry!|Vil du være sød at lave jordbæris og give det til hver af os? Vi er sulten!
103|Speech (Player)|Yeah, sure... I guess I'll make my own once I've made enough for you guys.|Ja, selvfølgelig... Jeg tror bare Jeg laver min egen når jeg har lavet nok til jer.
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|Den burde være på værktøjs hylden nær sengene.
10|Speech (Player)|Alright thanks!|Okay tak!
104|Speech (Player)|No power.|Ingen strøm.
105|Speech (Player)|The view from the lake today is wonderful, I'm embracing it.|Udsigten fra søen i dag er fantastisk. Jeg tager det til mig.
106|Speech (Noo Noo)|What I see is danger, I am not waterproof.|Det jeg ser er fare, Jeg er ikke vandtæt.
107|Speech (Player)|Tinky Winky! Are you around here?|Tinky Winky! Er du i nærheden?
108|Speech (Player)|I guess I should look around...|Jeg burde nok heller se mig omkring.
109|Speech (Player)|Hey Dipsy...|Hej Dipsy...
110|Speech (Dipsy (Hungry))|Hey.|Hej.
111|Hotspot|Flowers|Blomster
112|Hotspot|Toggle Power (On)|Ændre Strøm (tænd)
113|Hotspot|Builders Torch|Lygte
114|Hotspot|Laa Laa|Laa Laa
115|Hotspot|Flowers|Blomster
116|Hotspot|Flowers|Blomster
117|Hotspot|Custard Machine|Jordbæris Maskine
118|Hotspot|Laa Laa's Ball|Laa Laas Bold
119|Hotspot|Tinky Winky|Tinky Winky
120|Hotspot|Enter House|Gå ind i huset
121|Hotspot|Dipsy|Dipsy
122|DialogueOption|Are you ok?|Er du okay?
123|DialogueOption|Do you want to play?|Har du lyst til at lege?
124|DialogueOption|Goodbye!|Farvel!
125|DialogueOption|[Wake The Others]|[Væk de andre]
126|DialogueOption|[Follow Tinky Winky Alone]|[Følg efter Tinky Winky alene]
127|DialogueOption|Have you found your hat yet?|Har du fundet din hat endnu?
128|DialogueOption|Do you know where the tool box is?|Ved du hvor værkstøjkassen er henne?
129|DialogueOption|Goodbye!|Farvel!
130|DialogueOption|(Enter House)|(Gå ind i huset)
131|DialogueOption|(Stay)|(Bliv udenfor)
132|DialogueOption|What are you doing?|Hvad laver du?
133|DialogueOption|Get back into bed its late.|Gå i seng igen det er sent.
134|DialogueOption|You broke the machine!|Du ødelagde maskinen!
135|DialogueOption|[Left]|[Venstre]
136|DialogueOption|[Right]|[Højre]
137|DialogueOption|Would you like to play?|Vil du gerne lege?
138|DialogueOption|I'm getting hungry.|Jeg er ved at blive sulten.
139|DialogueOption|That sucks.|Det her er nederen.
140|DialogueOption|We should get you a rain coat.|Vi burde finde en regn frakke til dig.
141|DialogueOption|I didn't mean to be rude.|Jeg mente ikke at være uhøflig
142|DialogueOption|Go away.|Gå væk.
143|DialogueOption|[Comfort]|[Trøst]
144|DialogueOption|[Insult]|[Fornærm]
145|DialogueOption|Hi Tinky Winky..|Hej Tinky Winky..
146|DialogueOption|Eh-Oh!|Eh-Oh!
147|DialogueOption|Out of my way!|Fjern dig!
148|DialogueOption|\Hidden|\Gemt
149|DialogueOption|Have you found your hat yet?|Har du fundet din hat endnu?
150|DialogueOption|Do you know how to turn on the custard machine?|Ved du hvordan man tænder jordbæris maskinen.
151|DialogueOption|Goodbye!|Farvel!
152|DialogueOption|Hello Noo Noo!|Hej Noo Noo!
153|DialogueOption|It's nice and warm.|Det er dejlig varmt.
154|DialogueOption|I prefer cold weather...|Jeg fortrækker koldt vejr...
155|DialogueOption|I'm having fun!|Jeg har det sjovt!
156|DialogueOption|I'm just enjoying the view.|Jeg nyder udsigten.
157|DialogueOption|None of your concern.|Kommer ikke dig ved.
158|Speech (Player)|It's dark, I'll need to get my night vision camera from the storage room before going outside.|Det er mørkt, jeg er nødt til at hente nattesyns kameraet fra lager rummet før jeg går udenfor.
159|Speech (Player)|The storage room is locked, I can unlock it from the control room...|Lager rummet er låst, jeg kan låse det op fra kontrol rummet...
160|Speech (Player)|Once I get these custards I should go to the satellite station for help.|Når jeg har fået fat i jordbærisene bør jeg gå hen til satellit stationen for at få hjælp.
161|Speech (Player)|Other tubbies will be there.|Andre tubbier vil være der.
162|Speech (Player)|I must hurry!|Jeg må skynde mig!
163|Speech (Player)|This is the control room... I forget how to open this door.|Det her er kontrol rummet... Jeg har glemt hvordan man åbner denne dør.
164|Speech (Player)|The door is sealed.  I need to unlock it from the control room.|Døren er forseglet. Jeg er nødt til at åbne for den inden fra kontrol rummet.
165|Speech (Player)|The control room is on the right.|Kontrol rummet er til højre.
166|Speech (Player)|A pipe, this could be useful.|Et rør, det kunne være brugbart.
167|Speech (Player)|Alright, lets go get the remaining custards before they do any more damage.|Okay, lad os få fat i de sidste jordbæris før de gør for meget skade.
168|Speech (Player)|Ok, now time to unlock the storage room door.  The door controls should be in here somewhere.|Okay, tid til at låse lager rummet op. Dør kontrollen bør være her inde et sted.
169|Speech (Player)|There is a pipe missing here...|Der mangler et rør...
170|Speech (Player)|Hmm, nothing happened... I should check the pipeline.|Hmm, intet sker... Jeg bør tjekke rørledningen.
171|Speech (Player)|Alright... Now I need to apply maximum pressure into the main pipeline.|Okay... Nu skal jeg bare anvende maksimum tryk ind i hoved rørledningen.
172|Speech (Player)|The meter dial will be deep in the red zone once this is complete.|Meter skiven vil bip i den røde zone når det her er færdigt.
173|Speech (Player)|The meter dial will be in the red zone once this is complete.|Meter skiven vil være i den røde zone når det her er færdigt.
174|Speech (Player)|That should do it, now lets go get that night vision camera.|Det burde gøre det, lad os nu gå hen og hente det nattesyns kamera.
175|Speech (Narrator)|(COULD NOT CONNECT TO SATELLITE STATION)|(KUNNE IKKE FORBINDE TIL SATELLIT STATIONEN)
176|Speech (Player)|Dang it, For some reason I can't contact the satellite station for help...|Pokkers, af en eller anden grund kan jeg ikke kontakte satellit stationen for at få hjælp...
177|Speech (Player)|It looks like I'm on my own for now.|Det ser ud til at jeg er alene fra nu af.
178|Speech (Player)|I wont be able to get help from here, I'll need to go to the satellite station and tell everyone what happened.|Jeg vil ikke kunne få hjælp her fra, jeg er nødt til at gå hen til satellit stationen og fortælle alle hvad der er sket.
179|Speech (Player)|Hmm...|Hmm...
180|Speech (Player)|Pressure is at maximum, I should be able to open the control room door now.|Trykket er ved maksimum, jeg burde kunne åbne døren til kontrol rummet nu.
181|Hotspot|Night Vision Camera|Nattesyns Kamera
182|Hotspot|Missing Pipe|Manglende Rør
183|Hotspot|Door Controls|Dør Kontrol
184|Hotspot|Pipe|Rør
185|Hotspot|Turn Valve|Drej Ventil.
186|Hotspot|Pipe System|Rør System.
187|Speech (Player)|Tinky Winky is still around, I need to be careful...|Tinky Winky er stadig i nærheden, jeg er nødt til at passe på...
188|Speech (Player)|Tinky winky, snap out of it! This isn't you..|Tinky winky, kæmp imod! Det her er ikke dig..
189|Speech (Player)|Oh my god...|Oh gud...
190|Speech (Player)|I need to get to the satellite station through the mountains or through the cave NOW!|Jeg er nødt til at tage hen til satellit station gennem bjergene eller grotten.
191|Speech (Player)|Where should I go look for custards next?|Hvor skal jeg lede efter den næste jordbæris?
192|Speech (Player)|Hmm... no custard here.  Maybe it's outside the house.|Hmm... Ingen jordbæris her. Måske er den ude foran huset?
193|Speech (Player)|The custard should be around here somewhere.|Jordbærisen burde være her i nærheden.
194|Speech (Player)|Ok, a custard should be somewhere in this area...|Okay, noget jordbæris burde være her i området...
195|Speech (Player)|This path leads to the lake.  Let's hope I don't run into Tinky Winky...|Denne sti går ned til søen. Jeg håber jeg ikke løber ind i Tinky Winky...
196|Speech (Player)|Ah ha! The first custard.  According to my computer there should be four more custards in the area.|Ah ha! Den første jordbæris. Ifølge min computer burde der være fire mere her i området.
197|Speech (Player)|I hope I can get them before it's too late...|Jeg håber jeg kan få fat i dem før det er forsent...
198|Speech (Player)|The entrance to the cave, there should be a custard around here somewhere...|Indgangen til grotten, der burde være noget jordbæris her omkring...
199|Speech (Player)|...I'm so sorry....|...Undskyld...
200|Speech (Player)|If I'm correct, there should be a custard up ahead.|Hvis jeg har ret, så burde der være noget jordbæris længere oppe.
201|Speech (Player)|The sooner I get these custards, the sooner I can go get help from the satellite station...|Jo før jeg får fat i jordbærisene, jo før kan jeg tage hen til satellit stationen og få hjælp...
202|Hotspot|Custard|Jordbæris
203|Hotspot|Custard|Jordbæris
204|Hotspot|Custard|Jordbæris
205|Hotspot|Custard|Jordbæris
206|Hotspot|Custard|Jordbæris
207|DialogueOption|Last known location of Po|Pos sidste kendte position.
208|DialogueOption|Lake|Sø
209|DialogueOption|Cave|Grotte
210|DialogueOption|Teletubby house|Teletubbie hus
211|Speech (Player)|This cave is full of dead ends...|Denne grotte er fuld af blindgyder...
212|Speech (Player)|Not again!|Ikke igen!
213|Speech (Player)|Finally, the exit!|Endelig, udgangen!
214|Speech (Player)|Just a little further...|Bare en lille smule længere...
215|Speech (Player)|What is that thing!?|Whad er det for en ting!?
216|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|Jeg er nødt til at komme hen til den anden side af grotten, det vil føre mig til udkanten.
217|Speech (Player)|I can't believe Tinky Winky turned into a monster...|Jeg kan ikke tro at TInky Winky transformerede sig til et monster...
218|Speech (Player)|I'm surprised this cave hasn't collapsed yet...|Jeg er overraskede over at denne grotte ikke er faldet sammen endnu...
219|Speech (Player)|What was that? ...-I should be careful.|Hvad er det? ...-Jeg burde være forsigtig.
220|Speech (Player)|Day 22. They didn't find out about the journal, but I don't know how long I can hide it, they almost find it last time.|Dag 22. De kender stadig ikke til denne dagbog, men jeg ved ikke hvor længe jeg kan skjule den, de fandt den næsten sidste gang.
221|Speech (Player)|Anyway, testing has been painful lately, they made me-...|I hvert fald, forsøgene har været smertefulde på det seneste, de fik mig-...
|Anyway, testing has been painful lately, they made me-...||
|||
222|Speech (Player)|...-The rest of the note is ripped.|...-Resten af notaten er revet ud.
223|Speech (Player)|Day 1. Today I decided to write a journal to tell my adventures with the bestest friends ever!|Dag 1. I dag besluttede jeg mig at skrive en dagbog for at fortælle om mit eventyr med de bedste venner nogensinde!
224|Speech (Player)|These coat men brought us papers and crayons to draw what we want...|Disse frakke mænd bragte os papir og farveblyanter så vi kunne tenge hvad vi ville...
225|Speech (Player)|...and we drew the best friend trio!|...Og vi tegnede den bedste venne trio!
226|Speech (Player)|They are my only but best friends, and I love them!|De er mine eneste men bedste venner, og jeg elsker dem!
227|Speech (Player)|I hear coat men, I must hide the journal, they will punish me with electricity if they... find out.|Jeg hører frakke mænd, jeg må skjule dagbogen, de vil straffe mig med strøm, hvis de... opdager det.
228|Speech (Player)|There is no way I can jump across that.|Jeg kan på ingen måde hoppe der over.
229|Speech (Player)|Stop ripping my journals.|Stop med at flå i min dagbog.
230|Speech (Player)|Day 54. They found my journal and ripped it apart! 22 days thrown to the trash...|Dag 54. De fandt min dagbog og rev den i stykker! 22 dag lige i skraldespanden...
231|Speech (Player)|In other news, 53 has been feeling sick! He feels awful, but the coat men won't help!|Andre nyheder, 53 har følt sig syge! Han har det dårligt, men frakke mænd vil ikke hjælpe!
232|Speech (Player)|This is sad, I hope he gets better!|Det er trist, jeg håber han får det bedre!
233|Speech (Player)|I wonder when will they give us real names...|Gad vide hvornår de vil give os rigtige navne.
234|Speech (Player)|That was close, I don't think he can get me in here...|Det var tæt på, jeg tror ikke han kan få fat i mig her inde.
235|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|Jeg er nødt til at komme til den anden side af grotten, det vil føre mig til udkanten.
236|Speech (Player)|Day ?????????. What day is it?|Dag ?????????. Hvad dag er det?
237|Speech (Player)|They're gone! ******* turned into a monster!|De er væk! ******* forvandlede sig til et monster!
238|Speech (Player)|******* ran away and I might not see him ever again. I miss them.|******* løb væk og jeg kommer nok aldrig til at se ham igen. Jeg savner dem.
239|Speech (Player)|Oh god, what is happenin-|Oh gud, hvad sker de-
240|Speech (Player)|.............RUN.............|.............LØB.............
|.............RUN.............||
|||
241|Speech (Player)|...-What in the world happened here?|...-Hvad i alverden skete der her?
242|Speech (Player)|HERE THEY COME .  HELP THEY SAW .  MY JOURNAL.|HER KOMMER DE . HJÆLP DE SÅ . MIN DAGBOG.
243|Hotspot|Page|Side
244|Hotspot|Page|Side
245|Hotspot|Page|Side
246|Hotspot|Page|Side
247|Hotspot|Page|Side
248|Hotspot|Page|Side
249|Hotspot|Jump|Hop
250|Hotspot|Pit|Grav
251|Hotspot|Pit|Grav
252|Hotspot|Page|Side
253|Speech (Player)|Who is that? I can hear someone talking...|Hvem er det? Jeg kan høre nogen snakke...
254|Speech (Unit 437)|Halt!  Where do you think you're going?|Stands! Hvor tror du du skal hen?
255|Speech (Unit 437)|I am meant to chop you up and cook you for the master tomorrow.|Jeg skal hugge dig i stykker og severe dig til mesteren i morgen.
256|Speech (???)|*Loud Yell*|*Højt Skrig*
257|Speech (Player)|Oh no, It knows I'm gone!|Oh nej, Den ved at jeg er væk!
258|Speech (Player)|I must get away quickly!|Jeh må komme væk hurtigt!
259|Speech (Player)|I need to listen carefully...|Jeg er nødt til at lytte omhyggeligt...
260|Speech (Player)|If I remember correctly, I was on the other side of this frozen lake when I was attacked.|Hvis jeg husker rigtigt, så var jeg på den anden side af denne frosne sø da jeg blev angrebet.
261|Speech (Player)|I need to get my night vision camera before going to the outskirts.|Jeg er nødt til at få fat i mit nattesyns kamera får jeg tager hen til udkanten.
262|Speech (Player)|It's so cold...|Det er så koldt...
263|Speech (Player)|Custard, this far up in the mountains?|Jordbæris, så langt oppe i bjergene?
264|Speech (Player)|It's frozen now.|Den er frossen nu.
265|Speech (Player)|Trees are the only living things that can tolerate this climate.|Træer er de eneste levende ting der kan tolerere dette klima.
266|Speech (Player)|Who has been cutting down trees?|Hvem har været ved at fælde træer?
267|Speech (Player)|No one has been up here for years...|Ingen har været her oppe i årevis...
268|Speech (Player)|It's good to feel warmth again.|Det er godt at føle sig varm igen.
269|Speech (Player)|The sooner I get out of here the better.|Jo før jeg kommer ud herfra jo bedre.
270|Speech (Player)|Past this gate leads to the outskirts...  It appears to be locked with a chain.|Bag denne port fører til udkanten... Den ser ud til at være låst med en kæde.
271|Speech (Player)|I'll need to find something to break the chain with.|Jeg er nødt til at finde noget at knuse den med.
272|Speech (Player)|I think I'm going to be sick...|Jeg tror at jeg bliver sug...
273|Speech (Player)|Ok, I think I'm safe...|Okay, jeg tror jeg er i sikkerhed.
274|Speech (Unit 437)|Farewell.|Farvel.
275|Speech (Unit 437)|I am chopping down wood for the masters fire.|Jeg er ved at fælde træer til mesterens ild.
276|Speech (Unit 437)|I must cook the master some food before dawn.|Jeg er nødt til at lave noget mad til mesteren får daggry.
277|Speech (Player)|Got it!|Fik det!
278|Speech (Player)|I should find my night vision camera before going to the outskirts.|Jeg burde finde mit nattesyns kamera før jeg tager hen til udkanten.
279|Speech (Unit 437)|That is correct.|Det er korrekt.
280|Speech (Player)|Oh my god, is that an eyeball?|Oh gud, er det et øjeæble?
281|Speech (Player)|I can't help but to think it's watching me...|Jeg kan ikke lade være med at tænke at det stirrer på mig...
282|Speech (Unit 437)|So be it, once the master finds out you're gone it will hunt you down and kill you.|Sådan må det være, når mesteren finder ud af at du er væk vil den jage dig og dræbe dig.
283|Speech (Player)|Huh, an old pipe... Maybe I can use it to break open the chain on the gate.|Huh, et gammelt rør... Måske kan jeg bruge det til at ødelægge kæden på porten.
284|Speech (Unit 437)|Yes, I believe you dropped it when the master took you.|Ja, jeg tror du tabte det da mesteren tog dig.
285|Speech (Player)|Uh... Hello...|Uh... Hallo...
286|Speech (Unit 437)|Greetings.|Halløj.
287|Speech (Unit 437)|Come... with you? The master will not like that at all.|Komme... med dig? Det vil mesteren ikke bryde sig om.
288|Speech (Unit 437)|I failed my directives once, I will not fail them again.|Jeg fejlede mine direktiver engang, jeg vil ikke fejle dem igen.
289|Speech (Unit 437)|Once the master finds out you're gone, it will hunt you down and kill you.|Når mesteren finder ud af at du er væk, vil den jage dig og dræbe dig.
290|Speech (Unit 437)|You will be, I'm afraid. Don't worry, I can make a very nice salsa. You will die, but will taste very good!|Det vil du være, jeg er bange. Bare rolig, jeg kan lave en lækker salsa. Du vil dø, men du vil smage godt!
291|Speech (Player)|Where am I?|Hvor er jeg?
292|Speech (Unit 437)|I am Unit 437, a security droid created by the machines.|Jeg er Enhed 437, en sikkerhed droide skabt af maskinerne.
293|Speech (Unit 437)|My original directive was to kill the master before it escaped from the main land.|Mit oprindelige direktiv var at dræbe mesteren før den flygtede fra hovedlandet.
294|Speech (Unit 437)|However, once I encountered the master I knew I was not capable of defeating it.|Men, da jeg stødte på mesteren viste jeg at jeg ikke kunne besejre den.
295|Speech (Unit 437)|...I'm not very good at my job.|...Jeg er ikke særlig god til mit job.
296|Speech (Unit 437)|At that point I knew I only had two choices.  To serve, or be destroyed.|På det tidspunkt viste jeg at jeg kun havde to valg. At tjene, eller blive udslettet.
297|Speech (Unit 437)|I chose to serve.|Jeg valgte at tjene.
298|Speech (Unit 437)|Now my directive is to build fires to keep the master warm.|Nu er mit nye direktiv at bygge bål til at holde mesteren varm.
299|Speech (Unit 437)|I also cook the masters meals.  I keep the master alive.|Jeg laver også mad til mesteren. Jeg holder mesteren i live.
300|Speech (Player)|I need to get out of here before I become food.|Jeg er nødt til at komme væk her fra før jeg bliver til mad.
301|Speech (Unit 437)|If you leave I'll have to inform the master that death is an inconvenience for you.|Hvis du gå bliver jeg nødt til at informere mesteren at døden er en ulempe for dig.
302|Speech (Unit 437)|The master will be very angry.|Mesteren vill bliver meget vred.
303|Speech (Unit 437)|Please, the master will destroy me if it found out I let you go.|Vær sød, mesteren vil udslette mig hvis den finder ud af at jeg lod dig gå.
304|Speech (Unit 437)|Tomorrow you will be chopped up and cooked for the master to eat.|I morgen vil du blive hugget i stykker og serveret som mesterens mad.
305|Speech (Player)|At last, my night vision camera...|Endelig, mit nattesyns kamera...
306|Speech (Player)|Oh no, it looks like the lens cracked when I dropped it.|Oh nej, det ser ud til at linsen revnede da jeg tabte det.
307|Speech (???)|...............|...............
308|Hotspot|Gate|Port
309|Hotspot|Fire|Ild
310|Hotspot|Eyeball|Øjeæble
