ID|Type|Original line|The translation
47|Speech (Player)|Wait, where are you going!?|Attends, où vas-tu!?
48|Speech (Tinky Winky)|Wow PO don't be so rude.|Wow Po ne sois pas si désagréable.
49|Speech (Player)|Get used to it.|Tu devras faire avec.
50|Speech (Tinky Winky)|*Tinky Winky is offended*|*Tinky Winky est offensé*
51|Speech (Player)|Power is now on, time to make some custard!|C'est activé maintenant, faisons du tubby-délice!
52|Speech (Player)|We should get you a rain coat.|Nous devrions te procurer un imperméable.
53|Speech (Noo Noo)|That would be practical.|Ce serait pratique.
54|Speech (Player)|Alright, now time to fix the custard machine...|Bien, réparons la machine à tubby-délice...
55|Speech (Player)|Will you just go away?|Tu vas partir?
56|Speech (Noo Noo)|You should treat others how you'd like to be treated.|Tu devrais traiter les autres comme tu voudrais que l'on te traite.
57|Speech (Lala)|I don't really feel like playing...|Je n'ai tellement envie de jouer...
58|Speech (Tinky Winky)|Hi Po, I'm getting hungry...|Salut Po, J'ai faim...
59|Speech (Player)|Me too! Lets go inside and get tubby custard.|Moi aussi! Rentrons pour faire du tubby-délice.
60|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|D'accord! Mais tu devrais d'abord parler à Laa-Laa, elle est un peu dérangée.
61|Speech (Player)|Uh oh! The machine is broken again, I guess I better fix it.|Uh oh! La machine s'est encore cassée, Je vais devoir la réparer.
62|Speech (Tinky Winky)|Please hurry, I'm so hungry! Go fetch the tool box.|Depêche toi s'il te plaît, J'ai tellement faim! Va chercher la caisse à outils.
63|Speech (Player)|Here you go Tinky Winky!|Voilà pour toi Tinky Winky!
64|Speech (Tinky Winky)|Thank you PO! I couldn't live without you.|Merci Po! Je ne pourrais pas vivre sans toi.
65|Speech (Player)|Guys wake up, Tinky Winky broke the custard machine and left!|Réveillez-vous, Tinky Winky a détruit la machine et s'est éloigné!
66|Speech (Lala)|...Huh what? why?|...Hein quoi? pourquoi?
67|Speech (Player)|I don't know but I'm worried.  We need to find him.|Je ne sais pas mais je suis inquiète. Nous devons le retrouver.
68|Speech (Lala)|Ok, go get a torch from the work bench and I'll be up in a minute.|Bon, va chercher une lampe de poche à l'atelier et je serais là dans une minute.
69|Speech (Dipsy (Hungry))|*zzz*... You guys go on, I'll wait here in case he comes back.. *zzz*|*zzz*... Allez-y, J'attendrai ici au cas où il reviendrait.. *zzz*
70|Speech (Player)|I'm getting kinda hungry.|Je commence à être affamée.
71|Speech (Noo Noo)|There is custard back at our home.|Il y a du tubby-délice à la maison.
72|Speech (Player)|Chear up Laa Laa, I made some custard for you to make you feel better.|Courage Laa-Laa, Je t'ai fait du tubby-délice pour te consoler.
73|Speech (Lala)|*sniff* Thank you Po, you are a true friend.|*sniff* Merci Po, tu es une vraie amie.
74|Speech (Lala)|*La La feels a bit better*|*Laa-Laa se sent mieux*
74|Speech (Lala)|*Laa Laa feels a bit better*|*Laa-Laa se sent mieux*
75|Speech (Player)|I'm just playing, it's great fun!|Je ne fait que jouer, c'est amusant!
76|Speech (Noo Noo)|I am glad you are enjoying yourself.|Je suis content que tu t'amuses.
77|Speech (Lala)|Oh hi again Po... *sniff*|Oh re-bonjour Po... *sniff*
78|Speech (Player)|Ok, time to find Tinky Winky...|Ok, c'est l'heure de retrouver Tinky Winky...
79|Speech (Lala)|Hey! Why did you do... um... it's okay, I didn't want to play with it anyway.|Hé! Pourquoi as-tu... euh... non rien, Je ne voulais pas jouer avec de toute façon.
80|Speech (Player)|Hello Noo Noo!|Bonjour Noo Noo!
81|Speech (Noo Noo)|Greetings Po.|Salutations Po.
82|Speech (Dipsy (Hungry))|Oh if you are making custard, make me some too!|Oh si tu comptes faire du tubby-délice, fais-moi en!
83|Speech (Lala)|No.. I had a bad dream last night, it was about us and bad things happened... but I can't remember what.|Non.. J'ai fait un mauvais rêve cette nuit, c'était à propos de nous et de terribles choses se passaient... mais je ne sais plus quoi.
84|Speech (Player)|Sounds scary, but it was just a dream.. try to forget about it.|C'est plutôt inquiétant, mais c'était juste un rêve.. essaye de ne plus y penser.
85|Speech (Player)|Here you go Dipsy!|C'est pour toi Dipsy!
86|Speech (Dipsy (Hungry))|Thank you PO, don't forget about yourself! You must be hungry.|Merci Po, mais pense aussi à toi! Tu dois être affamée.
87|Speech (Player)|That sucks.|Ça craint.
88|Speech (Noo Noo)|Yes, it does.|Oui, c'est certain.
89|Speech (Player)|They are so pretty!|Elles sont trop belles!
90|Speech (Player)|It's not for me, I prefer cold weather...|Ce n'est pas pour moi, Je préfère les basses températures...
91|Speech (Noo Noo)|Information noted.|C'est noté.
92|Speech (Tinky Winky)|Eh-Oh! I want tubby custard!|Eh-Oh! Je veux du tubby-délice!
93|Speech (Player)|Me too! Lets go inside and get some.|Moi aussi! Rentrons pour en faire.
94|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|D'accord! Mais tu devrais d'abord parler à Laa-Laa, elle est un peu dérangée.
95|Speech (Lala)|...Yeah...|...Mouais...
96|Speech (Player)|Would you like to play Noo Noo?|Tu veux jouer Noo Noo?
97|Speech (Noo Noo)|Perhaps later, Po.|Peut-être plus tard, Po.
98|Speech (Player)|Grow up La La, I don't want to hear it... Now shut up and eat.|Grandis un peu Laa-Laa, Je ne veux pas le savoir... Alors tais-toi et mange.
99|Speech (Lala)|*La La is scared*|*Laa-Laa est apeurée*
99|Speech (Lala)|*Laa Laa is scared*|*Laa-Laa est apeurée*
100|Speech (Player)|Phew! That should do it.|Ça devrait le faire.
101|Speech (Tinky Winky)|Yay you did it, tubby custard!|Ouais tu l'as fait, tubby-délice!
102|Speech (Dipsy (Hungry))|Could you please make custard and hand it out to each of us? We're hungry!|Pourrais-tu faire du tubby-délice et en offrir à chacun d'entre nous? On a faim!
103|Speech (Player)|Yeah, sure... I guess I'll make my own once I've made enough for you guys.|Ouais, bien sûr... J'imagine que je devrais me servir après vous.
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|Il devrait être sur le porte-outils près des lits.
10|Speech (Player)|Alright thanks!|D'accord, merci!
104|Speech (Player)|No power.|Pas d'énergie.
105|Speech (Player)|The view from the lake today is wonderful, I'm embracing it.|La vue est magnifique aujourd'hui.
106|Speech (Noo Noo)|What I see is danger, I am not waterproof.|Je ne vois que du danger, je ne suis pas étanche.
107|Speech (Player)|Tinky Winky! Are you around here?|Tinky Winky! Es-tu là?
108|Speech (Player)|I guess I should look around...|Je pense que je devrais vérifier dans le coin...
109|Speech (Player)|Hey Dipsy...|Hé Dipsy...
110|Speech (Dipsy (Hungry))|Hey.|Hé.
111|Hotspot|Flowers|Fleurs
112|Hotspot|Toggle Power (On)|Puissance (Activé)
113|Hotspot|Builders Torch|Lampe
114|Hotspot|Laa Laa|Laa-Laa
115|Hotspot|Flowers|Fleurs
116|Hotspot|Flowers|Fleurs
117|Hotspot|Custard Machine|Machine à Tubby-Délice
118|Hotspot|Laa Laa's Ball|Balle de Laa-Laa
119|Hotspot|Tinky Winky|Tinky Winky
120|Hotspot|Enter House|Entrer dans la Maison
121|Hotspot|Dipsy|Dipsy
122|DialogueOption|Are you ok?|Ça va?
123|DialogueOption|Do you want to play?|Tu veux jouer?
124|DialogueOption|Goodbye!|Aurevoir!
125|DialogueOption|[Wake The Others]|[Réveillez les autres]
126|DialogueOption|[Follow Tinky Winky Alone]|[Suivre Tinky Winky seule]
127|DialogueOption|Have you found your hat yet?|As-tu retrouvé ton chapeau?
128|DialogueOption|Do you know where the tool box is?|Sais-tu où se trouve la caisse à outils?
129|DialogueOption|Goodbye!|Aurevoir!
130|DialogueOption|(Enter House)|(Entrer dans la Maison)
131|DialogueOption|(Stay)|(Rester)
132|DialogueOption|What are you doing?|Qu'est que tu fais?
133|DialogueOption|Get back into bed its late.|Retourne dormir, il est tard.
134|DialogueOption|You broke the machine!|Tu as détruit la machine!
135|DialogueOption|[Left]|[Gauche]
136|DialogueOption|[Right]|[Droite]
137|DialogueOption|Would you like to play?|Veux-tu jouer?
138|DialogueOption|I'm getting hungry.|J'ai faim.
139|DialogueOption|That sucks.|Ça craint.
140|DialogueOption|We should get you a rain coat.|Nous devrions te procurer un imperméable.
141|DialogueOption|I didn't mean to be rude.|Je ne voulais pas être impolie.
142|DialogueOption|Go away.|Partir.
143|DialogueOption|[Comfort]|[Récomforter]
144|DialogueOption|[Insult]|[Insulter]
145|DialogueOption|Hi Tinky Winky..|Salut Tinky Winky..
146|DialogueOption|Eh-Oh!|Eh-Oh!
147|DialogueOption|Out of my way!|Hors de mon chemin!
148|DialogueOption|\Hidden|\Hidden
149|DialogueOption|Have you found your hat yet?|As-tu retrouvé ton chapeau?
150|DialogueOption|Do you know how to turn on the custard machine?|Sais-tu comment allumer la machine à tubby-délice?
151|DialogueOption|Goodbye!|Aurevoir!
152|DialogueOption|Hello Noo Noo!|Bonjour Noo Noo!
153|DialogueOption|It's nice and warm.|C'est agréable et chaleureux.
154|DialogueOption|I prefer cold weather...|Je préfère les basses températures...
155|DialogueOption|I'm having fun!|Je m'amuse!
156|DialogueOption|I'm just enjoying the view.|Je ne fait qu'apprécier la vue.
157|DialogueOption|None of your concern.|Ça ne te concerne pas.
158|Speech (Player)|It's dark, I'll need to get my night vision camera from the storage room before going outside.|C'est sombre, Je devrais aller chercher ma caméra de vision nocturne dans la pièce de stockage avant de sortir.
159|Speech (Player)|The storage room is locked, I can unlock it from the control room...|La pièce de stockage est fermée, Je peux l'ouvrir depuis la salle de contrôle...
160|Speech (Player)|Once I get these custards I should go to the satellite station for help.|Après avoir ramassé ces tubby-délices, Je devrais me rendre dans la Station de Satellite pour m'aider.
161|Speech (Player)|Other tubbies will be there.|D'autres teletubbies seront là.
162|Speech (Player)|I must hurry!|Je dois me dépêcher!
163|Speech (Player)|This is the control room... I forget how to open this door.|C'est la salle de contrôle... J'ai oublié comment l'ouvrir.
164|Speech (Player)|The door is sealed.  I need to unlock it from the control room.|La porte est fermée.  Je dois l'ouvrir depuis la salle de contrôle.
165|Speech (Player)|The control room is on the right.|La salle de contrôle est sur la droite.
166|Speech (Player)|A pipe, this could be useful.|Un tuyau, cela peut m'être utile.
167|Speech (Player)|Alright, lets go get the remaining custards before they do any more damage.|Bien, allons ramasser les tubby-délices restant avant qu'ils ne fassent plus de dégâts.
168|Speech (Player)|Ok, now time to unlock the storage room door.  The door controls should be in here somewhere.|Ok, dévérouillons la porte de la pièce de stockage.  Les contrôles de la porte devraient êtres quelque part ici.
169|Speech (Player)|There is a pipe missing here...|Il y a un tuyau manquant ici...
170|Speech (Player)|Hmm, nothing happened... I should check the pipeline.|Hmm, rien ne s'est passé... Je devrais vérifier la canalisation.
171|Speech (Player)|Alright... Now I need to apply maximum pressure into the main pipeline.|Bien... Maintenant Je dois appliquer la pression maximale dans la canalisation principale.
172|Speech (Player)|The meter dial will be deep in the red zone once this is complete.|Le mètre cadran sera bien dans la zone rouge une fois que cela sera terminé.
173|Speech (Player)|The meter dial will be in the red zone once this is complete.|Le mètre cadran sera dans la zone rouge une fois que cela sera terminé.
174|Speech (Player)|That should do it, now lets go get that night vision camera.|Ça devrait le faire, maintenant prenons cette caméra.
175|Speech (Narrator)|(COULD NOT CONNECT TO SATELLITE STATION)|(IMPOSSIBLE DE SE CONNECTER A LA STATION DE SATELLITE)
176|Speech (Player)|Dang it, For some reason I can't contact the satellite station for help...|Mince, pour certaines raisons, je ne peux pas contacter la Station de Satellite...
177|Speech (Player)|It looks like I'm on my own for now.|Il semblerait que je sois seul pour le moment.
178|Speech (Player)|I wont be able to get help from here, I'll need to go to the satellite station and tell everyone what happened.|Je ne peux recevoir d'aide ici, Je vais me rendre à la Station de Satellite et prévenir tout le monde.
179|Speech (Player)|Hmm...|Hmm...
180|Speech (Player)|Pressure is at maximum, I should be able to open the control room door now.|La pression est au maximun, Je devrais être en mesure d'ouvrir la salle de contrôle.
181|Hotspot|Night Vision Camera|Caméra de Vision Nocturne
182|Hotspot|Missing Pipe|Tuyay Manquant
183|Hotspot|Door Controls|Contrôles de la Porte
184|Hotspot|Pipe|Tuyau
185|Hotspot|Turn Valve|Tourner la Vanne
186|Hotspot|Pipe System|Tuyau de Système
187|Speech (Player)|Tinky Winky is still around, I need to be careful...|Tinky Winky est toujours à proximité, Je dois être prudent...
188|Speech (Player)|Tinky winky, snap out of it! This isn't you..|Tinky winky, éloigne-toi! Ce n'est pas toi..
189|Speech (Player)|Oh my god...|Oh mon dieu...
190|Speech (Player)|I need to get to the satellite station through the mountains or through the cave NOW!|Je dois me rendre à la station de satellite en traversant les montagnes ou la grotte MAINTENANT!
191|Speech (Player)|Where should I go look for custards next?|Où devrais-je aller ramasser des tubby-délices ensuite?
192|Speech (Player)|Hmm... no custard here.  Maybe it's outside the house.|Hmm... pas de tubby-délice ici.  Peut-être à l'extérieur de la maison.
193|Speech (Player)|The custard should be around here somewhere.|Les tubby-délices devrait êtres quelque part dans le coin.
194|Speech (Player)|Ok, a custard should be somewhere in this area...|Ok, un tubby-délice devrait se trouver par ici...
195|Speech (Player)|This path leads to the lake.  Let's hope I don't run into Tinky Winky...|Ce passage mène à la plage.  J'espère que je ne me dirige pas vers Tinky Winky...
196|Speech (Player)|Ah ha! The first custard.  According to my computer there should be four more custards in the area.|Ah ha! Le premier tubby-délice. Selon mon ordinateur il devrait y en avoir quatre autres dans les parages.
197|Speech (Player)|I hope I can get them before it's too late...|J'espère pouvoir les ramasser avant qu'il ne soit trop tard...
198|Speech (Player)|The entrance to the cave, there should be a custard around here somewhere...|L'entrée de la grotte, il devrait y avoir un tubby-délice quelque part ici...
199|Speech (Player)|...I'm so sorry....|...Je suis tellement désolé....
200|Speech (Player)|If I'm correct, there should be a custard up ahead.|Si je ne me trompe, il devrait y avoir un tubby-délice tout droit.
201|Speech (Player)|The sooner I get these custards, the sooner I can go get help from the satellite station...|Plus tôt je ramasse ces tubby-délices, plus tôt je pourrais recevoir de l'aide...
202|Hotspot|Custard|Tubby-Délice
203|Hotspot|Custard|Tubby-Délice
204|Hotspot|Custard|Tubby-Délice
205|Hotspot|Custard|Tubby-Délice
206|Hotspot|Custard|Tubby-Délice
207|DialogueOption|Last known location of Po|Dernier emplacement connu de Po
208|DialogueOption|Lake|Plage
209|DialogueOption|Cave|Grotte
210|DialogueOption|Teletubby house|Maison des Teletubbies
211|Speech (Player)|This cave is full of dead ends...|Cette grotte est remplie d'impasses...
212|Speech (Player)|Not again!|Pas encore!
213|Speech (Player)|Finally, the exit!|Enfin, la sortie!
214|Speech (Player)|Just a little further...|Juste un peu plus loin...
215|Speech (Player)|What is that thing!?|Quelle est cette chose!?
216|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|Je dois me rendre de l'autre côté de la grotte, ce qui me mènera à la périphérie.
217|Speech (Player)|I can't believe Tinky Winky turned into a monster...|Je ne peux pas croire que Tinky Winky sois devenu un monstre...
218|Speech (Player)|I'm surprised this cave hasn't collapsed yet...|Je suis surpris que cette grotte ne se soit pas encore effondrée...
219|Speech (Player)|What was that? ...-I should be careful.|C'était quoi? ...-Je dois être prudent.
220|Speech (Player)|Day 22. They didn't find out about the journal, but I don't know how long I can hide it, they almost find it last time.|Jour 22. Ils n'ont pas découvert le journal, mais je ne sais pas pour combien de temps je peux le cacher, ils l'ont presque trouvé la dernière fois.
221|Speech (Player)|Anyway, testing has been painful lately, they made me-...|Quoi qu'il en soit, les tests ont été douloureux ces derniers temps, ils m'ont fait-...
|Anyway, testing has been painful lately, they made me-...||
|||
222|Speech (Player)|...-The rest of the note is ripped.|...-Le reste de la note est déchiré.
223|Speech (Player)|Day 1. Today I decided to write a journal to tell my adventures with the bestest friends ever!|Jour 1. Aujourd'hui J'ai décidé d'écrire un journal pour parler de mes aventures avec les meilleurs amis de tous les temps!
224|Speech (Player)|These coat men brought us papers and crayons to draw what we want...|Ces hommes en manteaux nous ont apportés des papiers et crayons pour nous permettre de dessiner ce que nous voulions...
225|Speech (Player)|...and we drew the best friend trio!|...et nous avons dessiner le meilleur trio d'amis!
226|Speech (Player)|They are my only but best friends, and I love them!|Ce sont mes seuls mais meilleurs amis, et je les aimes!
227|Speech (Player)|I hear coat men, I must hide the journal, they will punish me with electricity if they... find out.|J'ai entendu l'homme en manteau, Je dois cacher le journal, où ils me puniront avec de l'électricité s'ils... le trouve.
228|Speech (Player)|There is no way I can jump across that.|Il n'y a aucun moyen de sauter à travers ça.
229|Speech (Player)|Stop ripping my journals.|Arrête de déchirer mes journaux.
230|Speech (Player)|Day 54. They found my journal and ripped it apart! 22 days thrown to the trash...|Jour 54. Ils ont trouvés mon journal et l'ont déchiré! 22 jours retrouvés dans la poubelle...
231|Speech (Player)|In other news, 53 has been feeling sick! He feels awful, but the coat men won't help!|Dans d'autres nouvelles, 53 est tombé malade! Il est mal en point, mais les hommes en manteaux ne l'aideront pas!
232|Speech (Player)|This is sad, I hope he gets better!|C'est triste, J'espère qu'il ira mieux!
233|Speech (Player)|I wonder when will they give us real names...|Je me demande quand est-ce qu'ils nous donneront de vrais noms...
234|Speech (Player)|That was close, I don't think he can get me in here...|C'en était moins une, Je ne pense pas qu'il puisse m'atteindre ici...
235|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|Je dois me rendre de l'autre côté de la grotte, ce qui me mènera à la périphérie.
236|Speech (Player)|Day ?????????. What day is it?|Jour ?????????. De quel jour s'agit-il?
237|Speech (Player)|They're gone! ******* turned into a monster!|Ils ont disparus! ******* est devenu un monstre!
238|Speech (Player)|******* ran away and I might not see him ever again. I miss them.|******* s'est enfui et je ne le verrais peut-être plus. Ils me manquent.
239|Speech (Player)|Oh god, what is happenin-|Oh non, qu'est-ce qui se pass-
240|Speech (Player)|.............RUN.............|.............COURS.............
|.............RUN.............||
|||
241|Speech (Player)|...-What in the world happened here?|...-Mais bon sang, que s'est-il passé ici?
242|Speech (Player)|HERE THEY COME .  HELP THEY SAW .  MY JOURNAL.|LES VOILÀ . A L'AIDE. ILS ONT VUS . MON JOURNAL.
243|Hotspot|Page|Page
244|Hotspot|Page|Page
245|Hotspot|Page|Page
246|Hotspot|Page|Page
247|Hotspot|Page|Page
248|Hotspot|Page|Page
249|Hotspot|Jump|Sauter
250|Hotspot|Pit|Fosse
251|Hotspot|Pit|Fosse
252|Hotspot|Page|Page
253|Speech (Player)|Who is that? I can hear someone talking...|Qui est-ce? J'entends quelqu'un parler...
254|Speech (Unit 437)|Halt!  Where do you think you're going?|Halte! Où pensez-vous aller comme ça?
255|Speech (Unit 437)|I am meant to chop you up and cook you for the master tomorrow.|Je suis censé vous découper et vous cuisiner pour le maître demain.
256|Speech (???)|*Loud Yell*|*Hurlement*
257|Speech (Player)|Oh no, It knows I'm gone!|Oh non, il sait que je suis parti!
258|Speech (Player)|I must get away quickly!|Je dois m'enfuir rapidement!
259|Speech (Player)|I need to listen carefully...|Je dois écouter prudemment...
260|Speech (Player)|If I remember correctly, I was on the other side of this frozen lake when I was attacked.|Si je me souviens bien, J'étais de l'autre côté de ce lac gelé quand je me suis fait attaqué.
261|Speech (Player)|I need to get my night vision camera before going to the outskirts.|Je dois m'équiper de ma caméra de vision nocturne avant d'accéder à la périphérie.
262|Speech (Player)|It's so cold...|Il fait tellement froid...
263|Speech (Player)|Custard, this far up in the mountains?|Tubby-Délice, aussi loin dans les montagnes?
264|Speech (Player)|It's frozen now.|C'est gelé à présent.
265|Speech (Player)|Trees are the only living things that can tolerate this climate.|Les arbres sont les seuls à supporter ce climat.
266|Speech (Player)|Who has been cutting down trees?|Qui a coupé des arbres?
267|Speech (Player)|No one has been up here for years...|Cela fait des années que personne n'est venu ici...
268|Speech (Player)|It's good to feel warmth again.|C'est si bon de se réchauffer.
269|Speech (Player)|The sooner I get out of here the better.|Il faut que je parte d'ici.
270|Speech (Player)|Past this gate leads to the outskirts...  It appears to be locked with a chain.|Cette porte mène à la périphérie ... Elle semble être verrouillée avec une chaîne.
271|Speech (Player)|I'll need to find something to break the chain with.|Je dois trouver un moyen de détruire cette chaîne.
272|Speech (Player)|I think I'm going to be sick...|Je sens que je vais tomber malade...
273|Speech (Player)|Ok, I think I'm safe...|Ok, Je pense être en sécurité...
274|Speech (Unit 437)|Farewell.|Adieu.
275|Speech (Unit 437)|I am chopping down wood for the masters fire.|Je coupe le bois pour le feu du maître.
276|Speech (Unit 437)|I must cook the master some food before dawn.|Je devrais cuisiner pour le maître avant l'aube.
277|Speech (Player)|Got it!|Je l'ai!
278|Speech (Player)|I should find my night vision camera before going to the outskirts.|Je dois retrouver ma caméra de vision nocturne avant d'accéder à la périphérie.
279|Speech (Unit 437)|That is correct.|C'est ça.
280|Speech (Player)|Oh my god, is that an eyeball?|Oh mon dieu, c'est un globe oculaire?
281|Speech (Player)|I can't help but to think it's watching me...|Je ne peux pas m'empêcher de penser que ça m'observe...
282|Speech (Unit 437)|So be it, once the master finds out you're gone it will hunt you down and kill you.|Ainsi soit-il, une fois que le maître se rendra compte de votre absence, il vous poursuivra et vous tuera.
283|Speech (Player)|Huh, an old pipe... Maybe I can use it to break open the chain on the gate.|Euh, un vieux tuyau... Peut-être que je pourrai m'en servir pour détruire la chaîne de la porte.
284|Speech (Unit 437)|Yes, I believe you dropped it when the master took you.|Oui, je crois que vous l'avez laissé tomber lorsque le maître vous a pris.
285|Speech (Player)|Uh... Hello...|Euh... Bonjour...
286|Speech (Unit 437)|Greetings.|Salutations.
287|Speech (Unit 437)|Come... with you? The master will not like that at all.|Aller... avec vous? Le maître ne vas pas apprécier cela.
288|Speech (Unit 437)|I failed my directives once, I will not fail them again.|J'ai déjà désobéi une fois, je ne recommencerai pas.
289|Speech (Unit 437)|Once the master finds out you're gone, it will hunt you down and kill you.|Lorsque le maître se rend compte de votre absence, il vous traquera et vous tuera.
290|Speech (Unit 437)|You will be, I'm afraid. Don't worry, I can make a very nice salsa. You will die, but will taste very good!|J'en ai peur. Ne vous inquiétez pas, je peux faire une très belle salsa. Vous allez mourir, mais vous aurez bon goût!
291|Speech (Player)|Where am I?|Où suis-je?
292|Speech (Unit 437)|I am Unit 437, a security droid created by the machines.|Je suis Unité 437, un droïde de sécurité créé par les machines.
293|Speech (Unit 437)|My original directive was to kill the master before it escaped from the main land.|Mon ordre d'origine était de tuer le maître avant qu'il ne s'échappe du pays principal.
294|Speech (Unit 437)|However, once I encountered the master I knew I was not capable of defeating it.|Cependant, après l'avoir recontré, je savais que je ne faisais pas le poids.
295|Speech (Unit 437)|...I'm not very good at my job.|...Je ne suis pas très bon dans mon travail.
296|Speech (Unit 437)|At that point I knew I only had two choices.  To serve, or be destroyed.|Je savais que je n'avais que deux choix.  Servir, ou être détruit.
297|Speech (Unit 437)|I chose to serve.|J'ai décidé de servir.
298|Speech (Unit 437)|Now my directive is to build fires to keep the master warm.|Mon objectif est d'allumer un feu pour réchauffer le maître.
299|Speech (Unit 437)|I also cook the masters meals.  I keep the master alive.|Je suis aussi son cuisinier.  Je fais en sorte qu'il vive.
300|Speech (Player)|I need to get out of here before I become food.|Je dois partir d'ici avant de passer à la casserole.
301|Speech (Unit 437)|If you leave I'll have to inform the master that death is an inconvenience for you.|Si vous partez, je devrai informer au maître que la mort est un inconvénient pour vous.
302|Speech (Unit 437)|The master will be very angry.|Le maître sera très en colère.
303|Speech (Unit 437)|Please, the master will destroy me if it found out I let you go.|Je vous en prie, le maître me détruira lorsqu'il apprendra que je vous aurai laissé partir.
304|Speech (Unit 437)|Tomorrow you will be chopped up and cooked for the master to eat.|Demain, vous serez découpé et cuisiné pour le maître.
305|Speech (Player)|At last, my night vision camera...|Enfin, ma caméra...
