ID|Type|Original line|The translation
61|Speech (Player)|Uh oh! The machine is broken again, I guess I better fix it.|哦不！這機器又壞了！我猜我最好修一下。
62|Speech (Tinky Winky)|Please hurry, I'm so hungry! Go fetch the tool box.|請你快點，我好餓！過去拿工具箱。
63|Speech (Player)|Here you go Tinky Winky!|拿去吧，丁丁！
64|Speech (Tinky Winky)|Thank you PO! I couldn't live without you.|謝謝你小波！沒有你我活不下去。
65|Speech (Player)|Guys wake up, Tinky Winky broke the custard machine and left!|大夥們醒醒，丁丁把奶昔機弄壞後走了。
66|Speech (Lala)|...Huh what? why?|哈...哈什麼？為什麼？
67|Speech (Player)|I don't know but I'm worried.  We need to find him.|我不知道但是我很擔心。 我們需要找到他。
68|Speech (Lala)|Ok, go get a torch from the work bench and I'll be up in a minute.|好，去工作臺上拿手電筒，我一分鐘後到。
69|Speech (Dipsy (Hungry))|*zzz*... You guys go on, I'll wait here in case he comes back.. *zzz*|*齁*... 你們去吧,我在這裡以防他回來了.. *齁*
70|Speech (Player)|I'm getting kinda hungry.|我漸漸感到飢餓。
71|Speech (Noo Noo)|There is custard back at our home.|我們家裡又奶昔。
72|Speech (Player)|Chear up Laa Laa, I made some custard for you to make you feel better.|拉拉振作起來，我做了一些奶昔讓你感覺好一點。
73|Speech (Lala)|*sniff* Thank you Po, you are a true friend.|*聞* 小波謝謝你，我真正的朋友。
74|Speech (Lala)|*La La feels a bit better*|*拉拉感覺好了一點*
74|Speech (Lala)|*Laa Laa feels a bit better*|*拉拉感覺好了一點*
75|Speech (Player)|I'm just playing, it's great fun!|我只是在玩，非常好玩！
76|Speech (Noo Noo)|I am glad you are enjoying yourself.|我很高興你玩得開心。
77|Speech (Lala)|Oh hi again Po... *sniff*|哦，又見到你了小波... *嗅*
78|Speech (Player)|Ok, time to find Tinky Winky...|好，是時候去找丁丁了...
79|Speech (Lala)|Hey! Why did you do... um... it's okay, I didn't want to play with it anyway.|嘿！你為什麼要...呃...算了，反正我也不想要跟它玩。
80|Speech (Player)|Hello Noo Noo!|哈嘍努努！
81|Speech (Noo Noo)|Greetings Po.|祝福你，小波。
82|Speech (Dipsy (Hungry))|Oh if you are making custard, make me some too!|哦如果你在做奶昔的話，順便給我一些！
83|Speech (Lala)|No.. I had a bad dream last night, it was about us and bad things happened... but I can't remember what.|不...我昨晚做了個怪夢，是關於什麼壞事即將發生在我們身上...但是我記不起來了。
84|Speech (Player)|Sounds scary, but it was just a dream.. try to forget about it.|聽起來很可怕，但是這終究只是一場夢...試著忘掉它吧。
85|Speech (Player)|Here you go Dipsy!|拿去吧迪西！
86|Speech (Dipsy (Hungry))|Thank you PO, don't forget about yourself! You must be hungry.|謝謝你小波，別忘了你自己！你應該也蛾了。
87|Speech (Player)|That sucks.|真噁心。
88|Speech (Noo Noo)|Yes, it does.|是，真的
89|Speech (Player)|They are so pretty!|它們真漂亮！
90|Speech (Player)|It's not for me, I prefer cold weather...|這不適合我，我比較喜歡偏冷的天氣...
91|Speech (Noo Noo)|Information noted.|資訊條。
92|Speech (Tinky Winky)|Eh-Oh! I want tubby custard!|哦不！我要寶寶奶昔！
93|Speech (Player)|Me too! Lets go inside and get some.|我也要！咱們進去吃一些吧。
94|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|好！但是你應該與拉拉聊下天，它已經這麼失落一整天了。
95|Speech (Lala)|...Yeah...|...吔...
96|Speech (Player)|Would you like to play Noo Noo?|努努你想要玩嗎？
97|Speech (Noo Noo)|Perhaps later, Po.|等等吧，小波。
98|Speech (Player)|Grow up La La, I don't want to hear it... Now shut up and eat.|成熟點吧拉拉，我不想聽...閉上你的嘴巴吃你的東西。
99|Speech (Lala)|*La La is scared*|*拉拉嚇到了*
99|Speech (Lala)|*Laa Laa is scared*|*拉拉嚇到了*
100|Speech (Player)|Phew! That should do it.|呼! 應該這樣做
101|Speech (Tinky Winky)|Yay you did it, tubby custard!|吔，你辦到了，寶寶奶昔！
102|Speech (Dipsy (Hungry))|Could you please make custard and hand it out to each of us? We're hungry!|可以請你做一些奶昔後拿給我們嗎？我們餓了！
103|Speech (Player)|Yeah, sure... I guess I'll make my own once I've made enough for you guys.|是，可以...我猜我會為自己做一個，我已經做完你們的了。
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|它應該在床邊的工具架上。
10|Speech (Player)|Alright thanks!|好的，謝謝！
104|Speech (Player)|No power.|沒電。
105|Speech (Player)|The view from the lake today is wonderful, I'm embracing it.|今天的湖景真漂亮，我要擁抱它們。
106|Speech (Noo Noo)|What I see is danger, I am not waterproof.|我所看到的是危險，我不是防水的。
107|Speech (Player)|Tinky Winky! Are you around here?|丁丁！你在旁邊嗎！
108|Speech (Player)|I guess I should look around...|我覺得我要查看四周。
109|Speech (Player)|Hey Dipsy...|嘿，迪西...
110|Speech (Dipsy (Hungry))|Hey.|嘿。
111|Hotspot|Flowers|花朵
112|Hotspot|Toggle Power (On)|切換電源（開）
113|Hotspot|Builders Torch|建築手電筒
114|Hotspot|Laa Laa|拉拉
115|Hotspot|Flowers|花朵
116|Hotspot|Flowers|花朵
117|Hotspot|Custard Machine|奶昔機
118|Hotspot|Laa Laa's Ball|拉拉的球
119|Hotspot|Tinky Winky|丁丁
120|Hotspot|Enter House|進入屋內
121|Hotspot|Dipsy|迪西
122|DialogueOption|Are you ok?|你還好嗎？
123|DialogueOption|Do you want to play?|你想要玩嗎？
124|DialogueOption|Goodbye!|再見！
125|DialogueOption|[Wake The Others]|[叫醒其他人]
126|DialogueOption|[Follow Tinky Winky Alone]|[獨自跟隨丁丁]
127|DialogueOption|Have you found your hat yet?|你找到你的帽子了嗎？
128|DialogueOption|Do you know where the tool box is?|你知道工具箱在哪裡嗎？
129|DialogueOption|Goodbye!|再見！
130|DialogueOption|(Enter House)|(進入屋內)
131|DialogueOption|(Stay)|(留下)
132|DialogueOption|What are you doing?|你在做什麼？
133|DialogueOption|Get back into bed its late.|很晚了，快上床。
134|DialogueOption|You broke the machine!|你把機器弄壞了！
135|DialogueOption|[Left]|[向左]
136|DialogueOption|[Right]|[向右]
137|DialogueOption|Would you like to play?|你想要玩嗎？
138|DialogueOption|I'm getting hungry.|我漸漸餓了。
139|DialogueOption|That sucks.|真噁心。
140|DialogueOption|We should get you a rain coat.|我們應給你準備一個雨衣。
141|DialogueOption|I didn't mean to be rude.|我很抱歉，我並不是故意要這麼粗魯的。
142|DialogueOption|Go away.|滾開。
143|DialogueOption|[Comfort]|[安慰]
144|DialogueOption|[Insult]|[侮辱]
145|DialogueOption|Hi Tinky Winky..|嗨丁丁...
146|DialogueOption|Eh-Oh!|哦不！
147|DialogueOption|Out of my way!|滾開！
148|DialogueOption|\Hidden|\藏
149|DialogueOption|Have you found your hat yet?|你找到你的帽子了嗎？
150|DialogueOption|Do you know how to turn on the custard machine?|你知道怎麼開啟奶昔機嗎？
151|DialogueOption|Goodbye!|再見！
152|DialogueOption|Hello Noo Noo!|哈嘍努努！
153|DialogueOption|It's nice and warm.|這又好又溫暖。
154|DialogueOption|I prefer cold weather...|我比較喜歡偏冷的天氣...
155|DialogueOption|I'm having fun!|我玩得很開心！
156|DialogueOption|I'm just enjoying the view.|我在享受這景象。
157|DialogueOption|None of your concern.|與你無關。
158|Speech (Player)|It's dark, I'll need to get my night vision camera from the storage room before going outside.|天黑了，我要從儲藏室拿我的夜視相機才能出門。
159|Speech (Player)|The storage room is locked, I can unlock it from the control room...|儲藏室上鎖了，我能夠從控制室解鎖它...
160|Speech (Player)|Once I get these custards I should go to the satellite station for help.|只要我得到這些奶昔，我就應該去衛星站尋求協助。
161|Speech (Player)|Other tubbies will be there.|其他寶寶將在這裡。
162|Speech (Player)|I must hurry!|我該快點！
163|Speech (Player)|This is the control room... I forget how to open this door.|這裡就是控制室... 我忘了如何開啟這扇門。
164|Speech (Player)|The door is sealed.  I need to unlock it from the control room.|門被封起來了。 我需要從控制室解鎖。
165|Speech (Player)|The control room is on the right.|控制室在右邊。
166|Speech (Player)|A pipe, this could be useful.|一條管子，這應該很有用。
167|Speech (Player)|Alright, lets go get the remaining custards before they do any more damage.|好，讓他們在傷害更多之前得到剩餘的奶昔。
168|Speech (Player)|Ok, now time to unlock the storage room door.  The door controls should be in here somewhere.|Ok, 是時候解鎖儲藏室的門了。門的控制器應該就在某處。
169|Speech (Player)|There is a pipe missing here...|這裡有一個管子不見了...
170|Speech (Player)|Hmm, nothing happened... I should check the pipeline.|嗯，沒有事情發生...我應該檢查一下管道。
171|Speech (Player)|Alright... Now I need to apply maximum pressure into the main pipeline.|好吧...現在我必須施壓最大壓力於主管道。
172|Speech (Player)|The meter dial will be deep in the red zone once this is complete.|一旦完成，米表將在紅色區域底部。
173|Speech (Player)|The meter dial will be in the red zone once this is complete.|一旦完成，米表將在紅色區域處。
174|Speech (Player)|That should do it, now lets go get that night vision camera.|好了，現在去拿那夜視相機吧。
175|Speech (Narrator)|(COULD NOT CONNECT TO SATELLITE STATION)|(無法連接到衛星站)
176|Speech (Player)|Dang it, For some reason I can't contact the satellite station for help...|我去，因為一些原因我沒辦法從衛星站取得聯繫來尋求幫助...
177|Speech (Player)|It looks like I'm on my own for now.|看來我現在只能靠自己。
178|Speech (Player)|I wont be able to get help from here, I'll need to go to the satellite station and tell everyone what happened.|我被辦法在這尋求幫助，我必須要到衛星站去告訴大家發生什麼了。
179|Speech (Player)|Hmm...|嗯...
180|Speech (Player)|Pressure is at maximum, I should be able to open the control room door now.|壓力已達最大,我現在應該可以打開控制室了。
181|Hotspot|Night Vision Camera|夜視相機
182|Hotspot|Missing Pipe|遺失的管子
183|Hotspot|Door Controls|門的控制器
184|Hotspot|Pipe|管子
185|Hotspot|Turn Valve|轉閥
186|Hotspot|Pipe System|管道系統
187|Speech (Player)|Tinky Winky is still around, I need to be careful...|丁丁還在附近，我需要小心點。
188|Speech (Player)|Tinky winky, snap out of it! This isn't you..|丁丁，振作起來！這不像你..
189|Speech (Player)|Oh my god...|我的天...
190|Speech (Player)|I need to get to the satellite station through the mountains or through the cave NOW!|我需要通過山脈或通過洞穴來到達衛星站！
191|Speech (Player)|Where should I go look for custards next?|我應該去哪裡去找奶昔？
192|Speech (Player)|Hmm... no custard here.  Maybe it's outside the house.|嗯...這裡沒有奶昔。 也許它在屋外。
193|Speech (Player)|The custard should be around here somewhere.|奶昔應該在這裡的某個地方。
194|Speech (Player)|Ok, a custard should be somewhere in this area...|Ok，一個奶昔應該在這裡的區域...
195|Speech (Player)|This path leads to the lake.  Let's hope I don't run into Tinky Winky...|這條路通往湖邊。 希望我不要撞上丁丁...
196|Speech (Player)|Ah ha! The first custard.  According to my computer there should be four more custards in the area.|啊哈！ 第一個奶昔。 根據我的電腦顯示，這地方應該還有四個奶昔。
197|Speech (Player)|I hope I can get them before it's too late...|我希望在太遲之前可以得到它們...
198|Speech (Player)|The entrance to the cave, there should be a custard around here somewhere...|洞穴的入口，這裡應該有一個奶昔在附近...
199|Speech (Player)|...I'm so sorry....|...我很抱歉....
200|Speech (Player)|If I'm correct, there should be a custard up ahead.|如果我是對的，這裡應該有個奶昔在前面。
201|Speech (Player)|The sooner I get these custards, the sooner I can go get help from the satellite station...|我越早得到這些奶昔，我就越早可以得到衛星站的幫助...
202|Hotspot|Custard|奶昔
203|Hotspot|Custard|奶昔
204|Hotspot|Custard|奶昔
205|Hotspot|Custard|奶昔
206|Hotspot|Custard|奶昔
207|DialogueOption|Last known location of Po|最後知道小波的位置
208|DialogueOption|Lake|湖
209|DialogueOption|Cave|洞穴
210|DialogueOption|Teletubby house|天線寶寶的家
211|Speech (Player)|This cave is full of dead ends...|這個洞充滿了死衚衕...
212|Speech (Player)|Not again!|又一次！
213|Speech (Player)|Finally, the exit!|終於，出口！
214|Speech (Player)|Just a little further...|再遠一點…
215|Speech (Player)|What is that thing!?|那是什麼!?
216|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|我必須到這個洞的另一邊去，它會通向郊外的。
217|Speech (Player)|I can't believe Tinky Winky turned into a monster...|我不相信丁丁變成了一個怪物…
218|Speech (Player)|I'm surprised this cave hasn't collapsed yet...|我很驚訝這個山洞還沒有倒塌…
219|Speech (Player)|What was that? ...-I should be careful.|那是什麼？...-我應該小心一點。
220|Speech (Player)|Day 22. They didn't find out about the journal, but I don't know how long I can hide it, they almost find it last time.|第22天。他們沒有找到關於日記的東西，但我不知道我能藏多久，他們上次差點找到了。
221|Speech (Player)|Anyway, testing has been painful lately, they made me-...|不管怎樣，最近測試很痛苦，他們讓我—…
|Anyway, testing has been painful lately, they made me-...||
|||
222|Speech (Player)|...-The rest of the note is ripped.|-剩下的便條被撕了。
223|Speech (Player)|Day 1. Today I decided to write a journal to tell my adventures with the bestest friends ever!|第1天。今天，我決定寫一篇日記告訴我最好的朋友我曾經的冒險旅程！
224|Speech (Player)|These coat men brought us papers and crayons to draw what we want...|這些穿大衣的人給我們拿來紙和蠟筆來畫我們想要畫的…
225|Speech (Player)|...and we drew the best friend trio!|...然後我們畫了三個最好的朋友！
226|Speech (Player)|They are my only but best friends, and I love them!|他們是我唯一的、最好的朋友，我愛他們！
227|Speech (Player)|I hear coat men, I must hide the journal, they will punish me with electricity if they... find out.|我聽到穿大衣的人了，我必須藏起日記，如果它們找到的話，他們會用電...懲罰我。
228|Speech (Player)|There is no way I can jump across that.|我沒辦法越過那件事。
229|Speech (Player)|Stop ripping my journals.|別再撕我的日記了。
230|Speech (Player)|Day 54. They found my journal and ripped it apart! 22 days thrown to the trash...|第54天。他們找到了我的日記，並把它撕成碎片！有22天被扔到垃圾桶了…
231|Speech (Player)|In other news, 53 has been feeling sick! He feels awful, but the coat men won't help!|另一條消息是，53令人不舒服！他覺得很糟糕，但大衣人不幫忙！
232|Speech (Player)|This is sad, I hope he gets better!|真可悲，我希望他好轉！
233|Speech (Player)|I wonder when will they give us real names...|我想知道他們什麼時候給我們真實姓名…
234|Speech (Player)|That was close, I don't think he can get me in here...|真是好險，我不認為他能把我帶到這裡…
235|Speech (Player)|I need to get to the other side of this cave, it will lead to the outskirts.|我必須到這個洞的另一邊去，它會通向郊外的。
236|Speech (Player)|Day ?????????. What day is it?|第??????????天. 今天星期幾？
237|Speech (Player)|They're gone! ******* turned into a monster!|他們走了！*******變成一個怪物！
238|Speech (Player)|******* ran away and I might not see him ever again. I miss them.|*******跑了，我可能再也見不到他了。我想念他們。
239|Speech (Player)|Oh god, what is happenin-|我的天啊，發生什麼—
240|Speech (Player)|.............RUN.............|.............跑啊.............
|.............RUN.............||
|||
241|Speech (Player)|...-What in the world happened here?|…-這裡到底發生了什麼？
242|Speech (Player)|HERE THEY COME .  HELP THEY SAW .  MY JOURNAL.|它們來了。快幫我。它們看了。我的日記。
243|Hotspot|Page|頁
244|Hotspot|Page|頁
245|Hotspot|Page|頁
246|Hotspot|Page|頁
247|Hotspot|Page|頁
248|Hotspot|Page|頁
249|Hotspot|Jump|跳
250|Hotspot|Pit|坑
251|Hotspot|Pit|坑
252|Hotspot|Page|頁
253|Speech (Player)|Who is that? I can hear someone talking...|誰在那邊？我聽見有人在說話…
254|Speech (Unit 437)|Halt!  Where do you think you're going?|停止！你覺得你要去哪裡？
255|Speech (Unit 437)|I am meant to chop you up and cook you for the master tomorrow.|我打算明天把你剁碎，然後為主人烹調。
256|Speech (???)|*Loud Yell*|*大聲喊叫*
257|Speech (Player)|Oh no, It knows I'm gone!|哦，不，它知道我走了！
258|Speech (Player)|I must get away quickly!|我必須趕緊離開！
259|Speech (Player)|I need to listen carefully...|我需要仔細聽…
260|Speech (Player)|If I remember correctly, I was on the other side of this frozen lake when I was attacked.|如果我沒記錯的話，當我被襲擊的時候，我就在結冰的湖面的另一邊。
261|Speech (Player)|I need to get my night vision camera before going to the outskirts.|在去郊外之前，我需要得到夜視相機。
262|Speech (Player)|It's so cold...|好冷啊...
263|Speech (Player)|Custard, this far up in the mountains?|奶昔，在這遙遠在山上？
264|Speech (Player)|It's frozen now.|已經凍住了。
265|Speech (Player)|Trees are the only living things that can tolerate this climate.|樹木是唯一能容忍這種氣候的生物。
266|Speech (Player)|Who has been cutting down trees?|誰在砍伐樹木？
267|Speech (Player)|No one has been up here for years...|好幾年都來沒有人上來這裡了…
268|Speech (Player)|It's good to feel warmth again.|能夠再次感受到溫暖是件好事。
269|Speech (Player)|The sooner I get out of here the better.|我越快離開這裡越好。
270|Speech (Player)|Past this gate leads to the outskirts...  It appears to be locked with a chain.|過了這道門，就到郊外去了…這似乎被鏈條鎖鎖起來了。
271|Speech (Player)|I'll need to find something to break the chain with.|我需要找點東西來打破這個鏈條。
272|Speech (Player)|I think I'm going to be sick...|我想我要生病了…
273|Speech (Player)|Ok, I think I'm safe...|好吧，我想我很安全…
274|Speech (Unit 437)|Farewell.|再會。
275|Speech (Unit 437)|I am chopping down wood for the masters fire.|我在砍木頭來為主人點火。
276|Speech (Unit 437)|I must cook the master some food before dawn.|我必須在黎明前給主人做飯。
277|Speech (Player)|Got it!|知道了！
278|Speech (Player)|I should find my night vision camera before going to the outskirts.|我應該在去郊外之前找到我的夜視相機。
279|Speech (Unit 437)|That is correct.|那是正確的。
280|Speech (Player)|Oh my god, is that an eyeball?|哦，天哪，那是眼球嗎？
281|Speech (Player)|I can't help but to think it's watching me...|我忍不住想著，它在看著我…
282|Speech (Unit 437)|So be it, once the master finds out you're gone it will hunt you down and kill you.|所以，一旦主人發現你走了，它就會追殺你，然後置你於死地。
283|Speech (Player)|Huh, an old pipe... Maybe I can use it to break open the chain on the gate.|嗯，一條舊管子…也許我可以用它來破壞大門上的鏈子。
284|Speech (Unit 437)|Yes, I believe you dropped it when the master took you.|是的，我相信你在主人帶走你的時候把它弄掉了。
285|Speech (Player)|Uh... Hello...|呃... 你好...
286|Speech (Unit 437)|Greetings.|祝福你。
287|Speech (Unit 437)|Come... with you? The master will not like that at all.|跟隨...你？ 主人一點也不喜歡這樣。
288|Speech (Unit 437)|I failed my directives once, I will not fail them again.|我有一次指揮失敗了，我不會再讓他們失望了。
289|Speech (Unit 437)|Once the master finds out you're gone, it will hunt you down and kill you.|一旦主人發現你走了，它就會追殺你，然後置你於死地。
290|Speech (Unit 437)|You will be, I'm afraid. Don't worry, I can make a very nice salsa. You will die, but will taste very good!|恐怕你會的。別擔心，我可以做一個很好的莎莎醬。你會死的，但嚐起來會很好！
291|Speech (Player)|Where am I?|我在哪裡？
292|Speech (Unit 437)|I am Unit 437, a security droid created by the machines.|我是“第437單元”，是由機器創建的安全機器人。
293|Speech (Unit 437)|My original directive was to kill the master before it escaped from the main land.|我最初的指令是在主人離開家園之前殺死他。
294|Speech (Unit 437)|However, once I encountered the master I knew I was not capable of defeating it.|然而，一旦我遇到了主人，我就知道我沒有能力戰勝它。
295|Speech (Unit 437)|...I'm not very good at my job.|…我不是很擅長於自己的工作。
296|Speech (Unit 437)|At that point I knew I only had two choices.  To serve, or be destroyed.|在那時，我知道我只有兩種選擇。要麼服從，要麼被毀滅。
297|Speech (Unit 437)|I chose to serve.|我選擇服從。
298|Speech (Unit 437)|Now my directive is to build fires to keep the master warm.|現在我的指令是生火以保持主人溫暖。
299|Speech (Unit 437)|I also cook the masters meals.  I keep the master alive.|我也做主人的飯菜。我讓主人活著。
300|Speech (Player)|I need to get out of here before I become food.|我必須在我變成食物之前離開這裡。
301|Speech (Unit 437)|If you leave I'll have to inform the master that death is an inconvenience for you.|如果你離開我就必須知會主人，死亡會給你帶來諸多不便。
302|Speech (Unit 437)|The master will be very angry.|主人會很生氣的。
303|Speech (Unit 437)|Please, the master will destroy me if it found out I let you go.|拜託，如果他發現我讓你走了，主人會毀了我的。
304|Speech (Unit 437)|Tomorrow you will be chopped up and cooked for the master to eat.|明天你將被剁、煮熟，供主人吃。
305|Speech (Player)|At last, my night vision camera...|最後，我的夜視相機…
306|Speech (Player)|Oh no, it looks like the lens cracked when I dropped it.|哦，不，我把它摔下來的時候把鏡頭摔裂了。
307|Speech (???)|...............|...............
308|Hotspot|Gate|大門
309|Hotspot|Fire|火
310|Hotspot|Eyeball|眼球
311|Hotspot|Pipe|管線
312|Hotspot|Bloody Remains|血腥的痕跡
313|Hotspot|Raw Meat|生肉
314|Hotspot|Bloody Remains|血腥的痕跡
315|Hotspot|Custard Splat|翻倒的奶昔
316|Hotspot|Trees|樹
317|Hotspot|Stump|樹墩
318|Hotspot|Stump|樹墩
319|Hotspot|Droid|機器
320|DialogueOption|[Go Left]|[向左走]
321|DialogueOption|[Go Right]|[向右走]
322|DialogueOption|[Go Left]|[向左走]
323|DialogueOption|[Go Right]|[向右走]
324|DialogueOption|The master, is that the thing that took me?|主人，那是帶我走的東西嗎？
325|DialogueOption|Why was I brought here?|我為什麼被帶到這裡來？
326|DialogueOption|I'm not food!|我不是食物！
327|DialogueOption|Who are you?|你是誰？
328|DialogueOption|What are you doing?|你在做什麼？
329|DialogueOption|Have you seen my night vision camera?|你有看到我的夜視攝像機嗎？
330|DialogueOption|Goodbye.|再見。
331|DialogueOption|[Go Left]|[向左走]
332|DialogueOption|[Go Right]|[向右走]
333|DialogueOption|I need to get to the outskirts and find the satellite station.|我要到郊外去找衛星站。
334|DialogueOption|I need to find my night vision camera.|我需要找到我的夜視相機。
335|DialogueOption|None of your business.|關你屁事。
336|DialogueOption|I plan to be long gone before your master finds out.|我計畫在你的主人發現之前離開一陣子。
337|DialogueOption|Come with me, you're a slave!|跟我來，你個奴隸！
338|DialogueOption|You're a coward.|你是個懦夫。
339|DialogueOption|[Go Left]|[向左走]
340|DialogueOption|[Go Right]|[向右走]
341|DialogueOption|Please, don't kill me...|求你了，別殺我…
342|DialogueOption|Where are you taking me?|你要帶我去哪裡？
343|DialogueOption|Who are you?|你是誰?
344|DialogueOption|...|...
345|Speech (Player)|At last I'm here... This is the entrance to the satellite station.|我終於在這裡了…這是衛星站的入口。
346|Speech (Player)|Hmm... How do I get in?|嗯…我要怎麼進去？
347|Speech (Lala_Alive)|......................................|......................................
348|Speech (Player)|Why are you here anyway? I thought you were... well..|你怎麼會在這裡？我以為你...好吧...
349|Speech (Lala_Alive)|I ran away... from Tinky Winky... before he caught me in the house. I ran away until I came across this place, so I used it as a hideout. He tried to-... H-he caused-... *sniff* They are all dead.|我逃過一劫了…從丁丁那兒…在他抓住我之前。我跑掉了，直到我來到這個地方，我把它作為一個藏身之處。他試圖—…他造成的—…*嗅*他們都死了。
350|Speech (Player)|Oh no, Laa Laa's here...|哦不，拉拉來了…
351|Speech (Player)|Tinky Winky scratched out her eyes, she can't see me.|丁丁挖了她的眼睛，她看不見我。
352|Speech (Player)|But she can still hear me, I need to be quiet...|但她仍然可以聽得到我，我需要安靜點…
353|Speech (Player)|I should find all the custards in this area before proceeding to the satellite station.|我應該找到所有奶昔再前往衛星站。
